record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-07-29 11:28:32,131,1690,36,0,0,2124,75,2,0,0,0,0,135,105,0,0,67,18,0,0,143,2843,9,0,0,36,149,0,0
2025-07-29 12:56:16,0,3,0,0,0,2,0,0,0,0,0,0,38,23,0,0,11,2,0,0,13,74,2,1,0,0,39,0,431
2025-07-29 13:26:16,131,0,3,0,0,5,7,0,3,0,0,0,28,17,0,0,11,6,1,0,0,62,0,0,1,3,63,0,399
2025-07-29 13:56:16,450,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-07-29 14:26:16,221,89,1,0,0,235,3,0,0,0,0,0,36,32,0,0,15,2,0,0,72,272,2,0,0,1,27,0,181
2025-07-30 10:22:39,60,823,4,0,0,1568,2,0,2,0,0,0,409,384,0,0,68,9,0,0,126,2738,3,0,0,4,295,0,0
2025-07-30 11:13:18,51,3446,8,0,0,6081,29,3,12,0,0,0,99,55,0,0,49,21,1,17,0,10979,1,1,1,8,1321,7,0
2025-07-30 11:43:18,51,8259,2,0,0,12037,11,0,0,0,0,0,64,25,0,0,15,5,0,4,0,29433,0,0,0,2,1676,0,0
2025-07-30 12:22:48,0,1918,0,0,0,8448,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,23575,0,1,0,0,46,0,0
2025-07-30 12:52:48,0,1094,0,0,0,2912,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2916,0,0,0,0,1,0,0
2025-07-30 13:22:48,0,1213,0,0,0,1266,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1277,0,0,0,0,6,0,0
2025-07-30 14:08:58,0,12961,0,0,0,55687,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,102349,0,1,0,0,1287,0,0
2025-07-30 14:38:58,0,9808,0,0,0,32776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72495,0,0,0,0,0,0,0
2025-07-30 15:08:58,0,9248,2,0,0,32167,0,0,0,0,0,0,36,28,0,0,5,0,0,0,0,65541,0,0,0,2,279,0,0
2025-07-30 15:38:58,3,489,1,0,0,2101,5,0,1,0,0,0,24,18,0,0,9,2,0,0,0,3912,0,0,0,1,83,1,1167
2025-07-30 16:08:58,2,0,2,0,0,1,15,0,1,0,0,0,15,11,0,0,6,4,0,1,0,32,0,0,0,2,9,0,1363
2025-07-31 14:51:01,0,6506,1,0,1,48673,3,0,0,0,0,0,29,24,0,0,3,5,0,0,1,117919,0,0,0,1,783,0,0
2025-07-31 15:21:01,0,2929,5,0,0,16973,0,0,0,0,0,0,110,93,0,0,61,8,0,0,265,38417,4,0,0,5,458,0,0
2025-07-31 15:51:02,4,1152,0,0,0,1709,0,0,0,0,0,0,33,25,0,0,7,0,0,4,634,1999,8,0,0,0,44,0,0
2025-07-31 16:55:38,0,7807,0,0,0,44088,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,134973,0,1,0,0,0,0,0
2025-07-31 17:25:38,0,8746,0,0,0,48901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134786,0,0,0,0,0,0,0
2025-07-31 17:55:38,0,9331,0,0,0,49657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141089,0,0,0,0,0,0,0
2025-07-31 18:25:38,0,8663,0,0,0,48363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136170,0,0,0,0,0,0,0
2025-07-31 18:55:38,0,7563,0,0,0,45894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135710,0,0,0,0,0,0,0
2025-07-31 19:25:38,0,8168,0,0,0,46918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136589,0,0,0,0,0,0,0
2025-07-31 19:55:38,0,9285,0,0,0,49712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137365,0,0,0,0,0,0,0
2025-07-31 20:25:38,0,9851,0,0,0,50225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139938,0,0,0,0,0,0,0
2025-07-31 20:55:38,0,9320,0,0,0,49526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139397,0,0,0,0,0,0,0
2025-07-31 21:25:38,0,8940,0,0,0,48754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140410,0,0,0,0,0,0,0
2025-07-31 21:55:38,0,9290,0,0,0,48587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138350,0,0,0,0,0,0,0
2025-07-31 22:25:38,0,9046,0,0,0,47111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138518,0,0,0,0,0,0,0
2025-07-31 22:55:38,0,8686,0,0,0,46473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141336,0,0,0,0,0,0,0
2025-07-31 23:25:38,0,8795,0,0,0,47924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139781,0,0,0,0,0,0,0
2025-07-31 23:55:38,0,3375,4,0,0,14357,0,0,0,0,0,0,185,169,0,0,23,8,0,0,0,33626,0,0,0,4,536,0,0
2025-08-01 00:25:38,0,918,0,0,0,921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,921,0,0,0,0,0,0,0
2025-08-01 00:55:38,0,913,0,0,0,915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,915,0,0,0,0,0,0,0
2025-08-01 01:25:38,0,927,0,0,0,930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,930,0,0,0,0,0,0,0
2025-08-01 01:55:38,0,917,0,0,0,925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,925,0,0,0,0,0,0,0
2025-08-01 02:25:38,0,938,0,0,0,946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,946,0,0,0,0,0,0,0
2025-08-01 02:55:38,0,977,0,0,0,989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,989,0,0,0,0,0,0,0
2025-08-01 03:25:38,0,938,0,0,0,941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,941,0,0,0,0,0,0,0
2025-08-01 09:30:26,0,5601,3,0,0,23844,0,0,2,0,0,0,110,73,0,0,15,2,0,1,725,56300,4,1,0,3,310,0,0
2025-08-01 10:00:26,0,3480,0,0,0,25681,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,65426,0,0,0,0,0,0,0
2025-08-01 10:30:26,0,893,0,0,0,1084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1084,0,0,0,0,0,0,0
2025-08-02 07:54:49,0,7167,1,0,0,42631,0,0,12,0,0,0,17,12,0,0,13,2,0,11,0,141940,0,0,0,1,77,0,0
2025-08-02 08:49:23,0,7250,0,0,0,44310,0,0,0,0,0,0,31,26,0,0,0,2,0,7,0,146685,0,1,0,0,14,0,0
2025-08-02 09:19:23,0,7560,0,0,0,42902,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,138857,0,0,0,0,42,0,0
2025-08-02 09:49:23,0,6990,0,0,0,42203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115223,0,0,0,0,0,0,0
2025-08-02 10:19:23,0,7584,0,0,0,43310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119754,0,0,0,0,0,0,0
2025-08-02 10:49:23,0,7483,0,0,0,42747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121230,0,0,0,0,0,0,0
2025-08-02 11:19:23,0,7690,0,0,0,43616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121511,0,0,0,0,0,0,0
2025-08-02 11:49:23,0,7338,0,0,0,42251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121947,0,0,0,0,0,0,0
2025-08-02 12:19:23,0,7235,0,0,0,43031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116899,0,0,0,0,0,0,0
2025-08-02 12:49:23,0,7431,0,0,0,44436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117471,0,0,0,0,0,0,0
2025-08-02 13:19:23,0,7544,0,0,0,43636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118652,0,0,0,0,0,0,0
2025-08-02 13:49:53,0,7535,0,0,0,45206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117932,0,0,0,0,0,0,0
2025-08-02 14:19:53,0,7797,0,0,0,45767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117459,0,0,0,0,0,0,0
2025-08-02 14:49:53,0,6870,0,0,0,43797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111578,0,0,0,0,0,0,0
2025-08-03 05:32:15,0,5752,5,0,0,23782,0,0,0,0,0,0,56,39,0,0,22,2,0,0,185,91898,1,0,0,5,107,0,0
2025-08-05 03:55:34,2,6991,12,0,0,33736,1,0,1,0,0,0,146,121,0,0,41,15,0,2,0,98074,0,0,0,12,236,0,0
2025-08-05 04:25:34,0,7199,0,0,0,49476,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,146153,0,0,0,0,0,0,0
2025-08-05 04:55:40,0,9688,1,0,0,48849,0,0,0,0,0,0,3,1,0,0,2,0,0,0,0,149880,0,0,0,1,8,0,0
2025-08-05 05:25:42,0,5685,1,0,0,43579,0,0,0,0,0,0,4,1,0,0,2,0,0,0,0,132558,0,0,0,1,17,0,0
2025-08-05 05:55:42,0,8767,0,0,0,45011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125491,0,0,0,0,0,0,0
2025-08-05 06:25:42,0,9549,2,0,0,46969,0,0,0,0,0,0,55,47,0,0,15,0,0,0,0,138068,0,0,0,2,82,0,0
2025-08-05 06:55:42,0,9858,0,0,0,49133,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,150440,0,0,0,0,0,0,0
2025-08-05 07:25:49,0,7145,0,0,0,48313,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,145428,0,0,0,0,0,0,0
2025-08-05 07:56:00,0,7235,0,0,0,46363,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,145681,0,0,0,0,19,0,0
2025-08-05 08:26:00,0,8402,0,0,0,50775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158275,0,0,0,0,0,0,0
2025-08-05 08:56:00,0,8903,0,0,0,50841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158498,0,0,0,0,0,0,0
2025-08-05 09:26:00,56,3504,3,0,1,15545,672,0,0,0,0,2,158,136,15,1,49,7,0,5,1,55402,0,0,0,3,174,0,0
2025-08-05 09:56:00,0,7837,2,0,0,39296,637,0,0,0,0,0,4,1,0,0,3,2,0,2,0,105515,0,0,0,2,88,0,0
