record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-07-29 16:27:17,0,2843,43,0,0,3146,0,0,4,0,0,0,238,210,0,0,98,13,0,0,467,3664,18,0,0,43,102,0,0
2025-07-29 16:57:22,14,8764,24,0,0,9074,8,0,0,0,0,0,241,202,0,0,135,29,0,1,233,10636,4,0,0,24,261,0,0
2025-07-29 17:27:22,14,4481,7,0,0,5009,18,0,16,0,0,0,142,117,0,0,50,8,0,2,925,6439,11,0,0,7,198,0,0
2025-07-29 17:57:22,0,13532,8,0,0,14195,0,0,0,0,0,0,233,222,0,0,47,0,0,3,560,16520,5,0,0,8,393,0,0
2025-07-29 18:27:22,10,5930,9,0,0,6583,0,0,0,0,0,0,112,87,0,0,50,0,0,11,677,8326,8,0,0,9,181,0,0
2025-07-30 09:47:01,0,0,1,0,0,0,0,0,2,0,0,0,1,1,0,0,2,2,0,0,0,13,0,0,0,1,8,0,1432
2025-07-30 11:17:06,6,0,1,0,0,0,0,0,43,0,0,0,15,13,0,0,5,2,0,0,0,85,0,0,0,1,10,0,0
2025-07-30 11:47:07,1,6962,5,0,0,7306,0,0,0,0,0,0,42,35,0,0,16,3,0,1,343,8519,4,0,0,5,202,0,0
2025-07-30 12:17:06,1,12275,4,0,1,13017,0,0,0,0,0,0,49,44,0,0,30,0,0,1,278,13821,3,0,0,4,887,0,318
2025-07-30 12:47:06,4,8426,5,0,1,9187,0,0,10,0,0,0,215,204,0,0,25,4,0,0,871,10548,8,0,0,5,720,0,0
2025-07-30 13:17:07,0,24292,1,0,0,25992,0,0,2,0,0,0,12,12,0,0,6,0,0,0,6,27184,0,0,0,1,2036,0,0
2025-07-30 13:47:07,2,1588,2,0,1,2006,0,0,8,0,0,0,114,106,0,0,11,0,0,2,1029,2360,7,0,0,2,49,0,0
2025-07-30 14:17:06,2,2361,4,0,0,2760,0,0,0,0,0,0,89,84,0,0,20,4,0,0,838,3154,4,0,0,4,162,0,0
2025-07-30 14:47:06,0,26737,2,0,1,28156,0,0,0,0,0,0,15,9,0,0,10,0,0,0,0,31594,0,0,0,2,2424,0,0
2025-07-30 15:17:06,2,3045,11,0,1,3734,0,0,0,0,0,0,118,96,0,0,45,8,0,0,888,4218,4,0,0,11,268,0,0
2025-07-30 15:47:06,2,4891,12,0,1,10606,0,0,0,0,0,0,93,83,0,0,43,0,0,2,503,15379,3,0,0,12,1594,0,0
2025-07-30 16:17:06,0,3814,17,0,0,7367,0,0,1,0,0,0,119,100,0,0,49,0,0,1,627,10610,3,0,0,17,1207,0,0
2025-07-30 16:47:10,0,5428,4,0,1,13301,0,0,0,0,0,0,38,32,0,0,14,4,0,0,364,18989,2,0,0,4,1912,0,0
2025-07-30 17:26:17,8,4458,3,0,0,10485,0,0,0,0,0,0,19,11,0,0,15,6,0,0,0,15348,0,1,0,3,1645,0,0
2025-07-30 17:56:17,0,1088,0,0,0,3660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3859,0,0,0,0,97,0,0
2025-07-30 19:15:02,0,3532,3,0,1,6555,0,0,0,0,0,0,9,4,0,0,8,2,0,0,425,9132,2,1,0,3,948,0,0
2025-07-31 12:01:08,1,0,4,0,0,0,0,0,0,0,0,0,31,23,0,0,15,8,0,1,2,105,0,0,0,4,53,0,205
2025-07-31 12:31:08,0,2302,7,0,1,6415,0,0,9,1,0,0,38,25,0,0,20,8,0,4,5,7840,0,0,0,7,788,0,0
2025-07-31 13:01:08,0,984,0,0,0,3636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3702,0,0,0,0,48,0,0
