record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-07-12 18:45:04,1,3180,8,0,0,3841,15,3,14,0,0,0,153,120,0,0,78,16,1,1,409,4619,17,1,1,8,159,1,0
2025-07-12 19:15:04,25,5589,8,0,0,6296,22,0,0,0,0,0,165,124,0,0,73,9,0,0,212,7541,6,0,0,8,209,0,0
2025-07-12 19:45:04,0,2654,3,0,0,2875,0,0,0,0,0,0,48,27,0,0,17,0,0,0,16,3526,2,0,0,3,63,0,0
2025-07-13 06:21:09,105,1803,2,0,0,2121,16,2,0,0,0,0,50,36,0,0,13,14,0,0,0,2891,0,0,0,2,123,0,0
2025-07-13 06:51:09,15,360,4,0,0,640,1,0,0,0,0,0,99,75,0,0,26,8,0,0,332,689,6,0,0,4,71,0,0
2025-07-13 07:21:09,30,555,6,0,1,780,10,3,2,0,0,0,210,189,0,0,48,8,0,3,528,894,7,0,0,6,84,2,0
2025-07-13 07:51:09,5,3275,3,0,0,3519,0,0,3,0,0,0,69,61,0,0,10,6,0,0,0,4428,0,0,0,3,85,0,0
2025-07-13 08:21:09,28,1,1,0,0,4,3,0,8,0,0,0,64,60,0,0,5,2,0,0,0,99,0,0,0,1,22,0,0
2025-07-13 08:51:09,1,2704,2,0,0,3023,0,0,0,0,0,0,30,24,0,0,12,2,0,0,48,3866,1,0,0,2,78,0,0
2025-07-13 09:21:09,13,514,4,0,0,950,3,0,0,0,0,0,108,95,0,0,23,4,0,0,481,1088,4,0,0,4,65,0,0
2025-07-13 11:51:09,4,3590,6,0,0,4089,15,0,0,0,0,0,75,58,0,0,21,14,0,0,192,4835,1,0,0,6,118,1,0
2025-07-13 12:21:09,4,1056,5,0,0,1234,0,0,22,1,0,0,108,92,0,0,25,8,0,0,132,1417,2,0,0,5,56,0,0
2025-07-13 12:51:09,0,3367,0,0,0,3581,0,0,0,0,0,0,8,7,0,0,5,0,0,0,0,4320,0,0,0,0,61,0,0
2025-07-21 12:34:39,12,8683,5,0,0,9364,16,4,0,0,0,0,160,134,7,3,41,6,0,9,573,10297,4,0,0,5,317,8,0
2025-07-21 13:04:39,0,10596,4,0,0,11341,0,0,2,0,0,0,89,74,0,0,28,4,0,0,463,12268,2,0,0,4,379,0,0
2025-07-21 14:04:39,16,430,6,0,0,627,20,0,0,0,0,0,36,25,0,0,13,12,1,1,318,691,2,0,1,6,24,0,0
2025-07-21 14:34:39,0,3827,11,0,0,4372,0,0,0,0,0,0,363,344,0,0,67,7,0,0,427,4444,3,0,0,11,248,0,0
2025-07-21 15:04:39,64,4427,8,0,1,5054,207,1,5,0,0,0,156,133,0,0,34,14,0,0,0,5439,0,0,0,8,311,4,0
2025-07-21 17:10:12,0,791,5,0,0,870,0,0,0,0,0,0,21,15,0,0,9,8,0,0,0,886,0,0,0,5,63,0,0
2025-07-22 02:07:24,50,353,6,0,0,386,6,0,6,0,0,0,152,125,0,0,19,4,0,16,262,522,13,0,0,6,64,0,0
2025-07-22 02:37:24,4,9955,3,0,2,10531,0,0,0,0,0,0,55,38,0,0,21,0,0,4,277,11290,7,0,0,3,469,0,0
2025-07-22 03:07:24,0,4010,0,0,0,4064,0,0,0,0,0,0,2,2,0,0,1,0,0,0,0,5657,0,0,0,0,0,0,0
2025-07-22 03:37:24,0,1524,0,0,0,1525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2135,0,0,0,0,0,0,0
2025-07-22 04:07:24,0,3940,0,0,0,3950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5553,0,0,0,0,0,0,0
2025-07-22 04:37:24,0,3943,0,0,0,3959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5613,0,0,0,0,0,0,0
2025-07-22 05:07:25,0,4079,0,0,0,4085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5713,0,0,0,0,0,0,0
2025-07-22 05:37:24,0,4137,0,0,0,4137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5713,0,0,0,0,0,0,0
2025-07-22 06:07:24,0,4050,0,0,0,4060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5669,0,0,0,0,0,0,0
2025-07-22 06:37:25,0,3946,0,0,0,3963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5643,0,0,0,0,0,0,0
2025-07-22 07:07:25,0,3911,0,0,0,3919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5593,0,0,0,0,0,0,0
2025-07-22 07:37:24,0,4098,0,0,0,4103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5688,0,0,0,0,0,0,0
2025-07-22 08:07:28,0,4053,0,0,0,4057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5710,0,0,0,0,0,0,0
2025-07-22 08:37:28,0,4057,0,0,0,4069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5675,0,0,0,0,0,0,0
2025-07-22 09:07:28,0,4121,0,0,0,4124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5634,0,0,0,0,0,0,0
2025-07-22 09:37:28,0,4056,0,0,0,4064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5615,0,0,0,0,0,0,0
2025-07-22 10:07:28,0,4087,0,0,0,4099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5718,0,0,0,0,0,0,0
2025-07-22 10:37:28,0,3957,0,0,0,3981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5669,0,0,0,0,0,0,0
2025-07-22 11:07:28,0,3919,0,0,0,3926,0,0,0,0,0,0,1,0,0,0,1,3,0,0,0,5632,0,0,0,0,0,0,0
2025-07-22 11:37:28,0,2886,3,0,0,3263,0,0,0,0,0,0,55,39,0,0,7,0,0,0,556,4269,10,0,0,3,85,0,0
2025-07-22 12:07:28,1,3592,4,0,0,9229,0,0,0,0,0,0,101,82,0,0,21,5,0,1,724,9597,9,0,0,4,643,0,0
2025-07-22 12:37:30,3,5080,7,0,1,13692,5,0,0,0,0,0,77,52,0,0,30,10,0,0,408,14351,3,0,0,7,1244,0,0
2025-07-22 13:07:31,16,1173,7,0,0,2223,715,0,0,0,0,0,135,118,0,0,39,12,2,1,537,3236,4,0,2,7,238,0,0
2025-07-23 02:11:56,0,4802,5,0,0,13442,0,0,0,0,0,0,67,56,0,0,23,2,0,0,857,13644,7,0,0,5,1067,0,0
2025-07-23 02:41:56,0,482,0,0,0,1734,0,0,0,0,0,0,19,15,0,0,2,0,0,0,0,1744,0,0,0,0,110,0,0
2025-07-23 03:11:56,0,450,0,0,0,1842,0,0,0,0,0,0,6,6,0,0,3,0,0,0,0,1842,0,0,0,0,0,0,0
2025-07-23 03:41:56,0,907,0,0,0,3727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3727,0,0,0,0,0,0,0
2025-07-23 04:11:59,0,923,0,0,0,3752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3752,0,0,0,0,0,0,0
2025-07-23 04:41:59,0,900,0,0,0,3672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3672,0,0,0,0,0,0,0
2025-07-23 05:11:59,0,980,0,0,0,3687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3687,0,0,0,0,0,0,0
2025-07-25 13:59:21,0,1685,3,0,0,4599,0,0,0,0,0,0,37,29,0,0,14,2,0,0,452,4724,3,0,0,3,235,0,0
2025-07-25 14:29:21,0,1173,3,0,0,5095,0,0,0,0,0,0,23,19,0,0,12,0,0,0,0,5124,0,0,0,3,95,0,0
2025-07-31 17:09:43,0,115,0,0,0,398,0,0,1,0,0,0,86,74,0,0,19,2,0,14,0,428,0,0,0,0,95,0,140
2025-07-31 17:39:43,0,954,0,0,0,2665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2665,0,0,0,0,0,0,0
2025-07-31 18:09:43,0,933,0,0,0,2674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2674,0,0,0,0,0,0,0
2025-07-31 18:39:43,0,936,0,0,0,2673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2673,0,0,0,0,0,0,0
2025-08-02 20:58:50,0,1367,3,0,0,4326,0,0,0,0,0,0,82,68,0,0,31,2,0,0,358,4462,2,0,0,3,148,0,0
2025-08-02 21:28:50,0,990,0,0,0,4931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4931,0,0,0,0,0,0,0
2025-08-02 21:58:50,0,974,0,0,0,4919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4919,0,0,0,0,0,0,0
2025-08-02 22:28:50,0,961,0,0,0,4907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4907,0,0,0,0,0,0,0
2025-08-02 22:58:50,0,965,0,0,0,4927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4927,0,0,0,0,0,0,0
2025-08-02 23:28:50,0,951,0,0,0,4904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4904,0,0,0,0,0,0,0
2025-08-02 23:58:50,0,982,0,0,0,4895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4895,0,0,0,0,0,0,0
2025-08-03 00:28:50,0,986,0,0,0,4874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4874,0,0,0,0,0,0,0
2025-08-03 00:58:50,0,998,0,0,0,4880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4880,0,0,0,0,0,0,0
2025-08-03 01:28:50,0,982,0,0,0,4889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4889,0,0,0,0,0,0,0
2025-08-03 01:58:50,0,1003,0,0,0,4878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4878,0,0,0,0,0,0,0
2025-08-03 02:28:50,0,999,0,0,0,4876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4876,0,0,0,0,0,0,0
2025-08-03 02:58:50,0,973,0,0,0,4883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4883,0,0,0,0,0,0,0
2025-08-03 03:28:50,0,979,0,0,0,4861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4861,0,0,0,0,0,0,0
2025-08-03 03:58:50,0,1006,0,0,0,4849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4849,0,0,0,0,0,0,0
2025-08-03 04:28:50,0,1010,0,0,0,4844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4844,0,0,0,0,0,0,0
2025-08-03 04:58:50,0,967,0,0,0,4874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4874,0,0,0,0,0,0,0
2025-08-03 05:28:50,7,1001,1,0,0,4649,0,0,0,0,0,0,17,15,0,0,3,2,0,0,0,4661,0,0,0,1,0,0,0
