record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-07-25 03:53:33,24,7300,42,0,0,7693,24,0,0,0,0,0,252,219,0,0,114,15,0,0,127,8461,8,0,0,42,225,0,0
2025-07-25 04:23:40,39,7338,21,0,2,7702,26,8,0,0,0,0,275,218,0,0,90,12,0,1,129,8502,5,0,0,21,237,2,0
2025-07-25 04:53:49,4,5683,7,0,1,6292,0,0,0,0,0,0,169,130,0,0,49,3,0,4,942,7073,16,0,0,7,232,0,0
2025-07-25 05:23:48,6,2040,9,0,0,2556,0,0,0,0,0,0,127,104,0,0,44,4,0,6,1102,2820,9,0,0,9,133,0,0
2025-07-25 05:53:48,2,3270,8,0,1,3630,0,0,0,0,0,0,199,173,0,0,66,0,0,2,500,4265,8,0,0,8,169,0,0
2025-07-25 06:23:48,2,13047,4,0,2,14754,0,0,0,0,0,0,92,51,0,0,33,0,0,2,509,16781,6,0,0,4,505,0,0
2025-07-25 06:53:48,2,7091,5,0,0,8351,0,0,0,0,0,0,244,212,0,0,40,1,0,2,888,8869,9,0,0,5,484,0,0
2025-07-25 07:23:48,1,331,3,0,0,513,0,0,0,0,0,0,41,31,0,0,18,0,0,1,255,529,1,0,0,3,104,0,534
2025-07-25 07:53:48,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,5,0,0,0,0,0,0,0,0,0,5,0,876
2025-07-25 08:23:48,0,4032,2,0,0,4377,0,0,0,0,0,0,40,26,0,0,11,4,0,0,0,4774,0,0,0,2,253,0,0
2025-07-25 08:53:48,0,19625,4,0,4,23027,0,0,0,0,0,0,54,40,0,0,23,0,0,0,245,23923,3,0,0,4,1234,0,0
2025-07-25 09:23:48,0,20961,2,0,5,24113,0,0,0,0,0,0,33,20,0,0,28,0,0,0,334,25535,2,0,0,2,1374,0,0
2025-07-25 09:53:48,0,4193,1,0,0,4700,0,0,0,0,0,0,5,2,0,0,3,0,0,0,0,5202,0,0,0,1,278,0,1148
