record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-07-26 15:13:41,17,5135,17,0,5,5746,4,4,0,0,0,0,363,307,0,0,96,13,0,0,130,6617,8,0,0,17,193,0,0
2025-07-26 15:43:41,36,5319,14,0,3,6176,13,3,0,0,0,0,371,316,0,0,99,17,0,18,411,6681,12,0,0,14,385,0,0
2025-07-26 16:13:41,2,1073,7,0,1,1526,2,0,8,1,0,0,122,63,0,0,26,8,0,10,875,1757,13,0,0,7,142,2,0
2025-07-27 06:17:54,0,1507,0,0,2,2105,0,0,0,0,0,0,67,40,0,0,7,2,0,0,1306,2182,8,0,0,0,73,0,0
2025-07-27 06:47:54,1,8052,7,0,3,9012,0,0,0,0,0,0,95,66,0,0,33,0,0,1,666,10596,4,0,0,7,430,0,0
2025-07-27 07:17:54,0,6633,2,0,2,7572,0,0,0,0,0,0,59,29,0,0,22,1,0,8,538,8412,5,0,0,2,410,0,0
2025-07-28 04:58:21,0,7043,2,0,1,7619,0,0,0,0,0,0,64,41,0,0,14,2,0,0,971,9462,7,0,0,2,559,0,0
2025-07-29 05:32:23,153,1829,9,0,2,2140,0,0,25,1,0,0,135,110,0,0,47,14,1,24,38,3250,1,0,1,9,238,0,94
2025-07-29 06:02:23,0,493,1,0,0,691,0,0,0,0,0,0,33,28,0,0,8,0,0,0,395,733,3,0,0,1,38,0,0
2025-07-29 11:36:58,0,0,1,0,0,0,0,0,0,0,0,0,3,1,0,0,2,4,0,0,0,0,0,0,0,1,8,0,1451
2025-07-29 12:06:58,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,0,5,0,0,2,0,4,0,0,0,0,16,0,967
2025-07-29 12:36:58,1,0,2,0,0,0,0,0,0,0,0,0,9,4,0,0,4,4,0,3,0,10,0,0,0,2,17,0,598
