record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-07-30 12:09:51,3,0,28,0,0,0,0,0,0,0,0,0,94,83,0,0,42,8,0,0,0,9,0,0,0,28,39,0,420
2025-07-30 12:39:51,6,1204,6,0,1,1418,0,0,0,0,0,0,174,142,0,0,66,8,0,0,74,1763,6,0,0,6,130,0,0
2025-07-30 13:09:51,16,1040,5,0,3,1506,6,0,6,0,0,0,366,329,0,0,26,8,0,2,933,1708,21,0,0,5,80,0,0
2025-07-30 13:39:51,0,1458,4,0,0,2706,0,0,4,0,0,0,116,84,0,0,31,4,0,0,614,3522,6,0,0,4,300,0,0
2025-07-30 14:09:51,11,1652,6,0,1,3493,0,0,2,0,0,0,82,68,0,0,25,4,0,0,422,4774,3,0,0,6,409,0,0
2025-07-30 15:09:51,59,0,1,0,0,0,0,0,0,0,0,0,18,12,0,0,3,2,0,0,0,12,0,0,0,1,12,0,0
2025-07-30 15:39:51,17,413,5,0,0,1106,0,0,12,0,0,0,52,41,0,0,16,6,0,3,223,1321,2,0,0,5,137,0,785
2025-07-30 16:09:51,0,1094,14,0,0,4276,0,0,0,0,0,0,58,42,0,0,38,2,0,3,296,4707,2,0,0,14,373,0,0
2025-07-30 16:39:51,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1265
2025-07-30 18:09:54,4,17,2,0,0,29,5,0,0,0,0,0,26,17,0,0,8,4,0,0,14,67,0,0,0,2,18,0,0
2025-07-30 19:09:54,0,600,3,0,0,1369,0,0,0,0,0,0,23,12,0,0,15,6,0,0,168,1644,1,1,0,3,172,0,703
2025-07-30 19:39:54,14,2457,5,0,1,7954,1,0,2,0,0,0,77,63,0,0,37,6,0,1,357,8771,3,0,0,5,789,1,0
2025-07-30 20:09:54,30,386,16,0,1,1191,391,0,15,1,0,0,113,87,0,0,54,18,1,2,0,2976,0,0,1,16,444,0,0
2025-07-31 11:32:07,15,15,0,0,3,18,15011,0,5,0,0,0,36,25,0,0,13,2,0,2,0,15994,0,1,0,0,669,0,0
2025-07-31 12:02:07,244,93,0,0,6,102,4999,0,1,0,0,0,30,20,0,0,7,0,0,5,0,5430,0,0,0,0,289,0,671
2025-07-31 13:42:43,0,2496,3,0,0,7764,0,0,1,0,0,0,20,13,0,0,9,4,0,3,0,9773,0,1,0,3,872,0,122
2025-07-31 14:12:43,0,0,7,0,0,1,2,0,2,0,0,0,33,28,0,0,21,6,0,0,0,59,0,0,0,7,283,0,0
2025-07-31 14:42:43,12,1880,3,0,0,7037,0,0,0,0,0,0,13,7,0,0,11,6,0,3,1,7954,0,0,0,3,647,0,492
2025-07-31 15:12:43,12,2592,10,0,0,8229,0,0,0,0,0,0,64,48,0,0,38,8,0,0,199,10289,1,0,0,10,862,0,0
2025-07-31 15:42:43,0,1358,0,0,0,4100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5361,0,0,0,0,475,0,432
2025-07-31 20:17:59,0,1313,13,0,7,3578,0,1,6,0,0,0,72,61,0,0,33,12,0,0,1,5106,0,0,0,13,740,0,0
2025-08-01 13:56:26,8,45,4,0,0,85,136,0,0,0,0,0,80,69,7,8,20,2,0,6,2,290,1,0,0,4,347,5,0
2025-08-01 14:26:26,7,9,10,0,1,22,281,0,14,0,0,0,182,163,0,1,43,12,0,0,0,597,0,0,0,10,260,2,0
2025-08-01 14:56:26,25,26,24,0,0,124,29,0,1,0,0,0,75,42,0,0,42,28,7,3,0,230,0,0,7,24,322,15,0
2025-08-01 15:37:56,49,64,0,0,0,87,124,3,0,0,0,0,172,111,1,0,19,2,0,4,0,353,0,1,0,0,171,70,0
