record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-06-23 16:26:29,714,746,9,1,2,1076,335,20,28,1,0,17,142,104,4,5,9,31,2,5,20,1987,5,0,2,9,758,4,0
2025-07-05 13:31:58,611,1107,16,0,0,1291,383,0,204,1,0,0,86,40,11,11,12,23,1,43,0,2314,0,1,1,16,625,0,0
2025-07-05 15:04:24,707,655,6,1,5,907,95,1,265,1,0,0,220,143,7,6,6,22,0,88,45,1662,3,1,0,6,365,0,0
2025-07-05 16:04:24,566,6513,9,24,0,8862,152,4,36,1,0,0,150,64,0,0,21,24,0,539,6,12084,0,0,0,9,319,7,0
2025-07-06 18:37:04,622,690,39,0,0,984,291,46,369,1,0,9,568,419,49,50,22,50,8,104,346,2913,17,1,8,39,627,6,0
2025-07-25 11:06:10,199,309,5,0,0,327,148,5,16,1,0,3,37,17,22,22,2,13,1,7,3,805,1,0,1,5,222,0,0
2025-07-25 11:36:10,212,371,1,0,0,284,44,5,187,1,0,9,56,34,2,3,1,10,0,43,20,687,1,0,0,1,184,0,165
2025-07-25 12:06:10,199,57,0,0,0,220,22,0,297,1,0,0,127,65,9,4,0,10,0,22,12,693,0,0,0,0,257,0,0
2025-07-25 12:39:40,414,1239,7,0,0,862,276,1,9,1,0,25,197,152,0,0,2,15,0,13,11,1517,0,0,0,7,213,2,0
2025-07-30 04:39:57,174,203,7,0,0,208,485,1,0,0,0,9,158,113,3,3,0,12,0,0,5,901,0,0,0,7,206,14,0
2025-07-30 05:09:57,90,111,37,0,0,115,601,2,0,0,0,0,83,45,7,7,4,14,4,0,0,909,0,0,4,37,124,0,0
2025-07-30 05:39:57,460,597,6,0,0,603,368,20,20,1,0,0,129,95,4,4,6,11,1,9,8,1319,1,0,1,6,147,0,0
2025-07-30 06:09:57,563,731,0,0,0,806,152,6,107,1,0,0,53,15,5,5,0,10,0,17,28,1244,1,0,0,0,186,0,0
2025-07-30 06:39:57,300,681,1,0,0,369,86,1,51,1,0,0,71,30,2,2,1,10,0,18,9,748,0,0,0,1,230,0,0
2025-07-30 07:09:57,457,640,1,0,0,794,127,0,51,1,0,0,59,36,9,9,1,10,0,3,22,1240,1,0,0,1,194,0,0
2025-07-30 07:39:57,803,1207,0,0,0,1553,104,0,0,1,0,0,39,11,0,0,0,10,0,81,0,1768,0,0,0,0,81,0,0
2025-07-30 08:39:44,312,475,1,0,0,452,135,0,164,1,0,0,72,38,4,5,1,12,0,6,37,974,1,1,0,1,234,2,0
2025-07-30 09:09:44,72,105,1,0,0,126,39,3,36,1,0,0,27,13,5,5,2,10,0,3,6,255,1,0,0,1,215,0,0
2025-07-30 09:39:44,459,1181,1,0,0,627,141,6,86,1,0,0,67,35,24,24,2,10,0,12,10,1108,0,0,0,1,266,0,0
2025-07-30 10:09:44,321,625,3,0,0,271,90,14,324,1,0,0,100,67,1,1,2,10,0,3,0,745,0,0,0,3,272,0,0
2025-07-30 10:39:44,184,433,1,0,0,201,45,0,70,1,0,0,61,35,5,5,1,10,0,6,11,485,0,0,0,1,205,0,291
2025-07-30 13:04:02,97,60,19,0,1,96,37,2,137,1,0,3,50,16,2,2,1,13,1,14,6,304,1,0,1,19,396,0,0
2025-07-30 13:34:02,103,170,1,0,0,194,31,0,46,1,0,3,42,16,8,8,0,10,0,4,21,397,0,0,0,1,324,0,0
2025-07-30 14:04:02,91,85,3,0,0,110,21,1,87,1,0,0,44,14,4,4,0,10,0,12,7,359,0,0,0,3,336,0,0
2025-08-06 09:22:08,295,362,0,0,0,422,87,7,82,1,0,5,84,53,1,1,0,12,0,2,59,674,1,0,0,0,189,0,0
2025-08-06 09:52:08,325,404,0,0,0,416,98,2,52,1,0,4,59,32,7,8,0,10,0,3,43,815,1,0,0,0,257,0,0
