record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-06-22 13:11:02,0,0,0,0,0,6,0,0,31,0,0,0,0,0,0,0,5,24,0,0,0,16,0,0,0,0,16,0,0
2025-06-24 08:03:56,0,0,1,0,0,2,0,0,1,0,0,0,2,0,0,0,1,27,0,0,0,163,0,0,0,1,11,0,0
2025-06-24 12:24:29,0,0,3,0,0,4,0,0,4,0,0,0,7,0,0,0,4,24,0,0,0,16,0,1,0,3,37,0,0
2025-07-03 08:18:55,4,0,2,0,0,1,0,0,1,0,0,0,22,11,0,0,0,31,0,10,94,212,0,1,0,2,3,0,4291
2025-07-04 07:27:49,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,28,0,0,0,0,0,1,0,0,0,0,4492
2025-07-05 07:28:08,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,22,0,0,0,1,0,1,0,0,0,0,3301
2025-07-05 10:42:23,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,22,0,0,0,9,0,1,0,0,1,0,3287
2025-07-06 09:23:22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,24,0,0,0,5,0,0,0,0,0,0,3605
2025-07-07 03:09:13,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,8,0,0,0,0,1,0,3264
2025-07-08 10:14:48,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,1,12,0,0,0,6,0,0,0,1,8,0,1423
2025-07-09 06:28:24,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,12,0,0,0,2,0,1,0,0,0,0,1477
2025-07-09 12:38:25,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,14,0,0,0,4,0,1,0,0,0,0,1741
2025-07-10 06:13:11,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,6,12,0,0,0,1,0,0,0,0,0,0,1537
2025-07-11 06:30:15,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,4,0,0,0,0,0,0,1936
2025-07-12 06:37:57,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,3,0,0,0,0,0,0,1578
2025-07-12 12:10:18,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,2,11,0,0,0,4,0,0,0,0,0,0,1319
2025-07-14 04:50:37,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,2,0,0,0,0,0,0,1518
2025-07-15 06:20:31,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,6,0,0,0,0,0,0,1792
2025-07-15 07:12:03,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,12,0,0,0,0,0,1,0,0,0,0,1499
2025-07-17 10:23:06,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,4,0,0,0,0,0,0,1796
2025-07-18 08:51:38,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,11,0,0,0,0,0,0,1512
2025-07-18 11:56:21,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,12,0,0,0,1,0,1,0,0,0,0,1628
2025-07-19 06:28:25,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,3,0,0,0,0,0,0,1499
2025-07-19 08:15:44,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,13,0,0,0,0,0,1,0,0,0,0,1609
2025-07-19 12:10:44,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,2,0,0,0,0,0,0,1498
2025-07-20 05:12:22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,1,0,0,0,0,0,0,1499
2025-07-21 07:11:04,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,13,0,0,0,2,1,0,0,1,2,0,1626
2025-07-21 10:30:11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,12,0,0,0,1,0,1,0,0,0,0,1498
2025-07-24 06:31:21,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,12,0,0,0,1,0,0,0,1,2,0,1390
2025-07-27 08:21:40,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,12,0,0,0,2,0,0,0,1,0,0,1505
2025-07-27 13:50:31,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,12,0,0,0,1,0,1,0,0,0,0,1502
2025-07-28 05:05:18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,4,0,0,0,0,0,0,1499
2025-07-28 12:34:08,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,12,0,0,0,8,0,0,0,0,7,0,1489
2025-07-31 07:08:28,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,12,0,0,0,1,0,0,0,1,0,0,1498
2025-08-01 06:10:47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,5,0,0,0,0,0,0,1500
2025-08-01 10:35:37,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,12,0,0,0,1,0,1,0,0,0,0,1497
2025-08-02 06:13:14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,0,0,0,0,0,0,0,0,0,0,1504
2025-08-03 04:02:29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,0,0,0,2,0,0,0,0,0,0,1499
2025-08-03 06:19:06,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,12,0,0,0,2,0,1,0,0,0,0,1499
2025-08-03 07:47:31,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,12,0,0,0,4,0,1,0,0,0,0,1498
2025-08-04 04:12:22,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12,0,0,0,5,0,0,0,1,4,0,1289
2025-08-08 06:13:00,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,1,12,0,0,0,4,0,0,0,1,1,0,1487
2025-08-08 08:22:21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,2,0,0,0,0,0,0,1513
2025-08-08 10:22:21,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,10,0,0,0,4,0,0,0,0,3,0,1211
2025-08-08 11:22:21,0,0,0,0,0,1,0,0,32,0,0,0,0,0,0,0,1,10,0,0,0,12,0,0,0,0,8,0,388
2025-08-09 06:11:10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,1,0,0,0,0,0,0,1499
2025-08-09 08:41:10,0,0,3,0,0,0,0,0,0,0,0,0,3,2,0,0,4,11,1,0,0,11,0,0,1,3,41,0,369
2025-08-09 11:41:10,0,0,14,0,0,0,0,0,8,0,0,0,0,0,0,0,0,10,0,0,0,20,0,0,0,14,37,0,1114
2025-08-10 05:15:11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,6,0,0,0,0,0,0,1498
2025-08-12 07:00:33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,1,0,0,0,0,0,0,1498
2025-08-13 06:23:19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,4,0,0,0,0,0,0,1499
2025-08-14 06:46:24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,8,0,0,0,0,0,0,1499
2025-08-14 08:16:24,26,339,4,0,3,371,0,0,12,0,0,0,10,1,0,0,3,10,0,11,0,2862,0,0,0,4,16,0,449
2025-08-15 06:06:57,2,0,2,0,0,0,0,0,0,0,0,0,4,3,0,0,1,12,0,0,0,14,0,0,0,2,0,0,1176
2025-08-16 06:11:49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,6,0,0,0,0,0,0,1498
2025-08-16 12:41:49,1,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,10,0,0,0,4,0,0,0,0,0,0,45
2025-08-17 05:06:35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,1,0,0,0,0,0,0,1499
