record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-07-03 08:19:05,1,0,2,0,0,1,0,0,0,0,0,0,2,0,0,0,0,31,0,0,55,465,0,1,0,2,2,0,4331
2025-07-07 12:39:07,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,1,27,0,0,0,9,0,0,0,1,2,0,3861
2025-07-08 07:02:30,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,2,0,0,0,0,0,0,1923
2025-07-08 09:55:28,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,10,0,0,0,6,0,0,0,1,5,0,215
2025-07-14 10:09:04,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,2,16,0,0,0,2,0,0,0,0,0,0,2175
2025-07-24 06:31:15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,2,1,0,0,1,1,0,1347
2025-07-25 06:13:25,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,12,0,0,0,1,0,0,0,1,0,0,1480
2025-07-26 06:25:13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,1,0,0,0,0,0,0,1498
2025-07-27 05:08:23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,1,0,0,0,0,0,0,1497
2025-07-28 08:40:49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,7,0,0,0,0,0,0,1498
2025-07-29 06:36:36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,1,0,0,0,0,0,0,1499
2025-08-04 04:14:43,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,1,0,0,0,1,2,0,1405
