record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-07-03 08:18:52,8,0,2,0,0,0,0,0,5,0,0,0,5,0,0,0,0,31,0,0,97,231,0,1,0,2,5,0,4317
2025-07-08 10:15:14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,2,0,0,0,0,0,0,1498
2025-07-12 12:13:51,0,0,1,0,0,1,0,0,1,0,0,0,2,0,0,0,3,14,0,0,0,15,0,0,0,1,1,0,1629
2025-07-12 12:50:57,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,12,0,0,0,8,0,0,0,0,7,0,1825
2025-07-12 13:29:08,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,1,0,0,0,0,0,0,1919
2025-07-13 05:06:46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,4,0,0,0,0,2,0,2015
2025-07-13 13:29:28,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,14,0,0,0,0,0,1,0,0,0,0,1497
2025-07-14 04:50:41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,3,0,0,0,0,0,0,1519
2025-07-14 05:51:40,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10,0,0,0,4,0,0,0,0,2,0,443
2025-07-14 10:13:18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,2359
2025-07-21 07:12:00,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,13,0,0,0,2,1,0,0,1,0,0,1621
2025-07-21 10:30:40,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,12,0,0,0,1,0,1,0,0,1,0,1493
2025-07-22 06:58:20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,3,0,0,0,0,0,0,2034
2025-07-23 06:13:53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,1,0,0,0,0,0,0,1498
2025-07-23 09:26:08,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,12,0,0,0,0,0,1,0,0,0,0,1498
2025-07-24 06:31:10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,1,0,0,0,1,2,0,1365
2025-07-25 06:13:37,0,0,1,0,0,0,0,0,17,0,0,0,1,0,0,0,1,12,0,0,0,4,0,0,0,1,2,0,1465
2025-07-26 06:25:07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,1,0,0,0,0,0,0,1499
2025-07-27 05:07:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,6,0,0,0,0,0,0,1499
2025-07-28 08:40:11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,2,0,0,0,0,0,0,1497
2025-07-29 06:36:23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,2,0,0,0,0,0,0,1499
2025-07-30 06:28:03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,2,0,0,0,0,0,0,1498
2025-08-04 04:14:38,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,3,0,0,0,1,3,0,1407
2025-08-04 06:14:38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,1750
2025-08-04 10:14:46,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,10,0,0,0,3,0,0,0,1,0,0,1435
2025-08-05 08:04:43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,0,0,0,2,0,0,0,0,0,0,1481
2025-08-06 06:01:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,1,0,0,0,0,0,0,1506
2025-08-07 06:35:11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,5,0,0,0,0,0,0,1498
2025-08-10 08:07:19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,3,0,0,0,0,0,0,1500
2025-08-11 05:21:33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,3,0,0,0,0,0,0,1498
