record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-07-04 09:00:47,194,93,4,0,0,204,17,4,1869,1,0,9,250,197,0,0,22,30,0,9,127,856,3,0,0,4,181,2,276
2025-07-04 12:23:38,355,635,3,0,0,782,30,2,308,1,0,2,63,51,0,2,2,30,0,1,10,1024,0,1,0,3,31,0,2557
2025-07-04 13:56:40,125,100,4,0,0,138,0,0,39,1,0,0,18,10,0,0,6,31,0,2,2,233,0,0,0,4,499,0,0
2025-07-05 08:45:43,8,25,2,0,0,25,0,56,0,0,0,27,132,123,0,0,1,22,0,0,8,203,0,0,0,2,43,0,1336
2025-07-05 09:45:43,211,317,8,0,0,387,1,8,10,1,0,14,73,63,0,5,1,21,1,0,35,499,0,0,1,8,192,0,1219
2025-07-05 10:45:47,3,1,0,0,0,1,2,0,1,0,0,1,6,5,0,0,0,20,0,0,0,35,0,0,0,0,18,0,2594
2025-07-05 13:46:54,632,142,14,6,0,160,232,0,0,0,0,0,251,235,0,0,0,22,0,0,0,762,0,0,0,14,109,32,44
2025-07-06 14:10:08,515,341,3,5,0,425,99,13,3,0,0,0,187,162,0,4,0,27,0,0,0,939,0,1,0,3,253,35,0
2025-07-07 09:48:12,392,251,7,7,0,503,51,26,78,1,0,0,125,95,0,0,4,30,0,5,0,1235,1,0,0,7,729,1,0
2025-07-07 11:04:06,1274,1932,5,0,0,2461,1390,19,890,1,0,0,122,87,0,0,7,26,1,3,10,4339,0,0,1,5,277,4,265
2025-07-07 14:19:36,160,178,5,0,0,245,23,41,526,1,0,31,170,141,0,5,4,26,0,4,23,609,0,1,0,5,285,0,151
2025-07-09 10:36:21,236,317,6,0,0,370,1575,2,45,1,0,0,31,18,0,0,8,14,0,0,0,2233,0,0,0,6,138,0,0
2025-07-09 11:11:18,289,440,7,1,0,495,92,8,25,1,0,10,106,66,0,4,5,22,0,6,0,922,0,0,0,7,94,4,0
2025-07-09 12:23:20,282,532,3,0,0,459,68,2,15,0,0,63,115,108,0,0,3,15,0,0,23,784,0,1,0,3,51,0,52
2025-07-09 12:57:47,135,802,1,0,0,169,62,1,0,0,0,0,19,16,0,0,0,11,0,0,0,403,0,0,0,1,92,0,564
2025-07-09 13:28:39,0,0,0,0,0,0,0,3,0,0,0,1,23,21,0,0,2,10,0,0,0,16,0,0,0,0,6,0,1436
2025-07-09 13:59:46,194,318,3,0,0,389,99,1,631,1,0,0,18,5,0,4,2,13,0,0,10,760,0,0,0,3,112,0,0
2025-07-09 14:46:48,245,828,3,0,0,901,310,8,323,1,0,0,19,8,0,0,4,20,1,0,6,1916,0,1,1,3,56,0,0
2025-07-10 08:22:51,177,194,0,2,0,252,183,7,0,0,0,0,54,34,0,0,0,13,0,0,0,601,0,0,0,0,145,0,0
2025-07-10 08:56:40,55,51,0,0,0,56,269,17,0,0,0,2,67,51,0,0,5,11,0,0,2,444,0,0,0,0,132,0,0
2025-07-10 09:32:22,136,282,1,0,0,198,182,8,17,1,0,0,61,35,0,0,1,12,0,0,1,621,0,0,0,1,152,4,0
2025-07-10 10:07:40,86,267,0,0,0,85,123,5,10,1,0,0,75,27,0,0,0,11,0,5,0,362,0,0,0,0,116,0,0
2025-07-10 10:40:12,262,327,0,0,0,355,68,7,0,0,0,0,52,12,0,0,0,11,0,2,0,486,0,0,0,0,117,0,0
2025-07-10 11:11:44,134,172,1,0,0,215,154,1,14,1,0,0,67,27,0,0,0,13,2,1,0,461,0,0,2,1,107,0,0
2025-07-10 11:46:59,24,31,1,0,0,33,31,0,0,0,0,0,14,3,0,0,0,12,0,2,0,89,0,0,0,1,59,0,1270
2025-07-10 14:24:10,9,11,0,2,0,3,16,1,14,1,0,0,25,13,0,0,0,10,0,1,0,55,0,0,0,0,26,0,0
2025-07-10 14:54:40,23,21,1,0,0,32,53,0,32,1,0,0,77,24,0,0,0,10,0,1,0,245,0,0,0,1,58,0,0
2025-07-11 04:46:59,129,205,4,2,0,219,305,10,0,0,0,0,78,68,0,0,0,12,0,1,0,674,1,1,0,4,63,2,19
2025-07-11 05:17:20,403,942,6,0,0,168,163,3,1228,1,0,0,49,35,0,0,5,10,0,0,32,523,0,0,0,6,146,0,0
2025-07-11 06:11:09,313,1350,5,0,0,648,27,0,104,1,0,4,66,38,0,0,6,15,0,3,21,905,0,1,0,5,136,0,437
2025-07-11 06:49:36,267,756,4,0,0,352,29,0,152,1,0,8,44,29,0,0,4,14,2,0,0,873,0,0,2,4,242,0,15
2025-07-11 07:29:24,92,131,10,0,0,157,154,7,1,0,0,4,113,96,0,0,0,14,0,0,14,542,7,0,0,10,162,0,0
2025-07-11 08:06:20,148,190,2,0,0,197,149,7,0,0,0,0,61,34,0,0,1,12,0,0,0,520,0,0,0,2,140,0,0
2025-07-11 08:39:17,294,315,0,0,0,507,312,15,3,1,0,0,70,59,0,0,0,11,0,0,0,999,0,0,0,0,130,18,0
2025-07-11 09:13:01,25,29,1,0,0,33,40,1,0,0,0,0,28,18,0,0,0,11,0,0,0,149,0,0,0,1,61,0,233
2025-07-11 09:48:19,6,11,0,0,0,13,11,0,5,1,0,0,1,0,0,0,0,12,0,0,0,49,0,0,0,0,15,0,1337
2025-07-11 10:25:48,76,116,0,0,0,136,162,8,6,1,0,1,68,36,0,0,0,12,0,0,0,514,0,0,0,0,87,1,0
2025-07-11 11:00:50,81,125,3,1,0,152,140,6,0,0,0,0,60,20,0,0,0,12,0,0,0,421,0,0,0,3,78,0,0
2025-07-11 11:31:36,63,390,0,0,0,52,35,0,73,1,0,1,25,10,0,0,0,10,0,0,0,176,0,0,0,0,88,0,587
2025-07-11 12:04:17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,1758
2025-07-11 14:17:16,8,13,3,0,0,13,4,0,23,0,0,1,19,15,0,0,0,10,0,0,0,35,0,0,0,3,10,0,0
2025-07-11 14:47:35,12,27,3,0,0,35,292,5,0,0,0,0,26,12,0,0,0,10,0,0,0,381,0,0,0,3,46,0,0
2025-07-11 15:17:35,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,10,0,0,0,2,0,0,0,0,2,0,1419
2025-07-12 12:35:24,104,1284,4,0,0,133,54,0,0,0,0,0,34,15,0,0,2,14,0,1,0,278,0,0,0,4,90,0,118
2025-07-12 13:14:57,111,354,1,2,0,103,127,10,1,0,0,0,54,23,0,0,0,13,0,6,0,372,0,0,0,1,91,0,0
2025-07-12 13:50:14,20,19,2,2,0,23,32,0,0,0,0,0,27,7,0,0,0,12,0,0,0,85,0,0,0,2,20,0,394
2025-07-12 14:25:01,21,17,0,0,0,23,56,5,0,0,0,0,29,3,0,0,0,11,0,3,0,104,0,0,0,0,43,0,479
2025-07-12 14:58:41,63,63,2,1,0,70,77,3,0,0,0,0,50,8,0,1,1,11,0,3,0,186,0,0,0,2,53,0,0
2025-07-12 15:36:53,75,84,0,0,0,100,91,5,0,0,0,0,26,3,0,0,0,13,0,0,0,245,0,0,0,0,18,0,0
2025-07-12 16:12:05,83,110,1,1,0,133,119,6,0,0,0,0,19,3,0,0,0,12,0,0,0,361,0,0,0,1,60,0,111
2025-07-13 09:07:02,52,67,3,1,0,80,93,8,0,0,0,2,49,12,0,0,2,15,0,0,0,222,0,0,0,3,28,0,0
2025-07-13 09:50:44,51,64,1,1,0,90,46,3,1,0,0,0,28,6,0,0,0,15,0,0,0,191,0,0,0,1,37,0,909
2025-07-13 10:34:25,81,97,1,2,0,146,126,7,0,0,0,0,77,32,0,0,0,18,0,4,0,413,0,0,0,1,98,0,0
2025-07-13 11:14:02,97,100,0,0,0,146,141,0,44,1,0,0,84,24,0,0,0,14,0,0,0,386,0,0,0,0,132,0,0
2025-07-13 11:55:27,224,290,0,0,0,342,120,10,3,1,0,0,65,33,0,0,0,15,0,3,0,619,0,1,0,0,129,4,0
2025-07-14 10:07:39,123,143,1,5,0,185,172,10,26,1,0,0,54,36,0,0,0,16,0,2,0,661,0,0,0,1,104,3,0
2025-07-14 11:01:50,289,311,1,0,0,547,284,4,0,0,0,0,60,28,0,0,0,17,0,0,0,1061,0,1,0,1,173,3,0
2025-07-14 11:42:43,64,76,9,11,0,100,92,27,0,0,0,0,117,81,0,0,0,13,0,0,0,431,0,0,0,9,64,0,0
2025-07-14 12:18:35,87,99,1,0,0,123,126,32,0,0,0,0,74,54,0,0,0,12,0,1,0,465,0,0,0,1,57,0,0
2025-07-14 12:55:08,137,167,6,0,0,214,80,1,42,1,0,0,35,20,0,5,9,12,0,4,0,574,0,0,0,6,137,0,0
