record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-07-06 10:08:41,209,743,1,0,36,408,5417,2,3,1,0,0,133,54,0,0,16,22,0,4,0,6886,0,1,0,1,801,0,0
2025-07-06 11:08:41,9,38,0,0,29,63,217,0,4,0,0,0,53,22,0,0,8,20,0,1,0,383,0,0,0,0,292,0,1478
2025-07-06 12:08:41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,3505
2025-07-06 14:10:24,0,0,1,0,2,12,0,2,0,0,0,0,16,8,0,0,3,22,0,0,0,72,0,1,0,1,39,0,2789
2025-07-06 18:04:02,752,26,0,0,10,34,0,19,1,0,0,0,165,54,0,0,48,22,0,4,0,179,0,1,0,0,184,0,45
2025-07-07 05:42:33,188,928,1,0,1,452,2311,2,37,1,0,0,129,38,0,0,2,24,0,0,0,3500,0,0,0,1,730,4,429
2025-07-07 08:29:08,2,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0,1,28,0,0,0,16,0,1,0,0,17,0,4244
2025-07-07 15:27:16,1562,0,1,0,8,0,0,20,0,0,0,0,157,44,0,0,21,22,0,0,0,83,0,0,0,1,61,0,888
2025-07-08 01:27:09,862,0,0,0,6,0,0,15,0,0,0,0,104,33,0,0,11,12,0,2,4,148,0,0,0,0,31,0,353
2025-07-08 01:57:09,859,0,0,0,6,0,0,23,0,0,0,0,123,47,0,0,18,10,0,7,3,46,0,0,0,0,39,0,274
2025-07-08 02:27:09,174,0,0,0,2,0,0,4,0,0,0,0,65,17,0,0,10,10,0,3,0,45,0,0,0,0,38,0,862
2025-07-08 14:13:31,0,0,0,0,1,0,0,0,0,0,0,0,9,5,0,0,2,10,0,0,0,18,0,0,0,0,9,0,786
2025-07-08 15:14:32,880,0,0,0,5,0,0,8,0,0,0,0,84,22,0,0,7,11,0,19,0,41,0,0,0,0,13,0,0
2025-07-08 15:46:08,1876,0,0,0,9,11,0,20,0,0,0,0,146,41,0,0,14,10,0,38,1,72,0,0,0,0,20,0,255
2025-07-09 11:44:42,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,12,0,0,0,19,0,0,0,0,24,0,1306
2025-07-09 13:15:36,556,0,2,0,70,7,2,3,1,0,0,0,41,6,0,0,3,12,0,7,0,65,0,0,0,2,62,0,368
2025-07-09 14:08:23,1,0,1,0,4,7,0,0,0,0,0,0,34,25,0,0,3,12,0,0,0,42,0,0,0,1,118,0,950
2025-07-09 16:38:53,1508,2,1,0,5,5,0,8,0,0,0,0,181,104,0,0,10,13,0,41,0,124,0,0,0,1,2,0,336
2025-07-10 03:34:22,40,229,0,0,0,302,2447,0,0,0,0,0,60,28,0,0,2,12,0,0,0,3101,0,0,0,0,377,1,0
2025-07-10 04:04:22,32,173,0,0,0,220,424,0,0,0,0,0,56,16,0,0,0,10,0,1,5,714,0,0,0,0,332,0,29
2025-07-10 04:34:22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,1,0,0,0,0,13,0,1263
2025-07-10 05:04:22,12,2,0,0,0,16,8,11,0,0,0,0,190,131,0,0,22,10,0,11,0,97,0,0,0,0,64,3,0
2025-07-10 06:10:43,8,2,3,0,0,2,5,12,0,0,0,0,262,196,0,0,9,22,0,6,0,173,0,1,0,3,65,0,2437
2025-07-10 06:40:43,13,11,0,0,4,15,295,1,2,0,0,0,66,40,0,0,6,10,0,2,0,452,0,0,0,0,213,0,0
2025-07-10 07:10:43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,1627
2025-07-10 09:37:53,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,12,0,0,0,8,0,0,0,0,40,0,1420
2025-07-10 12:49:46,16,0,3,0,32,22,0,1,1,0,0,0,28,1,0,0,6,12,0,0,0,156,0,0,0,3,163,0,0
2025-07-10 13:28:20,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,2,0,0,0,1,15,0,1439
2025-07-10 15:58:20,195,3871,2,0,1,604,11,3,0,0,0,0,132,79,0,0,19,10,0,20,0,877,0,0,0,2,453,0,0
2025-07-10 16:28:20,119,12510,0,0,0,1635,36,0,0,0,0,0,54,7,0,0,0,10,0,21,21,2183,2,0,0,0,127,0,0
2025-07-10 17:15:52,33,59,3,0,0,51,30,5,24,1,0,0,104,42,2,2,10,12,0,23,9,369,0,1,0,3,355,0,79
2025-07-11 04:05:50,1,1,0,0,0,2,1,0,0,0,0,0,58,34,0,0,4,12,0,10,0,48,0,0,0,0,84,0,534
2025-07-11 04:35:50,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,10,0,0,0,14,0,0,0,0,31,0,1142
2025-07-11 05:05:50,0,0,0,0,0,7,0,0,6,0,0,0,19,12,0,0,6,10,0,0,0,22,0,0,0,0,59,0,1127
2025-07-11 07:04:56,11,11,1,0,18,15,1,0,5,0,0,0,17,9,0,0,11,12,0,0,0,70,0,1,0,1,116,0,940
2025-07-11 09:34:56,1,1,0,0,2,3,1,0,0,0,0,0,7,2,0,0,1,10,0,0,0,6,0,0,0,0,42,0,820
2025-07-11 10:04:56,0,0,0,0,0,1,1,0,0,0,0,0,18,16,0,0,1,10,0,0,0,24,0,0,0,0,98,0,390
2025-07-11 12:32:12,70,253,0,0,0,111,10,2,3,0,0,0,81,59,0,0,5,12,0,1,0,240,0,1,0,0,152,0,671
2025-07-11 13:29:56,0,0,1,0,2,0,0,0,1,0,0,0,6,3,0,0,0,12,0,2,0,5,0,1,0,1,32,0,1349
2025-07-11 14:29:56,0,0,0,0,1,0,0,0,0,0,0,0,8,7,0,0,1,10,0,0,0,8,0,0,0,0,68,0,328
2025-07-11 14:59:56,10,0,0,0,0,2,0,1,0,0,0,0,48,35,0,0,0,10,0,7,0,89,0,0,0,0,76,0,642
2025-07-11 15:29:56,27,23,1,0,0,211,21,3,46,1,0,0,73,43,0,0,1,11,1,1,0,398,0,0,1,1,204,2,0
2025-07-11 15:59:56,25,27,0,0,0,184,26,0,6,0,0,0,46,19,0,0,2,10,0,7,0,301,0,0,0,0,213,21,584
2025-07-11 17:37:57,0,0,0,0,14,4,0,0,0,0,0,0,2,1,0,0,0,12,0,0,0,19,0,0,0,0,149,0,62
2025-07-12 14:51:09,0,0,0,0,1,70,0,0,0,0,0,0,28,27,0,0,1,12,0,0,0,230,0,0,0,0,648,0,12
2025-07-12 15:21:09,1,1,0,1,0,306,1,0,0,0,0,0,5,5,0,0,1,10,0,0,0,411,0,0,0,0,441,1,108
2025-07-13 11:47:50,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,12,0,0,0,0,0,1,0,1,8,0,1491
2025-07-13 12:47:50,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,2,10,0,0,0,0,0,0,0,0,25,0,806
2025-07-13 14:25:49,1,2,1,0,0,13,2,0,0,0,0,0,5,1,0,0,0,12,0,0,0,23,1,1,0,1,68,0,1345
2025-07-15 13:42:47,40,0,2,0,85,0,0,1,0,0,0,0,37,13,0,0,7,13,0,1,0,118,0,1,0,2,198,0,283
