record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-06-26 06:44:19,492,1390,22,16,4,1150,1048,251,5,1,0,1,134,60,0,0,18,22,0,5,7,3347,5,0,0,22,250,5,0
2025-06-26 07:45:22,255,1066,10,2,0,565,922,150,36,1,0,3,124,64,5,6,27,25,0,47,23,2602,3,0,0,10,338,9,0
2025-06-26 11:29:15,387,1176,14,0,0,998,1177,49,1,1,0,0,66,24,35,35,1,27,0,2,1,3320,1,0,0,14,195,2,0
2025-06-26 12:49:47,45,248,1,0,4,161,128,0,0,0,0,0,5,0,10,10,1,29,2,0,0,500,0,0,2,1,42,0,0
2025-06-26 14:05:26,243,1583,13,0,9,707,1700,24,2,1,0,0,77,15,12,12,9,31,5,34,7,3539,2,0,5,13,333,2,0
2025-06-27 00:32:14,336,1031,5,1,3,840,599,30,39,1,0,1,162,99,14,11,19,22,0,12,4,2630,0,1,0,5,522,1,0
2025-06-27 01:47:35,209,310,41,5,8,660,243,26,430,1,0,0,97,32,24,24,13,47,8,8,199,1686,16,1,8,41,456,0,0
2025-06-27 07:09:04,208,2491,38,1,3,403,1366,30,341,1,0,0,95,32,4,4,8,28,2,4,99,2841,6,1,2,38,310,0,0
2025-06-28 07:51:27,159,253,20,3,9,484,201,19,132,1,5,0,128,41,51,48,18,42,6,33,16,1649,1,0,6,20,343,0,0
2025-06-28 09:57:55,133,465,66,0,25,258,383,10,38,1,0,0,90,44,0,0,16,25,2,34,4,1643,1,1,2,66,271,0,0
2025-06-29 18:55:17,2,0,1,0,1,0,5,2,1,0,0,0,8,6,0,0,0,22,0,1,0,30,0,1,0,1,17,0,0
2025-06-30 03:26:39,630,1252,44,3,22,1532,648,34,152,1,0,0,203,38,2,3,39,52,7,29,0,3203,1,1,7,44,206,24,0
2025-06-30 07:09:24,187,282,47,3,31,452,373,19,124,1,0,0,273,75,9,10,67,118,20,126,0,1872,1,0,21,47,587,1,0
2025-06-30 09:45:10,548,1501,33,0,24,1519,614,38,42,1,0,0,394,250,3,4,36,44,1,25,12,3216,19,1,1,33,468,25,0
2025-06-30 14:39:20,377,462,40,0,9,874,1384,24,580,1,0,0,138,50,44,44,12,33,5,48,0,5275,0,0,5,40,737,5,0
2025-07-01 05:49:11,441,11,5,0,3,328,20,1,2845,1,0,0,29,8,0,0,10,28,1,2,591,744,39,1,1,5,62,0,0
2025-07-01 08:41:13,685,86,33,3,55,674,117,13,3599,1,0,2,285,153,8,7,34,38,4,73,1066,1829,31,1,4,33,359,2,0
2025-07-01 11:44:30,842,49,32,0,4,379,186,1,513,1,0,0,66,33,2,2,14,37,0,10,252,691,92,1,0,32,110,0,0
2025-07-02 02:06:49,152,12,42,0,22,196,21,12,1261,1,0,0,224,149,4,4,17,30,1,313,274,596,72,0,1,42,269,0,0
2025-07-02 03:09:36,186,315,27,1,29,318,571,10,599,1,0,0,171,87,24,24,14,23,2,3,11,4853,9,0,2,27,238,30,0
2025-07-02 04:12:42,94,236,14,0,0,279,365,3,7,1,0,0,69,22,4,4,12,27,3,0,0,1132,0,0,3,14,59,0,0
2025-07-02 05:22:08,285,768,49,0,22,841,1626,50,53,1,0,2,197,80,20,19,30,35,4,167,0,4040,0,0,4,49,425,9,0
2025-07-02 06:44:33,208,272,11,0,14,333,274,0,21,1,0,0,84,37,32,31,7,28,0,6,0,1064,0,0,0,11,109,0,0
2025-07-03 19:22:52,956,0,2,0,0,0,0,0,0,0,0,0,8,2,0,0,4,31,0,0,0,0,0,1,0,2,0,0,4056
2025-07-06 15:25:35,12,9,6,0,28,17,1,0,3,1,0,0,22,5,0,0,33,24,2,3,0,106,0,1,2,6,141,0,770
2025-07-07 02:33:10,196,300,25,0,7,329,519,30,117,1,0,0,254,158,0,0,16,33,11,13,1,1664,1,0,11,25,463,22,0
2025-07-07 03:33:18,72,83,18,0,4,218,170,2,323,1,0,0,105,53,0,0,13,31,7,7,1,1259,2,0,8,18,327,1,855
2025-07-07 06:03:26,293,376,9,0,9,685,301,2,124,1,0,0,110,38,3,0,7,41,10,53,31,1839,5,1,10,9,335,82,734
2025-07-07 09:09:03,381,773,22,1,16,1018,998,74,205,1,0,0,227,108,0,0,16,34,5,10,0,3672,1,1,5,22,559,157,0
2025-07-07 10:25:27,381,559,19,1,1,711,325,50,11,1,0,0,195,84,0,0,18,39,14,26,0,1612,0,0,14,19,383,3,874
2025-07-07 11:43:29,295,316,5,0,0,544,390,51,96,1,0,0,131,76,0,0,6,33,7,4,0,1725,0,0,7,5,525,4,725
2025-07-07 12:55:12,228,273,7,0,4,433,210,1,350,1,0,0,124,63,0,0,32,34,2,7,8,1107,4,0,2,7,244,2,0
2025-07-07 13:56:45,165,230,13,0,4,385,362,7,285,1,0,0,157,84,10,9,23,45,7,66,26,1506,7,0,7,13,351,1,0
2025-07-07 14:56:51,83,22,43,0,6,102,62,4,389,1,0,0,112,41,0,0,47,42,18,3,45,1018,4,0,18,43,447,0,0
2025-07-08 02:06:26,44,7,26,0,0,43,5,0,251,1,0,0,70,25,0,0,37,79,18,15,4,611,1,0,19,26,307,0,0
2025-07-08 06:01:12,56,6,21,0,5,74,7,0,192,1,0,0,136,68,0,0,29,22,10,18,0,526,0,0,10,21,291,0,0
2025-07-08 06:57:03,27,36,13,1,2,127,25,1,247,1,0,0,142,71,5,5,56,31,6,1,22,883,8,1,6,13,378,10,0
2025-07-08 07:40:38,44,25,11,0,1,189,12,7,682,1,0,0,216,122,2,2,73,31,6,10,227,783,51,0,6,11,315,0,0
2025-07-08 13:19:11,35,21,7,0,27,43,14,1,35,1,0,0,175,125,0,0,21,19,0,3,0,257,3,0,0,7,128,2,0
2025-07-08 13:50:26,39,49,3,0,31,116,64,9,59,1,0,0,43,26,0,0,14,18,3,0,0,476,0,0,3,3,164,0,0
2025-07-08 14:20:40,26,5,6,0,6,30,17,2,75,1,0,0,129,99,0,0,16,17,7,6,0,875,0,0,7,6,213,0,0
2025-07-08 15:00:18,97,103,15,1,11,146,83,38,5,0,0,13,350,280,0,0,21,21,1,13,1,894,2,1,1,15,133,8,0
2025-07-09 01:26:46,447,14,15,0,19,117,7,10,1595,1,0,0,124,73,0,0,20,17,3,10,501,823,159,0,3,15,63,0,0
