record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-06-18 01:22:06,1102,0,0,0,0,0,0,4,12804,1,0,0,22,17,0,0,4,22,0,2,790,7,44,1,0,0,0,0,0
2025-06-18 02:22:06,1647,0,0,0,0,7,0,0,15637,1,0,0,0,0,0,0,0,20,0,0,1119,7,40,0,0,0,0,0,0
2025-06-18 04:38:41,1332,0,1,0,0,29,0,0,13679,1,0,0,7,5,0,0,3,22,0,0,1103,34,28,1,0,1,0,0,0
2025-06-18 05:38:44,1247,0,0,0,0,34,0,0,13598,1,0,0,7,5,0,0,0,20,0,0,1143,39,25,0,0,0,0,0,0
2025-06-18 06:40:56,1382,0,0,0,0,4,0,0,348,1,0,0,2,1,0,0,0,21,0,0,4044,9,19,0,0,0,0,0,0
2025-07-09 08:40:36,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,1,13,1,0,0,3,0,1,0,1,33,0,1350
2025-07-14 07:19:09,301,0,2,0,0,1,0,0,8689,1,0,0,30,25,0,0,3,14,0,0,381,36,11,1,0,2,22,0,1064
2025-07-14 07:56:01,255,0,2,0,0,0,0,0,8510,1,0,0,14,12,0,0,2,13,0,0,394,10,12,0,0,2,10,0,670
2025-07-14 08:35:21,326,0,0,0,0,0,0,0,9035,1,0,0,16,15,0,0,0,13,0,0,427,17,11,0,0,0,15,0,1925
2025-07-14 09:16:13,364,0,0,0,0,0,0,0,9882,1,0,0,0,0,0,0,0,13,0,0,449,0,12,0,0,0,0,0,0
2025-07-14 10:00:10,316,0,0,0,0,0,0,0,9168,1,0,0,0,0,0,0,0,15,0,0,480,0,11,0,0,0,0,0,0
2025-07-14 10:41:43,331,0,0,0,0,0,0,0,9673,1,0,0,0,0,0,0,0,14,0,0,467,0,11,0,0,0,0,0,0
2025-07-14 11:24:57,187,0,0,0,0,220,0,0,4981,1,0,0,0,0,0,0,0,14,0,0,261,220,6,0,0,0,0,0,0
2025-07-14 13:19:17,309,1,0,0,0,13,0,717,1477,1,0,0,40,36,0,0,11,14,0,667,1512,45,8,0,0,0,37,0,1280
2025-07-14 16:22:24,148,0,1,0,0,419,0,0,3721,1,0,0,2,1,0,0,0,12,0,0,350,428,5,1,0,1,18,0,1477
2025-07-14 16:52:24,0,0,0,0,0,703,0,0,0,0,0,0,0,0,0,0,0,10,0,0,42,703,0,0,0,0,0,0,0
2025-07-14 17:22:27,0,0,0,0,0,704,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,704,0,0,0,0,0,0,0
2025-07-14 17:52:27,0,0,0,0,0,704,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,704,0,0,0,0,0,0,0
2025-07-14 18:22:27,0,0,0,0,0,703,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,703,0,0,0,0,0,0,0
2025-07-14 18:52:27,30,0,0,0,0,703,0,0,1,0,0,0,0,0,0,0,0,10,0,0,42,703,0,0,0,0,0,0,0
2025-07-14 19:22:27,1,0,0,0,0,702,0,0,0,0,0,0,0,0,0,0,0,10,0,0,65,702,1,0,0,0,0,0,0
2025-07-14 19:52:27,0,0,0,0,0,703,0,0,0,0,0,0,0,0,0,0,0,10,0,0,16,703,0,0,0,0,0,0,0
2025-07-14 20:22:27,0,0,0,0,0,704,0,0,0,0,0,0,0,0,0,0,0,10,0,0,1,704,0,0,0,0,0,0,0
2025-07-14 23:15:46,536,0,0,0,0,3,0,0,13566,1,0,0,1,1,0,0,0,13,0,0,706,6,14,0,0,0,3,0,1476
2025-07-14 23:45:46,227,0,0,0,0,635,0,0,1400,1,0,0,0,0,0,0,0,10,0,0,108,635,1,0,0,0,0,0,0
2025-07-15 00:15:46,212,0,0,0,0,703,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,703,0,0,0,0,0,0,0
2025-07-15 00:45:46,468,0,0,0,0,151,0,0,10491,1,0,0,2,0,0,0,0,10,0,0,572,151,11,0,0,0,0,0,0
2025-07-15 01:15:46,530,0,0,0,0,2,0,0,13679,1,0,0,0,0,0,0,0,10,0,0,702,2,13,0,0,0,0,0,0
2025-07-15 01:45:46,565,0,0,0,0,2,0,0,14165,1,0,0,0,0,0,0,0,10,0,0,715,2,14,0,0,0,0,0,0
2025-07-15 02:15:46,580,0,0,0,0,0,0,0,13515,1,0,0,5,4,0,0,0,10,0,0,711,22,12,0,0,0,2,0,1184
2025-07-15 02:45:46,514,0,0,0,0,0,0,0,13586,1,0,0,0,0,0,0,0,10,0,0,721,0,12,0,0,0,0,0,0
2025-07-15 03:15:46,587,0,0,0,0,0,0,0,14053,1,0,0,0,0,0,0,0,10,0,0,716,0,12,0,0,0,0,0,0
2025-07-15 03:45:46,518,0,0,0,0,0,0,0,13141,1,0,0,0,0,0,0,0,10,0,0,717,0,11,0,0,0,0,0,0
2025-07-15 04:15:46,450,0,2,0,0,1,0,0,11864,1,0,0,4,4,0,0,2,10,0,0,610,25,10,0,0,2,3,0,716
2025-07-15 04:45:46,518,0,0,0,0,0,0,0,13445,1,0,0,0,0,0,0,0,10,0,0,722,0,11,0,0,0,0,0,0
2025-07-15 05:15:49,445,0,0,0,0,0,0,0,10925,1,0,0,2,1,0,0,0,10,0,0,543,5,9,0,0,0,1,0,167
2025-07-15 07:14:52,0,0,0,0,0,0,0,0,0,1,0,0,4,2,0,0,0,12,0,0,5,3,1,1,0,0,0,0,1479
2025-07-15 13:51:28,0,4,0,0,0,25,1489,0,3,1,0,0,20,13,0,0,3,13,0,0,2,1800,0,0,0,0,70,0,667
2025-07-16 01:01:51,266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,4,0,0,0,0,0,0,1498
2025-07-16 01:31:51,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
2025-07-16 02:01:51,229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
2025-07-16 02:31:51,261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
2025-07-16 06:41:08,480,0,1,0,0,0,0,79,13920,1,0,0,53,51,0,0,3,14,1,47,493,93,11,0,1,1,76,0,1223
2025-07-16 07:17:48,609,0,0,0,0,0,0,0,17150,1,0,0,0,0,0,0,0,12,0,0,709,0,13,0,0,0,0,0,0
2025-07-16 13:24:59,881,0,0,0,0,11,0,0,17217,1,0,0,13,10,0,0,0,12,0,0,1343,32,13,1,0,0,30,0,1022
2025-07-16 14:33:42,249,4,2,0,0,6,4,12,693,1,0,0,39,31,0,0,4,13,1,8,40,82,1,1,1,2,191,4,369
2025-07-16 15:05:02,272,0,0,0,0,1,0,0,2053,1,0,0,0,0,0,0,0,11,0,0,1658,11,7,0,0,0,14,0,316
2025-07-16 15:37:00,504,0,0,0,0,1,0,5,6335,1,0,0,21,14,0,0,3,10,0,2,1870,32,9,0,0,0,41,0,994
2025-07-16 23:34:45,756,0,0,0,0,0,0,0,18437,1,0,0,1,0,0,0,0,12,0,0,709,2,12,1,0,0,1,0,1484
2025-07-17 00:04:45,796,0,0,0,0,0,0,0,19327,1,0,0,0,0,0,0,0,10,0,0,712,0,13,0,0,0,0,0,0
2025-07-17 00:34:45,731,0,0,0,0,0,0,0,18701,1,0,0,0,0,0,0,0,10,0,0,726,0,12,0,0,0,0,0,0
2025-07-17 01:04:45,871,0,0,0,0,0,0,0,18266,1,0,0,0,0,0,0,0,10,0,0,730,0,12,0,0,0,0,0,0
2025-07-17 01:34:45,809,0,0,0,0,1,0,0,18302,1,0,0,0,0,0,0,0,10,0,0,709,1,11,0,0,0,0,0,0
2025-07-17 03:08:13,807,0,0,0,0,1,0,0,19400,1,0,0,3,3,0,0,0,12,0,0,701,8,12,0,0,0,2,0,1478
2025-07-17 03:38:13,810,0,0,0,0,0,0,0,18818,1,0,0,0,0,0,0,0,10,0,0,727,0,11,0,0,0,0,0,0
2025-07-17 04:08:13,814,0,0,0,0,0,0,0,19412,1,0,0,0,0,0,0,0,10,0,0,733,0,12,0,0,0,0,0,0
2025-07-17 04:38:13,791,0,0,0,0,1,0,0,18611,1,0,0,0,0,0,0,0,10,0,0,722,1,10,0,0,0,0,0,0
2025-07-17 05:08:13,795,0,0,0,0,1,0,0,17810,1,0,0,0,0,0,0,0,10,0,0,715,1,11,0,0,0,0,0,0
2025-07-17 05:38:14,774,0,1,0,0,0,0,0,18073,1,0,0,9,5,0,0,2,11,1,0,687,7,10,0,1,1,3,0,0
2025-07-17 06:08:14,585,0,0,0,0,3,0,0,12888,1,0,0,3,0,0,0,6,10,0,0,1079,13,9,0,0,0,31,0,1318
2025-07-17 06:49:31,453,2,1,0,0,9,15,6,6139,1,0,0,94,89,0,0,10,12,0,3,330,82,4,1,0,1,82,15,230
2025-07-17 07:19:36,853,0,0,0,0,0,0,0,19644,1,0,0,0,0,0,0,0,10,0,0,723,0,11,0,0,0,0,0,1765
2025-07-17 08:43:11,803,0,0,0,0,1,0,0,18543,1,0,0,1,0,0,0,0,12,0,0,725,3,10,1,0,0,0,0,1543
2025-07-17 09:13:22,813,0,0,0,0,1,0,0,19268,1,0,0,0,0,0,0,0,10,0,0,714,1,10,0,0,0,0,0,0
2025-07-17 09:44:49,869,0,0,0,0,1,0,0,19302,1,0,0,0,0,0,0,0,10,0,0,760,1,10,0,0,0,0,0,0
2025-07-17 10:19:15,867,0,0,0,0,0,0,0,19628,1,0,0,0,0,0,0,0,12,0,0,814,0,10,0,0,0,0,0,0
2025-07-17 10:59:17,902,0,0,0,0,0,0,0,19191,1,0,0,0,0,0,0,0,13,0,0,957,0,10,0,0,0,0,0,0
2025-07-18 14:43:53,96,62,2,0,0,116,43,0,3,1,0,0,35,19,0,0,6,13,1,6,27,403,0,0,1,2,172,0,0
2025-07-18 15:13:53,47,63,0,0,0,119,1,0,5,0,0,0,6,1,0,0,0,10,0,0,14,157,0,0,0,0,35,0,717
2025-07-18 15:43:53,16,26,0,0,0,46,0,0,0,0,0,0,5,5,0,0,0,10,0,0,8,61,0,0,0,0,17,0,492
2025-07-20 14:06:16,447,0,2,0,0,13,0,0,12772,1,0,0,27,17,0,0,10,14,0,0,602,103,7,0,0,2,105,0,728
2025-07-20 14:47:48,0,0,1,0,0,0,0,0,0,0,0,0,16,7,0,0,0,13,0,0,0,23,0,1,0,1,66,0,924
2025-07-21 00:51:15,719,0,1,0,0,5,0,4,24570,1,0,0,15,10,0,0,3,12,0,0,796,20,12,0,0,1,32,0,1375
