record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-06-19 17:34:14,342,488,2,4,0,602,131,12,113,1,0,0,166,109,1,1,11,22,0,84,170,1260,12,0,0,2,251,8,0
2025-06-19 20:10:18,2,3,16,0,6,33,1,0,13952,1,0,0,22,14,0,0,5,26,0,1,2308,266,126,1,0,16,29,0,0
2025-06-19 21:10:18,0,0,0,0,0,152,0,0,17180,1,0,0,0,0,0,0,0,20,0,0,2983,152,75,0,0,0,0,0,0
2025-06-19 22:10:18,0,0,0,0,0,163,0,0,17059,1,0,0,0,0,0,0,0,20,0,0,2924,164,51,0,0,0,0,0,0
2025-06-19 23:10:40,0,0,0,0,0,152,0,0,17368,1,0,0,0,0,0,0,0,20,0,0,2992,152,41,0,0,0,0,0,0
2025-06-20 00:11:07,0,0,0,0,0,160,0,0,17355,1,0,0,0,0,0,0,0,20,0,0,2967,161,35,0,0,0,0,0,0
2025-06-20 01:44:16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,3128,1,0,0,0,0,0,0
2025-06-20 02:44:16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,3129,0,0,0,0,0,0,0
2025-06-20 03:44:16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,3125,0,0,0,0,0,0,0
2025-06-20 04:44:16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,3119,0,0,0,0,0,0,0
2025-06-20 05:44:16,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,1209,0,0,0,0,7,0,0
2025-07-08 19:31:05,148,877,6,0,3,153,217,5,60,1,0,0,40,6,0,0,1,12,0,40,88,712,0,1,0,6,288,0,0
2025-07-08 20:01:06,18,107,2,0,0,25,57,2,0,0,0,1,30,21,0,0,3,11,1,6,8,173,0,0,1,2,75,0,552
2025-07-08 20:31:05,77,202,0,0,0,69,162,16,29,1,0,1,39,25,4,5,2,11,0,6,27,422,0,0,0,0,233,0,0
2025-07-08 21:01:05,0,0,0,0,0,0,0,0,0,0,0,1,3,2,0,0,0,10,0,0,1,2,0,0,0,0,0,0,1527
2025-07-08 22:31:43,134,211,0,0,0,105,77,16,48,1,0,1,35,19,19,18,5,10,0,19,33,484,0,0,0,0,271,0,0
2025-07-08 23:01:43,11,39,1,0,0,6,17,0,5,1,0,0,5,3,0,1,1,10,0,2,3,47,0,0,0,1,63,0,1214
2025-07-09 01:31:43,15,24,0,0,0,32,20,0,0,0,0,4,36,23,0,0,3,10,0,0,4,92,0,0,0,0,4,0,756
