record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-08-05 06:43:23,3,2,0,0,0,2,22,3,0,0,0,0,206,184,4,144,17,2,0,1,0,546,0,0,0,0,38,0,2490
2025-08-05 07:45:28,3,2,0,0,0,0,0,0,0,0,0,0,206,184,4,144,17,2,0,1,0,546,0,0,0,0,38,0,3724
2025-08-05 08:48:37,3,2,0,0,0,0,0,0,0,0,0,0,206,184,4,144,17,2,0,1,0,546,0,0,0,0,38,0,3789
2025-08-05 09:54:03,3,2,0,0,0,0,0,0,0,0,0,0,206,184,4,144,17,2,0,1,0,546,0,0,0,0,38,0,3926
2025-08-05 10:59:41,3,2,0,0,0,0,0,0,0,0,0,0,206,184,4,144,17,2,0,1,0,546,0,0,0,0,38,0,3937
2025-08-05 12:10:55,3,2,0,0,0,0,0,0,0,0,0,0,206,184,4,144,17,2,0,1,0,546,0,0,0,0,38,0,4274
2025-08-05 13:40:39,3,2,0,0,0,0,0,0,0,0,0,0,206,184,4,144,17,2,0,1,0,546,0,0,0,0,38,0,5384
2025-08-06 02:30:38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,3356
2025-08-06 03:32:05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,3686
2025-08-06 04:33:42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,3697
2025-08-06 06:03:06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2682
2025-08-06 07:03:46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3639
2025-08-06 08:04:25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3639
2025-08-06 09:05:36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3670
2025-08-06 10:07:23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3707
2025-08-06 11:09:34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3730
2025-08-06 12:14:16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3882
2025-08-06 13:23:19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4142
2025-08-15 14:34:42,90,98,0,0,0,140,719,1,0,0,0,0,209,144,0,0,18,2,0,0,0,1214,0,0,0,0,217,85,2532
2025-08-15 16:30:50,90,98,0,0,0,0,0,0,0,0,0,0,209,144,0,0,18,2,0,0,0,1214,0,0,0,0,217,85,6968
2025-08-15 18:25:14,90,98,0,0,0,0,0,0,0,0,0,0,210,144,0,0,18,2,0,0,0,1214,0,0,0,0,217,85,6863
2025-08-15 20:21:14,90,98,0,0,0,0,0,0,0,0,0,0,210,144,0,0,18,2,0,0,0,1214,0,0,0,0,217,85,6960
2025-08-15 22:17:21,90,98,0,0,0,0,0,0,0,0,0,0,210,144,0,0,18,2,0,0,0,1214,0,0,0,0,217,85,6966
2025-08-16 00:13:57,90,98,0,0,0,0,0,0,0,0,0,0,210,144,0,0,18,2,0,0,0,1214,0,0,0,0,217,85,6995
2025-08-16 01:59:27,90,98,0,0,0,0,0,0,0,0,0,0,210,144,0,0,18,2,0,0,0,1214,0,0,0,0,217,85,6330
2025-08-16 03:23:21,90,98,0,0,0,0,0,0,0,0,0,0,210,144,0,0,18,2,0,0,0,1214,0,0,0,0,217,85,5034
2025-08-16 04:36:51,90,98,0,0,0,0,0,0,0,0,0,0,210,144,0,0,18,2,0,0,0,1214,0,0,0,0,217,85,4409
