record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-08-05 23:42:05,0,0,1,0,0,0,0,0,0,0,0,0,11,3,0,0,1,4,0,0,0,13,0,1,0,1,30,0,6644
2025-08-06 01:45:33,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,2,0,0,0,6,0,0,0,0,9,0,3033
2025-08-06 02:47:12,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,2,0,0,0,6,0,0,0,0,9,0,3698
2025-08-06 15:33:46,318,2114,0,0,0,2513,195,55,15,1,0,0,149,89,12,6,9,5,1,3,3,3371,1,0,0,0,354,24,0
2025-08-07 03:37:07,1036,5513,12,2,0,234,160,13,190,1,0,2,428,224,25,17,27,41,13,67,31,8504,3,12,0,12,1395,86,76
2025-08-07 04:40:35,1130,5583,17,0,8,176,64,8,328,1,0,2,532,281,25,17,30,42,14,90,36,8949,3,12,0,17,1653,93,230
2025-08-07 17:12:49,1,1,0,0,0,1,1,0,0,0,0,0,7,1,0,0,1,3,1,0,0,13,0,1,0,0,27,0,4069
2025-08-07 18:57:37,248,367,0,0,2,458,159,2,2,0,0,0,47,17,0,0,2,3,1,0,0,852,0,1,0,0,130,2,4493
2025-08-07 23:47:36,870,1175,21,2,1,903,82,5,302,1,0,0,459,146,0,10,20,155,147,56,14,2591,1,4,0,21,1317,8,0
2025-08-08 01:12:12,886,1180,22,0,0,7,9,0,326,1,0,0,486,163,0,10,21,156,148,56,26,2724,1,4,0,22,2499,8,1484
2025-08-08 19:20:58,1702,4856,0,0,9,2914,103,9,13,1,0,17,263,188,0,18,26,21,3,21,13,3967,1,0,0,0,502,0,2725
2025-08-08 23:38:26,2053,8145,0,0,0,43,242,6,13,1,0,40,404,316,0,18,30,23,3,21,18,4537,1,1,0,0,834,0,4125
2025-08-09 01:18:58,2053,8145,0,0,0,0,0,0,13,1,0,40,404,316,0,18,30,23,3,21,18,4538,1,1,0,0,834,0,5728
2025-08-09 02:40:27,2205,9063,0,0,0,1,0,0,13,1,0,40,404,316,0,18,30,23,3,21,18,4539,1,1,0,0,846,0,4531
2025-08-09 03:50:23,2205,9063,0,0,0,0,0,0,13,1,0,40,404,316,0,18,30,23,3,21,18,4539,1,1,0,0,846,0,4195
2025-08-09 04:58:12,2205,9063,0,0,0,0,0,0,13,1,0,40,404,316,0,18,30,23,3,21,18,4539,1,1,0,0,846,0,4069
2025-08-09 06:05:18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3485
2025-08-09 07:08:01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3762
2025-08-09 08:11:16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3795
2025-08-09 09:15:38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3861
2025-08-09 10:26:20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4241
2025-08-09 11:43:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4658
2025-08-09 13:13:17,2,2,0,0,0,4,3,4,0,0,0,0,18,7,0,0,1,2,0,0,0,17,0,0,0,0,18,0,4799
2025-08-09 15:02:30,2,2,0,0,0,0,0,0,0,0,0,0,18,7,0,0,1,3,0,0,0,17,0,0,0,0,18,0,6552
2025-08-09 16:53:27,176,221,0,0,1,240,152,3,0,0,0,6,76,45,0,0,1,7,0,0,1,570,0,0,0,0,157,0,3763
2025-08-09 18:44:28,209,257,2,0,0,57,216,2,0,0,0,6,92,52,0,0,1,7,0,0,1,949,0,0,0,2,282,0,4621
2025-08-09 20:43:15,209,257,2,0,0,0,0,0,0,0,0,6,96,53,0,0,1,7,0,0,1,954,0,0,0,2,293,0,6747
2025-08-09 22:41:47,209,257,2,0,0,0,0,0,0,0,0,6,96,53,0,0,1,7,0,0,1,954,0,0,0,2,293,0,7111
2025-08-10 06:07:33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3621
2025-08-10 07:12:29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3896
2025-08-10 22:59:12,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,5,0,2,0,1,6,0,20631
2025-08-11 00:49:05,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,5,0,2,0,1,6,0,6592
2025-08-11 02:34:21,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,5,0,2,0,1,6,0,6316
2025-08-11 04:03:56,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,5,0,2,0,1,6,0,5374
2025-08-11 06:06:33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3550
2025-08-11 07:10:50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3856
2025-08-11 08:16:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3940
2025-08-11 09:24:05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4055
2025-08-11 10:45:20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4874
2025-08-11 12:18:17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5577
2025-08-11 14:10:47,0,0,0,0,0,0,1,0,0,0,0,0,5,2,0,0,0,0,0,0,0,4,0,0,0,0,8,0,6574
2025-08-11 16:13:12,0,0,1,0,0,0,19,0,0,0,0,0,16,5,0,0,0,1,1,0,0,33,0,0,0,1,39,0,6403
2025-08-11 19:00:01,0,0,2,0,0,0,0,0,0,0,0,0,18,5,0,0,0,3,1,0,0,35,0,1,0,2,39,0,8604
2025-08-11 21:10:31,0,0,2,0,0,0,0,0,0,0,0,0,18,5,0,0,0,3,1,0,0,35,0,1,0,2,39,0,7830
2025-08-11 23:16:16,19,11,2,0,0,56,442,0,5,1,0,0,42,13,0,0,0,3,1,0,2,673,0,1,0,2,245,0,6046
2025-08-12 01:00:50,75,106,2,0,0,124,411,0,5,1,0,0,54,14,0,0,0,3,1,0,2,1344,0,1,0,2,393,0,2869
2025-08-12 02:33:39,280,438,2,0,22,416,594,49,6,1,0,0,135,66,0,0,5,4,2,13,4,2791,0,1,0,2,761,0,1674
2025-08-12 03:47:22,563,815,4,0,75,503,485,0,8,1,0,0,170,71,0,0,10,5,3,16,5,4235,0,1,0,4,1265,0,0
2025-08-12 04:56:37,1401,1999,7,0,94,1105,91,0,42,2,0,0,242,105,0,0,19,6,4,267,8,6354,3,1,0,7,1820,3,0
2025-08-12 19:32:55,330,495,0,2,1,563,459,1,0,0,0,0,157,115,2,1,9,2,0,1,0,1997,0,1,0,0,446,5,3089
2025-08-12 21:27:11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6855
2025-08-12 23:25:14,454,681,0,1,35,945,1828,11,107,0,0,0,151,90,17,17,7,0,0,2,0,5363,0,0,0,0,382,0,2746
2025-08-13 16:43:03,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,2,2,0,0,0,4,0,0,0,0,7,0,6872
2025-08-13 18:39:14,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,2,2,0,0,0,4,0,0,0,0,7,0,6970
2025-08-13 20:41:11,0,0,0,0,0,0,1,0,0,0,0,0,11,8,0,0,2,2,0,0,0,13,0,0,0,0,19,0,6927
2025-08-13 22:43:14,164,207,0,0,0,235,283,19,0,0,0,0,115,83,0,0,3,2,0,1,0,1042,0,0,0,0,426,4,4632
2025-08-14 00:29:29,164,207,0,0,0,0,0,0,0,0,0,0,115,83,0,0,3,2,0,1,0,1042,0,0,0,0,426,4,6374
2025-08-14 01:44:47,164,207,0,0,0,0,0,0,0,0,0,0,115,83,0,0,3,2,0,1,0,1042,0,0,0,0,426,4,4518
2025-08-14 02:54:18,164,207,0,0,0,0,0,0,0,0,0,0,115,83,0,0,3,2,0,1,0,1042,0,0,0,0,426,4,4170
2025-08-14 04:02:20,164,207,0,0,0,0,0,0,0,0,0,0,115,83,0,0,3,2,0,1,0,1042,0,0,0,0,426,4,4081
2025-08-14 06:06:02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3521
2025-08-14 07:10:03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3841
2025-08-14 08:51:17,90,197,1,0,0,0,0,0,0,0,0,0,19,4,0,0,1,4,0,1,0,301,0,1,0,1,77,0,3256
2025-08-14 10:03:04,90,197,1,0,0,0,0,0,0,0,0,0,19,4,0,0,1,4,0,1,0,301,0,1,0,1,77,0,4307
2025-08-14 11:30:30,90,197,1,0,0,0,0,0,0,0,0,0,19,4,0,0,1,4,0,1,0,301,0,1,0,1,77,0,5245
