record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-08-05 08:09:54,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,3130
2025-08-05 09:14:10,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,3856
2025-08-05 10:43:57,319,1231,1,1,2,290,494,71,8,1,0,0,99,56,0,0,15,3,1,0,8,1137,6,1,0,1,255,0,667
2025-08-05 11:53:35,11,72,6,0,0,13,7,0,0,0,0,0,5,3,0,0,0,0,0,0,12,773,0,0,0,6,56,0,2649
2025-08-05 16:22:22,643,3719,11,0,2,172,119,0,65,1,0,2,167,58,0,0,47,23,11,16,51,2729,0,2,0,11,889,0,3450
2025-08-05 20:21:32,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,2,3,0,0,0,0,0,1,0,0,0,0,6013
2025-08-06 00:21:59,1007,2453,13,0,7,2293,1979,25,127,1,0,0,432,216,13,13,52,14,2,47,30,6944,25,4,0,13,1293,4,0
2025-08-06 09:52:08,87,105,0,0,0,142,16,1,0,0,0,0,68,50,2,0,4,2,0,0,4463,241,244,0,0,0,147,0,2561
2025-08-06 10:54:09,643,762,0,0,0,770,303,1,0,0,0,0,105,65,2,0,13,2,0,0,4489,1385,244,0,0,0,313,0,768
2025-08-06 11:58:07,1413,1451,2,0,0,859,705,4,27,1,0,1,156,86,2,0,15,2,0,1,4517,4118,244,0,0,2,666,2,1030
2025-08-06 13:05:54,1509,1544,2,0,0,136,1,0,104,1,0,2,212,99,2,0,49,2,0,2,4577,4724,244,0,0,2,1018,2,51
2025-08-06 14:18:49,2536,2243,2,4,0,938,821,3,200,1,0,4,289,124,2,0,79,2,0,8,4634,7480,244,0,0,2,1338,2,361
