record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-08-10 00:04:15,631,840,3,0,20,910,482,4,76,1,94,0,791,218,2,2,107,12,2,84,11,3046,1,1,0,3,4245,0,0
2025-08-11 01:02:25,5783,10250,45,3,7,3326,3136,30,1665,1,0,1,2032,847,232,225,304,27,3,407,441,23612,41,6,0,45,9000,3,0
2025-08-11 11:39:44,1874,3265,0,2,0,3612,2969,12,147,1,0,0,249,87,53,53,11,3,1,69,33,10716,0,0,0,0,1309,0,0
2025-08-11 21:16:17,4247,7442,36,2,8,2390,263,25,1758,1,0,0,1390,455,231,232,169,28,3,327,662,19137,8,5,0,36,7752,3,952
2025-08-12 13:48:19,567,1345,1,3,4,546,625,52,120,1,0,13,509,227,49,49,96,10,0,54,25,7649,0,1,0,1,1327,6,1296
2025-08-12 15:50:55,1219,2199,6,2,6,1009,523,28,416,1,0,13,1007,463,95,96,174,21,3,111,76,10418,7,1,0,6,2901,19,838
2025-08-13 00:07:06,315,356,0,0,4,476,5,7,244,1,0,0,595,268,52,52,122,15,9,42,898,1364,142,2,0,0,1427,0,130
2025-08-13 12:07:37,458,684,4,0,14,108,9,13,284,1,0,0,363,128,24,24,60,5,1,34,99,1613,29,1,0,4,1213,0,1252
2025-08-13 16:55:33,1559,2872,10,0,19,319,494,15,363,1,0,0,890,335,66,66,167,19,8,83,2886,6118,293,4,0,10,3124,33,202
2025-08-13 22:49:40,637,903,27,1,4,1199,654,23,398,1,0,0,368,98,36,36,38,3,1,52,115,3387,1,1,0,27,2549,0,0
2025-08-14 00:34:21,940,1303,36,1,0,337,177,26,792,1,0,0,558,164,44,44,58,4,2,78,1883,4557,119,1,0,36,4098,1,1456
2025-08-14 15:23:35,182,265,8,0,1,364,839,11,262,1,0,0,172,75,15,15,33,6,0,23,40,2626,0,1,0,8,1635,0,2560
2025-08-15 15:56:58,1636,3196,27,3,0,410,172,11,444,1,0,1,205,70,41,37,27,12,2,68,143,6099,1,2,0,27,2669,0,1954
2025-08-15 22:17:06,3745,6582,29,2,10,3193,1588,42,944,1,0,14,601,215,133,129,74,21,2,115,970,13705,2,4,0,29,5235,3,755
2025-08-16 00:13:42,4502,8302,35,8,3,909,1092,41,1005,1,0,44,1033,416,170,166,124,25,3,155,1051,16827,3,4,0,35,6011,17,707
2025-08-17 04:38:46,1374,3062,7,2,0,636,904,22,500,1,0,22,1179,524,53,54,203,29,3,104,106,6890,13,8,0,7,3846,76,0
