record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-08-13 11:14:12,84,0,0,0,2,19,1,7,761,1,0,0,154,134,0,0,13,2,0,0,883,190,120,0,0,0,189,0,1064
2025-08-13 12:52:40,84,0,0,0,0,0,0,0,761,1,0,0,154,134,0,0,13,2,0,0,3234,190,240,0,0,0,189,0,4708
2025-08-13 14:47:10,103,1,0,0,0,22,2,5,809,1,0,2,341,280,0,0,33,2,0,5,4501,712,287,0,0,0,801,0,3281
2025-08-13 16:47:21,278,156,2,0,0,179,161,60,866,1,0,2,615,493,2,2,39,2,0,5,4543,27166,287,0,0,2,1096,44,2693
2025-08-13 18:43:44,285,156,2,0,0,6,0,0,884,1,0,2,674,531,2,2,46,4,0,6,5789,174931,337,0,0,2,1216,44,0
2025-08-13 20:45:41,285,156,2,0,0,0,1,4,884,1,0,2,738,582,2,2,51,4,0,6,5856,230178,337,0,0,2,1275,44,3581
2025-08-13 23:05:18,298,165,2,0,0,22,6,5,15,1,0,2,983,745,2,2,64,6,0,11,10580,254204,731,1,0,2,2858,44,0
2025-08-14 00:45:46,298,165,2,0,0,0,0,0,15,1,0,2,983,745,2,2,64,6,0,11,10710,421035,731,1,0,2,2858,44,0
2025-08-14 01:58:09,298,165,2,0,0,0,0,0,15,1,0,2,983,745,2,2,64,6,0,11,10760,541949,731,1,0,2,2858,44,0
2025-08-14 03:07:44,298,165,2,0,0,0,0,0,15,1,0,2,983,745,2,2,64,6,0,11,10760,659134,731,1,0,2,2858,44,0
2025-08-14 04:14:55,298,165,2,0,0,0,0,0,15,1,0,2,983,745,2,2,64,6,0,11,10760,772604,731,1,0,2,2858,44,0
2025-08-14 06:06:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,107819,0,0,0,0,0,0,0
2025-08-14 07:10:01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108402,0,0,0,0,0,0,0
2025-08-14 08:13:43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108135,0,0,0,0,0,0,0
2025-08-14 09:20:17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112998,0,0,0,0,0,0,0
2025-08-14 10:39:35,0,0,0,0,0,0,0,7,0,0,0,0,43,33,0,0,5,0,0,0,4553,152655,135,0,0,0,1876,0,0
2025-08-14 12:07:31,0,0,0,0,0,0,0,0,0,0,0,0,43,33,0,0,5,0,0,0,11544,152655,254,0,0,0,2587,0,2957
2025-08-14 13:59:03,0,0,0,0,0,0,0,0,0,0,0,0,43,33,0,0,5,0,0,0,14017,152655,288,0,0,0,2587,0,5786
2025-08-14 15:57:52,0,0,0,0,0,0,0,0,0,0,0,0,43,33,0,0,5,0,0,0,14068,152655,288,0,0,0,2587,0,7129
2025-08-14 17:50:36,0,0,0,0,0,0,0,0,0,0,0,0,43,33,0,0,5,0,0,0,14133,152655,289,0,0,0,2587,0,6763
2025-08-14 19:43:15,0,0,0,0,0,0,0,0,0,0,0,0,43,33,0,0,5,0,0,0,15831,152655,309,0,0,0,2587,0,6156
2025-08-14 21:39:05,0,0,0,0,0,0,0,0,0,0,0,0,43,33,0,0,5,0,0,0,19665,152655,358,0,0,0,2587,0,6950
2025-08-15 00:32:12,497,548,3,0,3,670,519,45,14,1,0,2,482,368,18,19,28,2,0,36,3960,1893,51,1,0,3,2077,46,0
2025-08-15 01:50:15,497,548,3,0,0,0,0,0,14,1,0,2,482,368,18,19,28,2,0,36,3960,1893,51,1,0,3,2077,46,4401
2025-08-15 03:03:10,497,548,3,0,0,0,0,0,14,1,0,2,482,368,18,19,28,2,0,36,3960,1893,51,1,0,3,2077,46,4374
2025-08-15 04:09:44,497,548,3,0,0,0,0,0,14,1,0,2,482,368,18,19,28,2,0,36,3960,1893,51,1,0,3,2077,46,3993
2025-08-15 06:05:17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3477
2025-08-15 07:07:39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3441
2025-08-15 08:11:08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3769
2025-08-15 09:17:09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3699
2025-08-15 10:28:53,1,1,0,0,0,2,7,0,0,0,0,0,4,1,0,0,1,2,0,0,3956,35,56,0,0,0,2164,0,1065
2025-08-15 11:58:00,1,1,0,0,0,0,0,0,0,0,0,0,4,1,0,0,1,2,0,0,10955,35,133,0,0,0,4441,0,0
2025-08-15 13:36:06,1,1,0,0,0,0,0,0,0,0,0,0,4,1,0,0,1,2,0,0,18141,35,199,0,0,0,7457,0,0
2025-08-15 15:34:04,1,1,0,0,0,0,0,0,0,0,0,0,4,1,0,0,1,2,0,0,26193,35,262,0,0,0,10803,0,0
2025-08-15 17:25:45,1,1,0,0,0,0,0,0,0,0,0,0,4,1,0,0,1,2,0,0,28353,35,278,0,0,0,11208,0,4887
2025-08-15 19:22:37,1,1,0,0,0,0,0,0,0,0,0,0,4,1,0,0,1,2,0,0,28362,35,278,0,0,0,11208,0,6874
2025-08-15 21:18:06,1,1,0,0,0,0,0,0,0,0,0,0,4,1,0,0,1,2,0,0,28368,35,278,0,0,0,11208,0,6627
2025-08-15 23:14:30,1,1,0,0,0,1,0,0,0,0,0,0,14,2,0,0,4,2,0,0,33822,45,322,0,0,0,14469,0,1796
2025-08-16 01:09:39,1,1,0,0,0,0,0,0,0,0,0,0,14,2,0,0,4,2,0,0,44330,45,434,0,0,0,17794,0,0
2025-08-16 02:40:54,1,1,0,0,0,0,0,0,0,0,0,0,14,2,0,0,4,2,0,0,55766,45,586,0,0,0,19689,0,0
2025-08-16 04:00:24,1,1,0,0,0,0,0,0,0,0,0,0,14,2,0,0,4,2,0,0,65512,45,725,0,0,0,22159,0,0
2025-08-16 06:05:36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,9192,0,112,0,0,0,2072,0,0
2025-08-16 07:09:20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,17409,0,203,0,0,0,4099,0,0
2025-08-16 08:14:32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,24575,0,283,0,0,0,5631,0,0
2025-08-16 09:20:17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,31707,0,355,0,0,0,7689,0,0
2025-08-16 10:35:06,32,27,9,0,0,39,86,0,0,0,0,0,23,4,0,0,3,2,0,0,35931,1343,395,0,0,9,8743,0,140
2025-08-16 12:08:58,39,29,12,0,0,7,0,0,0,1,0,0,34,11,0,0,4,2,0,0,42785,4581,442,0,0,12,10704,0,0
2025-08-16 13:42:54,39,29,12,0,0,0,0,0,0,1,0,0,34,11,0,0,4,2,0,0,53101,4581,522,0,0,12,13420,0,22
2025-08-16 15:27:43,39,29,12,0,0,0,0,0,0,1,0,0,34,11,0,0,4,2,0,0,64477,4581,603,0,0,12,16213,0,0
2025-08-16 17:17:21,39,29,12,0,0,0,0,0,0,1,0,0,34,11,0,0,4,3,0,0,72296,4581,647,0,0,12,17227,0,2634
2025-08-16 19:16:17,39,29,12,0,0,0,0,0,0,1,0,0,34,11,0,0,4,3,0,0,77404,4581,666,0,0,12,17227,0,6965
2025-08-16 21:13:46,39,29,12,0,0,0,0,0,0,1,0,0,34,11,0,0,4,3,0,0,83002,4581,687,0,0,12,17227,0,6746
2025-08-17 00:14:47,86,62,27,0,0,47,31,0,3,1,0,0,64,13,1,1,5,5,0,1,86226,10573,697,1,0,27,17296,0,2921
2025-08-17 01:57:28,86,62,27,0,0,0,0,0,3,1,0,0,66,14,1,1,6,5,0,1,93791,10573,735,1,0,27,19945,0,1201
2025-08-17 03:18:19,86,62,27,0,0,0,0,0,3,1,0,0,66,14,1,1,6,5,0,1,101224,10573,777,1,0,27,22857,0,0
2025-08-17 04:26:23,86,62,27,0,0,0,0,0,3,1,0,0,66,14,1,1,6,5,0,1,104171,10573,795,1,0,27,24282,0,1329
