record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-08-05 06:05:10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3476
2025-08-05 07:07:44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3754
2025-08-05 08:09:57,59,0,0,0,0,0,0,4,0,0,0,0,16,14,0,0,1,2,0,59,0,14,0,0,0,0,0,0,3552
2025-08-05 09:14:13,118,0,0,0,0,0,0,9,0,0,0,0,27,23,0,0,1,2,0,124,0,23,0,0,0,0,0,0,3434
2025-08-05 10:19:27,118,0,0,0,0,0,0,0,0,0,0,0,27,23,0,0,1,2,0,124,0,23,0,0,0,0,0,0,3914
2025-08-05 11:26:25,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3704
2025-08-05 12:42:05,653,1,1,0,0,4,6,86,0,0,0,0,229,204,0,0,12,0,0,633,22,193,1,0,0,1,42,0,2091
2025-08-05 15:29:38,653,1,3,0,0,0,0,0,0,0,0,0,247,220,0,0,15,2,0,633,22,207,1,1,0,3,49,0,6931
2025-08-05 17:07:37,654,1,3,0,0,0,0,0,7,1,0,0,252,224,0,0,16,2,0,633,22,210,1,1,0,3,51,0,4949
2025-08-05 20:26:56,667,18,4,0,0,0,0,0,15,1,0,0,522,375,0,0,67,9,0,637,5848,422,77,4,0,4,180,0,5317
2025-08-05 22:08:05,667,18,4,0,0,0,0,0,15,1,0,0,523,376,0,0,68,12,0,637,10774,422,111,4,0,4,180,0,5768
2025-08-05 23:37:37,667,18,4,0,0,0,0,0,15,1,0,0,523,376,0,0,68,12,0,637,16231,422,145,4,0,4,180,0,5372
2025-08-06 02:08:42,2,0,0,0,0,1,2,0,0,0,0,0,40,23,0,0,1,3,0,5,0,60,0,1,0,0,19,0,1978
2025-08-06 03:10:30,2,0,0,0,0,0,0,0,0,0,0,0,42,23,0,0,1,3,0,5,0,60,0,1,0,0,19,0,3707
2025-08-06 04:12:03,2,0,0,0,0,0,0,0,0,0,0,0,42,23,0,0,1,3,0,5,0,60,0,1,0,0,19,0,3693
2025-08-06 06:03:10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3355
2025-08-06 07:03:49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3639
2025-08-06 08:04:29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3639
2025-08-06 09:05:40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3671
2025-08-06 10:07:27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3706
2025-08-06 11:09:38,0,0,0,0,0,0,0,0,0,0,0,0,9,6,0,0,1,0,0,0,0,9,0,0,0,0,7,0,3549
2025-08-06 12:14:20,0,0,0,0,0,0,0,0,0,0,0,0,10,7,0,0,2,0,0,0,0,9,0,0,0,0,7,0,3425
2025-08-06 13:23:23,0,0,0,0,0,0,0,0,0,0,0,0,10,7,0,0,2,0,0,0,0,9,0,0,0,0,7,0,4143
2025-08-06 14:39:21,0,0,0,0,0,0,0,0,0,0,0,0,10,7,0,0,2,0,0,0,0,9,0,0,0,0,7,0,4557
2025-08-06 16:02:19,0,0,0,0,0,0,0,0,0,0,0,0,21,15,0,0,3,0,0,0,0,21,0,0,0,0,16,0,4493
2025-08-06 17:39:13,1701,0,0,0,0,0,9,119,0,0,0,0,188,157,0,0,12,0,0,1435,25,655,0,0,0,0,128,0,4093
2025-08-06 19:24:20,1702,0,0,0,0,0,0,1,19,1,0,0,213,178,0,0,12,0,0,1437,25,678,0,0,0,0,142,0,4867
2025-08-06 21:14:57,1703,0,0,0,0,0,0,0,19,1,0,0,230,181,0,0,17,0,0,1438,30,682,0,0,0,0,165,0,6154
2025-08-06 23:03:42,1703,0,0,0,0,0,0,0,19,1,0,0,233,182,0,0,18,0,0,1438,30,682,0,0,0,0,165,0,6223
2025-08-07 00:23:12,1703,0,0,0,0,0,0,0,19,1,0,0,233,182,0,0,18,0,0,1438,30,682,0,0,0,0,165,0,4769
2025-08-07 01:36:33,1703,0,0,0,0,0,0,0,19,1,0,0,233,182,0,0,18,0,0,1438,30,682,0,0,0,0,165,0,4401
2025-08-07 02:43:14,1703,0,0,0,0,0,0,0,19,1,0,0,233,182,0,0,18,0,0,1438,30,682,0,0,0,0,165,0,4001
2025-08-07 03:48:08,1703,0,0,0,0,0,0,0,19,1,0,0,233,182,0,0,18,0,0,1438,30,682,0,0,0,0,165,0,3893
2025-08-07 13:08:30,0,0,0,0,0,0,0,0,0,0,0,0,9,5,0,0,1,6,0,0,0,8,0,2,0,0,6,0,3734
2025-08-07 14:19:35,0,0,0,0,0,0,0,0,0,0,0,0,9,5,0,0,1,6,0,0,0,8,0,2,0,0,6,0,4265
2025-08-07 15:35:34,0,0,0,0,0,0,0,0,0,0,0,0,9,5,0,0,1,6,0,0,0,8,0,2,0,0,6,0,4558
2025-08-07 17:05:37,0,0,0,0,0,0,0,0,0,0,0,0,9,5,0,0,1,6,0,0,0,8,0,2,0,0,6,0,5403
2025-08-07 22:19:45,0,0,0,0,0,0,0,0,0,0,0,0,15,10,0,0,2,8,0,0,0,16,0,3,0,0,18,0,15110
2025-08-08 00:05:50,0,0,0,0,0,0,0,0,0,0,0,0,15,10,0,0,2,8,0,0,0,16,0,3,0,0,18,0,6365
2025-08-08 01:26:53,1519,0,0,0,0,0,0,66,0,0,0,0,77,57,0,0,2,8,0,787,0,305,0,3,0,0,32,0,3686
2025-08-08 02:37:39,1816,0,0,0,0,0,0,3,0,0,0,0,82,59,0,0,2,8,0,787,0,309,0,3,0,0,36,0,3771
2025-08-08 18:54:50,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,6308
2025-08-08 20:49:06,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,6855
2025-08-08 22:46:38,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,7052
2025-08-09 01:44:09,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,2,4,0,0,0,0,0,1,0,0,0,0,6870
2025-08-09 03:00:48,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,2,4,0,0,0,0,0,1,0,0,0,0,4598
2025-08-09 10:04:40,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,3836
2025-08-09 11:19:08,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,4468
2025-08-09 12:43:31,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,5062
2025-08-09 14:28:27,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,6296
2025-08-09 21:17:13,411,0,0,0,0,2,0,1,0,0,0,0,44,37,0,0,2,5,0,7,0,43,0,1,0,0,7,0,19749
2025-08-09 23:14:03,411,0,0,0,0,0,0,0,0,0,0,0,44,37,0,0,2,5,0,7,0,43,0,1,0,0,7,0,7010
2025-08-10 01:04:39,411,0,0,0,0,0,0,0,0,0,0,0,44,37,0,0,2,5,0,7,0,43,0,1,0,0,7,0,6635
2025-08-10 02:34:55,411,0,0,0,0,0,0,0,0,0,0,0,44,37,0,0,2,5,0,7,0,43,0,1,0,0,7,0,5415
2025-08-10 03:58:35,411,0,0,0,0,0,0,0,0,0,0,0,44,37,0,0,2,5,0,7,0,43,0,1,0,0,7,0,5020
2025-08-10 06:07:44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3623
2025-08-10 07:12:40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3896
2025-08-10 08:18:58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3977
2025-08-10 09:29:05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4207
2025-08-10 10:44:56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4550
2025-08-10 12:16:28,0,0,0,0,0,0,0,0,0,0,0,0,15,15,0,0,1,0,0,0,0,17,0,0,0,0,5,0,5151
2025-08-10 14:01:14,0,0,0,0,0,0,0,0,0,0,0,0,15,15,0,0,1,0,0,0,0,17,0,0,0,0,5,0,6285
2025-08-10 15:55:54,0,0,0,0,0,0,0,0,0,0,0,0,15,15,0,0,1,0,0,0,0,17,0,0,0,0,5,0,6879
2025-08-10 17:55:12,0,0,0,0,0,0,0,0,0,0,0,0,15,15,0,0,1,0,0,0,0,17,0,0,0,0,5,0,7158
2025-08-10 20:03:10,0,0,0,0,0,0,0,0,0,0,0,0,21,20,0,0,2,0,0,0,0,21,0,0,0,0,5,0,7357
