record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-08-05 06:29:49,159,189,0,0,0,277,266,11,0,0,0,0,80,20,0,0,3,2,0,11,0,676,0,1,0,0,304,26,741
2025-08-05 07:32:06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3737
2025-08-05 08:34:50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3763
2025-08-05 09:40:08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3917
2025-08-05 10:45:16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3908
2025-08-05 11:55:04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4187
2025-08-05 13:19:19,51,64,0,0,0,78,93,0,0,0,0,0,10,4,0,0,0,0,0,0,0,187,0,0,0,0,40,16,4159
2025-08-05 15:01:03,227,287,1,0,0,420,661,17,0,0,0,0,138,59,0,0,16,1,1,12,15,3402,2,0,0,1,468,67,2467
2025-08-05 16:40:52,292,349,1,2,0,135,237,0,0,0,0,0,186,81,0,0,16,1,1,13,15,4661,2,0,0,1,626,81,4254
2025-08-05 18:23:00,292,349,1,0,0,0,0,0,0,0,0,0,186,81,0,0,16,1,1,13,15,4661,2,0,0,1,626,81,6128
2025-08-05 19:44:17,292,349,1,0,0,0,0,0,0,0,0,0,186,81,0,0,16,1,1,13,15,4661,2,0,0,1,626,81,4876
2025-08-05 21:23:03,292,349,1,0,0,0,0,0,0,0,0,0,186,81,0,0,16,5,1,13,15,4661,2,0,0,1,626,81,5925
2025-08-05 22:59:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5816
2025-08-06 06:03:10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3356
2025-08-06 07:03:49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3639
2025-08-06 08:04:28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3639
2025-08-06 09:05:40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3671
2025-08-06 10:07:27,243,274,0,0,0,400,332,60,14,1,0,0,153,68,0,0,17,0,0,9,0,900,0,0,0,0,319,20,964
2025-08-06 11:09:37,345,389,0,0,0,180,541,10,14,1,0,0,223,97,0,0,23,1,1,12,0,2757,0,0,0,0,661,81,1475
2025-08-06 12:14:20,345,389,0,0,0,0,0,0,14,1,0,0,223,97,0,0,23,1,1,12,0,2757,0,0,0,0,661,81,3882
2025-08-06 13:23:23,345,389,0,0,0,0,0,0,14,1,0,0,223,97,0,0,23,1,1,12,0,2757,0,0,0,0,661,81,4143
2025-08-06 14:39:20,345,389,0,0,0,0,0,0,14,1,0,0,223,97,0,0,23,1,1,12,0,2757,0,0,0,0,661,81,4557
2025-08-06 16:02:19,345,389,0,0,0,0,0,0,14,1,0,0,227,97,0,0,27,1,1,12,0,2757,0,0,0,0,748,81,4590
2025-08-06 17:39:13,546,623,2,0,12,332,692,48,20,1,0,0,316,127,0,0,42,1,1,18,0,5143,0,0,0,2,1202,154,2043
2025-08-06 19:24:19,563,641,2,0,0,26,16,0,20,1,0,0,329,130,0,0,43,1,1,18,0,5213,0,0,0,2,1260,155,5667
2025-08-06 21:14:56,650,736,2,1,0,258,448,30,20,1,0,0,406,159,0,0,46,2,2,21,0,7606,0,0,0,2,1583,196,2311
2025-08-06 23:03:42,2416,757,4,0,10,46,23,0,55,1,0,0,546,246,0,0,83,7,5,49,0,7951,0,0,0,4,2931,198,757
2025-08-07 00:23:11,2653,1846,4,0,16,1125,8,0,62,1,0,0,586,259,0,0,94,7,5,181,49,9913,11,0,0,4,3248,198,1453
2025-08-07 01:36:32,2653,1846,4,0,0,5,0,0,75,1,0,0,587,259,0,0,95,7,5,181,49,9918,11,0,0,4,3267,198,4019
2025-08-07 03:17:07,2658,1847,6,0,1,79,0,0,84,1,0,0,608,266,0,0,101,9,5,184,49,10073,11,1,0,6,3724,198,1254
2025-08-07 04:29:35,2835,2019,6,0,2,234,503,59,93,1,0,0,829,385,0,0,131,12,6,212,49,11785,12,2,0,6,4485,230,0
2025-08-07 21:00:06,4,1,0,0,0,3,1,0,7,0,0,0,27,8,0,0,7,9,3,2,0,19,0,2,0,0,229,0,4201
2025-08-07 22:48:45,4,1,0,0,0,0,0,0,7,0,0,0,27,8,0,0,7,9,3,2,0,19,0,2,0,0,229,0,6217
2025-08-08 00:28:39,5,1,0,0,0,0,0,0,7,0,0,0,27,8,0,0,7,9,3,2,0,19,0,2,0,0,229,0,5332
