record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-08-14 10:38:57,575,1757,0,1,0,760,215,57,11,1,0,12,112,61,0,0,9,7,1,2,40,1129,6,1,0,0,231,3,564
2025-08-14 12:06:47,205,199,3,1,0,245,92,18,63,1,0,8,66,31,15,16,1,0,0,0,48,529,7,0,0,3,156,0,3108
2025-08-14 13:58:08,522,711,5,0,0,369,51,5,166,1,0,13,140,68,20,21,2,1,1,1,157,1158,17,0,0,5,383,0,4251
2025-08-14 15:57:01,522,711,5,0,0,0,0,0,166,1,0,13,140,68,20,21,2,1,1,1,157,1158,17,0,0,5,383,0,7133
2025-08-14 17:49:45,561,744,7,0,5,40,4,1,641,1,0,13,251,94,21,24,67,7,1,1,169,1331,20,0,0,7,1513,0,2770
2025-08-14 19:42:20,952,1239,12,1,6,536,57,56,4402,1,0,20,580,266,21,29,97,13,1,4,840,2426,116,0,0,12,3267,14,714
2025-08-14 21:38:10,2969,4518,20,0,0,2815,113,65,4450,1,0,26,851,420,101,111,107,15,1,24,929,6087,118,0,0,20,3686,14,619
2025-08-14 23:26:38,3796,5834,23,0,0,1469,362,10,4450,1,0,26,980,505,101,111,109,17,1,27,960,8635,118,0,0,23,3793,19,3619
2025-08-15 00:57:12,4273,6532,23,0,0,762,406,1,4459,1,0,26,1047,537,101,111,111,21,2,29,965,10493,118,0,0,23,3871,22,3407
2025-08-15 02:15:38,4273,6532,23,0,0,0,0,0,4459,1,0,26,1047,537,101,111,111,21,2,29,965,10493,118,0,0,23,3871,22,4706
2025-08-15 03:24:47,4273,6532,23,0,0,0,0,0,4459,1,0,26,1047,537,101,111,111,21,2,29,965,10493,118,0,0,23,3871,22,4148
2025-08-15 04:30:12,4273,6532,23,0,0,0,0,0,4459,1,0,26,1047,537,101,111,111,21,2,29,965,10493,118,0,0,23,3871,22,3925
2025-08-15 06:05:23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3477
2025-08-15 07:07:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3742
2025-08-15 08:11:14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3808
2025-08-15 09:17:16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3961
2025-08-15 10:29:01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4305
2025-08-15 11:58:09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5348
2025-08-15 13:36:18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5888
2025-08-15 15:34:14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7076
