record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-08-05 12:47:24,11,6,0,0,7,17,249,0,8,0,0,0,113,65,0,0,11,4,0,24,0,1178,0,0,0,0,206,0,2235
2025-08-05 14:26:35,233,266,0,0,0,438,1962,48,52,1,0,0,389,205,0,0,64,5,1,27,0,5501,0,0,0,0,607,0,3
2025-08-05 18:17:27,403,504,0,0,0,0,0,0,116,1,0,0,748,437,0,0,258,13,3,34,0,18239,0,3,0,0,1747,0,4792
2025-08-05 19:38:55,420,504,0,0,0,3,0,0,131,1,0,0,797,483,0,0,267,13,3,47,0,18319,0,3,0,0,2055,0,2303
2025-08-05 21:17:14,420,504,0,0,0,11,6,0,309,1,0,0,827,507,0,0,278,17,3,47,0,18399,0,3,0,0,2122,0,2033
2025-08-06 11:50:50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3508
2025-08-06 12:58:10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4040
2025-08-06 14:10:53,0,0,0,0,1,11,0,0,0,0,0,0,11,5,0,0,6,2,0,0,5,45,0,0,0,0,81,0,1957
2025-08-06 15:57:26,71,92,0,0,0,151,4597,51,12,0,0,0,260,172,0,0,200,8,2,1,5,5749,0,1,0,0,553,0,934
2025-08-06 19:10:19,215,244,1,0,0,115,2280,13,96,1,0,0,616,381,0,0,396,14,4,6,5,17777,0,3,0,1,1938,0,2842
2025-08-06 21:00:05,370,245,2,0,0,31,5,0,116,1,0,0,797,526,0,0,425,29,5,51,5,18045,0,3,0,2,2400,0,2670
2025-08-07 11:53:20,90,82,0,0,0,211,5598,3,19,1,0,0,263,214,0,0,106,6,0,28,0,9784,0,0,0,0,505,0,0
2025-08-07 13:00:35,133,138,0,0,0,79,2704,0,30,1,0,0,340,262,0,0,176,7,1,28,0,13967,0,0,0,0,807,0,481
2025-08-07 14:11:42,154,169,0,0,0,46,1505,0,41,1,0,0,395,291,0,0,211,8,2,28,0,16114,0,0,0,0,1077,0,397
2025-08-07 15:26:43,160,169,0,0,6,3,0,0,44,1,0,0,441,328,0,0,216,8,2,30,0,16275,0,0,0,0,1182,0,1291
2025-08-08 19:31:27,1126,1930,0,0,0,17,2298,1,11,0,0,0,377,273,0,0,253,12,2,6,0,12349,0,2,0,0,942,0,3831
2025-08-09 16:31:15,521,1820,0,0,0,227,12084,67,14,1,0,0,927,711,0,0,367,7,3,32,0,15533,0,1,0,0,1344,0,0
2025-08-09 23:59:04,1333,2641,6,0,6,825,29,176,72,2,0,0,2095,1657,0,0,527,13,3,89,0,19710,20,3,0,6,3008,2,0
2025-08-10 15:04:17,6830,11057,1,0,0,2694,559,35,111,1,278,0,807,507,0,0,123,35,4,162,508,18691,38,2,0,1,2904,59,0
2025-08-10 17:02:33,9493,16336,1,0,0,6785,84,0,120,1,278,0,857,507,0,0,129,41,5,251,513,28588,38,2,0,1,3222,110,441
2025-08-10 21:24:12,10183,18284,1,0,1,190,6862,1,201,1,278,0,1160,678,0,0,208,116,10,281,513,71939,38,4,0,1,5635,110,2082
2025-08-11 13:30:29,2682,7531,0,0,0,2917,1915,3,127,1,0,0,334,132,0,0,112,96,8,87,14,10794,1,0,0,0,1738,0,283
2025-08-11 16:14:35,2788,7713,7,0,2,249,10,0,705,1,0,0,673,339,0,0,194,142,8,207,14,12743,9,1,0,7,2967,1,2388
2025-08-12 18:15:42,114,272,24,0,0,467,7,0,20,1,0,0,66,24,0,0,14,4,2,48,0,1297,0,0,0,24,94,0,2062
2025-08-12 20:07:47,1,0,0,0,0,0,0,0,0,0,0,0,9,7,0,0,6,0,0,36,0,61,0,0,0,0,18,0,5720
2025-08-12 22:03:44,1,0,0,0,0,0,0,0,7,1,0,0,15,11,0,0,7,0,0,37,0,78,0,0,0,0,40,0,5406
2025-08-13 13:35:57,0,0,0,0,1,11,0,0,0,0,0,0,17,15,0,0,6,2,0,0,0,280,0,0,0,0,235,0,3807
2025-08-13 20:49:13,20,0,22,0,0,14,0,0,45,1,0,0,40,18,0,0,29,7,1,21,4,505,0,2,0,22,618,0,807
2025-08-13 22:50:38,21,0,22,0,0,0,0,0,48,1,0,0,46,18,0,0,31,8,2,22,5,511,0,2,0,22,639,0,5953
2025-08-14 14:04:38,0,0,0,0,0,0,0,0,7,0,0,0,10,3,0,0,6,3,1,0,0,21,0,0,0,0,152,0,4162
2025-08-14 18:55:09,1565,306,2,0,0,546,22,0,107,1,0,0,19,8,0,0,11,3,1,2042,21,1334,0,1,0,2,410,0,11889
2025-08-14 20:50:58,1570,335,4,0,0,103,2,0,110,1,0,0,72,21,0,0,26,3,1,2045,21,1554,0,1,0,4,873,0,1237
2025-08-14 22:42:22,1572,335,4,0,2,3,0,0,110,1,0,0,86,35,0,0,27,3,1,2045,21,1633,0,1,0,4,931,0,5229
2025-08-15 14:21:36,0,0,0,0,0,5,0,0,0,0,0,0,3,1,0,0,1,2,0,0,0,19,0,0,0,0,57,0,5419
2025-08-15 18:25:30,2,2,1,0,0,1,0,0,0,0,0,0,8,2,0,0,8,6,0,1,0,122,0,2,0,1,135,0,5882
2025-08-15 22:25:21,177,234,2,0,0,0,0,0,159,1,0,0,36,18,0,0,14,11,1,6,0,1074,0,4,0,2,775,0,3073
2025-08-16 12:22:26,11,6,0,0,0,5,1,0,0,0,0,0,121,112,0,0,11,8,0,19,0,275,0,1,0,0,671,0,2387
2025-08-16 21:51:56,67,286,2,0,0,3,0,0,99,1,0,0,223,164,0,0,45,25,2,36,0,480,0,8,0,2,1446,0,1178
