record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-08-14 09:59:41,96,91,2,2,2,138,159,5,25,1,0,0,91,56,7,1,33,2,0,4,9,476,1,0,0,2,566,1,0
2025-08-14 12:19:20,173,187,2,0,0,0,0,0,25,1,0,0,182,106,7,1,53,4,0,6,9,781,2,1,0,2,862,1,4994
2025-08-14 14:13:25,173,187,4,0,0,0,0,0,25,1,0,0,196,109,7,1,59,4,0,6,9,783,2,1,0,4,993,1,4795
2025-08-14 17:10:06,173,187,4,0,0,0,0,0,25,1,0,0,206,115,7,1,67,6,0,6,9,785,2,2,0,4,997,1,5517
2025-08-14 19:01:22,173,187,4,0,0,0,0,0,25,1,0,0,206,115,7,1,67,6,0,6,9,785,2,2,0,4,997,1,6676
2025-08-14 20:57:13,173,187,4,0,0,0,0,0,25,1,0,0,207,117,7,1,70,6,0,6,9,785,2,2,0,4,997,1,6610
2025-08-14 22:48:07,173,187,4,0,0,0,0,0,25,1,0,0,207,117,7,1,70,6,0,6,9,785,2,2,0,4,997,1,6388
2025-08-15 09:50:07,22,20,0,0,0,25,5,1,0,0,0,0,109,65,2,2,13,2,0,0,311,215,79,0,0,0,442,0,943
2025-08-15 11:08:48,491,429,3,0,5,663,9,17,104,1,0,0,335,187,31,30,35,2,0,7,362,1523,85,0,0,3,1382,1,364
2025-08-15 12:41:11,581,518,3,0,4,132,33,17,127,1,0,0,686,451,31,30,61,2,0,8,2646,2166,445,0,0,3,2472,1,310
2025-08-15 15:19:15,652,580,3,0,2,85,19,13,136,1,0,7,1068,732,31,30,85,6,0,10,5844,2886,843,1,0,3,4646,1,1040
2025-08-15 17:43:09,653,580,3,0,0,0,0,0,136,1,0,7,1086,743,31,30,90,8,0,11,5844,2905,843,2,0,3,4660,1,4993
2025-08-15 19:39:58,654,580,3,0,0,0,0,0,136,1,0,7,1188,834,31,30,94,8,0,13,5844,3067,843,2,0,3,4899,1,5323
2025-08-16 10:31:32,2,2,0,0,3,2,10,0,0,0,0,0,49,27,0,0,8,2,0,0,0,41,0,0,0,0,75,0,2355
2025-08-16 12:04:37,125,139,0,0,1,199,3592,1,0,0,0,1,230,139,0,0,11,2,0,2,1,4616,0,0,0,0,889,0,1491
2025-08-16 13:38:29,660,1079,0,1,0,1153,8684,15,0,0,0,1,391,230,373,375,18,2,0,4,1,16822,0,0,0,0,1858,0,209
2025-08-16 15:23:23,942,2537,0,0,0,1545,5783,117,0,0,0,1,575,343,439,441,19,2,0,48,1,27467,0,0,0,0,2788,4,0
2025-08-17 00:22:36,2174,4054,0,0,3,1651,2303,0,44,1,0,3,923,512,441,443,79,14,1,55,21,35443,0,1,0,0,3968,8,1767
