record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-08-05 14:50:46,1524,10612,0,0,0,272,174,5,9,1,0,32,610,512,7,7,19,10,0,9,8,1806,0,2,0,0,642,10,2215
2025-08-06 07:06:36,39,74,0,0,0,129,704,9,7,1,0,0,140,101,2,2,7,2,0,3,2,1390,0,0,0,0,129,67,1391
2025-08-06 08:07:15,56,95,0,0,0,41,835,1,37,1,0,0,188,119,32,32,7,2,0,7,5,2827,0,0,0,0,221,233,2382
2025-08-06 09:08:29,135,158,0,0,2,93,1678,41,52,1,0,0,362,215,71,70,33,4,2,11,11,5767,0,0,0,0,538,596,0
2025-08-06 10:10:17,217,383,0,0,0,362,241,2,53,1,0,0,434,248,71,70,35,6,4,17,11,6648,0,0,0,0,579,634,2339
2025-08-06 11:12:30,217,383,0,0,0,0,0,0,53,1,0,0,434,248,71,70,35,6,4,17,11,6648,0,0,0,0,579,634,3733
2025-08-06 12:17:17,217,383,0,0,0,0,0,0,53,1,0,0,434,248,71,70,35,6,4,17,11,6648,0,0,0,0,579,634,3887
2025-08-06 13:26:41,815,5816,0,0,0,321,1525,4,73,1,0,0,702,431,91,90,55,11,9,18,16,9902,0,0,0,0,845,747,585
2025-08-06 14:43:14,889,5851,0,0,1,63,794,21,414,1,0,0,927,580,91,90,84,11,9,40,88,12063,1,0,0,0,1473,747,919
2025-08-06 17:42:21,930,5859,0,0,0,13,12,5,414,1,0,0,1173,779,91,90,91,17,9,40,90,12421,1,3,0,0,1619,752,4232
2025-08-07 15:52:35,270,389,1,1,0,544,819,53,3,1,0,0,218,134,10,11,14,10,1,12,0,2458,0,0,0,1,400,117,59
2025-08-07 17:26:59,436,577,1,0,0,386,2852,22,30,1,0,0,337,205,10,11,25,11,2,13,0,8144,0,0,0,1,734,985,95
2025-08-08 09:22:38,541,4362,1,0,1,196,550,81,5,1,0,0,272,193,0,0,25,3,1,32,0,1223,0,0,0,1,331,58,50
2025-08-08 10:26:53,722,4467,1,0,5,182,109,12,5,1,0,0,568,430,0,0,43,7,1,34,0,1820,0,0,0,1,513,107,149
2025-08-08 11:36:53,726,4471,1,0,1,9,6,0,21,1,0,0,611,462,0,0,47,7,1,34,3,1921,0,0,0,1,583,107,2827
2025-08-08 12:54:45,1120,5341,1,0,5,1034,15,23,213,1,0,0,1001,773,0,0,74,7,1,56,52,3853,24,0,0,1,914,107,1677
2025-08-08 14:34:25,1355,5863,1,0,3,594,9,0,218,1,0,0,1092,844,0,0,79,7,1,56,53,4772,24,0,0,1,1056,107,3867
2025-08-08 16:09:21,1356,5863,1,0,1,1,0,0,218,1,0,0,1233,956,0,0,93,7,1,57,53,4966,24,0,0,1,1261,107,4093
2025-08-08 17:51:26,2046,9244,1,0,0,21,13,5,223,1,0,0,1415,1105,0,0,99,7,1,59,55,5214,24,0,0,1,1379,107,4193
2025-08-09 09:37:13,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,0,1,2,0,0,0,9,0,0,0,0,10,0,3613
2025-08-09 10:49:24,0,0,0,0,0,1,0,0,0,0,0,0,23,19,0,0,1,2,0,0,0,25,0,0,0,0,34,0,4250
2025-08-09 12:10:25,20,11,0,0,1,28,11,5,10,1,0,3,168,127,0,0,16,2,0,3,8,315,8,0,0,0,157,0,2928
2025-08-13 15:43:06,3,2,0,0,0,207,37,0,8,1,0,0,167,140,0,0,5,4,0,1,0,1546,0,1,0,0,1903,0,4977
