record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-08-05 16:00:17,12,4,0,0,0,6,4,0,0,0,0,0,144,116,0,0,10,4,0,13,0,121,0,0,0,0,67,3,4742
2025-08-05 20:39:15,0,4,0,0,0,0,0,0,0,0,0,0,151,116,0,0,10,20,0,13,0,121,0,6,0,0,67,3,5217
2025-08-05 22:33:11,0,4,0,0,0,0,0,0,0,0,0,0,160,116,0,0,15,22,0,13,0,121,0,7,0,0,80,3,5264
2025-08-05 23:59:12,50,61,0,0,1,74,4178,0,4,0,0,0,461,279,0,0,54,26,2,17,0,4984,0,7,0,0,513,3,440
2025-08-06 14:43:12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,3926
2025-08-06 16:05:48,6,14,0,0,0,18,3104,0,0,0,0,0,59,16,0,0,18,3,1,0,0,3272,0,0,0,0,259,0,3943
2025-08-06 17:44:03,123,113,0,0,1,140,1136,2,0,0,0,0,200,69,0,0,39,5,1,11,0,5251,0,0,0,0,744,0,4007
2025-08-06 21:26:08,232,157,1,0,0,9,0,0,8,0,0,0,416,223,0,0,55,15,2,61,0,6613,0,2,0,1,1210,12,4830
2025-08-07 14:29:52,14,17,0,0,0,30,635,0,3,0,0,0,28,6,0,0,6,4,1,2,0,923,0,0,0,0,176,0,976
2025-08-07 15:47:24,18,17,0,0,0,0,0,0,3,0,0,0,29,6,0,0,6,5,2,2,0,923,0,0,0,0,181,0,3951
2025-08-07 17:20:16,18,17,0,0,0,0,0,0,3,0,0,0,29,6,0,0,6,5,2,2,0,923,0,0,0,0,181,0,4967
2025-08-07 19:05:50,18,17,0,0,0,0,0,0,3,0,0,0,29,6,0,0,6,5,2,2,0,923,0,0,0,0,181,0,6032
2025-08-07 20:44:10,18,17,0,0,0,0,0,0,3,0,0,0,29,6,0,0,6,5,2,2,0,923,0,0,0,0,181,0,5899
2025-08-07 22:31:48,18,17,0,0,0,0,0,0,3,0,0,0,29,6,0,0,6,5,2,2,0,923,0,0,0,0,181,0,6458
2025-08-08 15:42:54,3236,7244,1,0,1,3224,26,0,3,0,0,0,372,257,0,0,39,10,4,131,10,12902,3,1,0,1,733,3,3906
2025-08-08 17:19:09,3237,7245,1,0,0,1,1,0,3,0,0,0,374,257,0,0,41,12,4,131,10,12904,3,1,0,1,733,4,5441
2025-08-08 19:09:37,3251,7252,1,0,0,7,21,2,3,0,0,0,465,320,1,1,46,14,4,167,10,13017,3,1,0,1,796,4,5785
2025-08-08 21:04:48,3252,7252,1,0,0,1,0,0,3,0,0,0,472,325,1,1,47,16,5,167,10,13023,3,1,0,1,800,4,6193
2025-08-08 23:02:06,3252,7252,1,0,0,0,0,0,3,0,0,0,472,325,1,1,47,16,6,167,10,13023,3,1,0,1,801,4,6620
2025-08-09 00:47:52,3335,7261,1,0,0,15,466,0,3,0,0,0,522,350,1,1,63,20,7,214,10,13624,3,1,0,1,954,5,4723
2025-08-09 18:35:01,5667,11215,0,0,6,11411,7041,18,15,1,0,0,517,274,1,1,79,9,4,83,0,25911,0,1,0,0,1239,0,9632
2025-08-10 20:51:48,5731,9665,0,0,1,9729,3921,0,4,1,0,0,352,160,0,0,61,47,14,96,5,23258,2,0,0,0,1175,0,2011
2025-08-11 16:05:43,1594,16687,0,0,3,867,456,13,14,1,0,0,382,159,59,59,63,10,1,32,0,2594,0,1,0,0,1170,264,2762
2025-08-11 18:15:12,1594,16687,0,0,0,0,0,0,14,1,0,0,382,159,59,59,63,10,1,32,0,2594,0,1,0,0,1170,264,7768
2025-08-11 20:24:16,1947,16972,0,0,0,40,355,8,20,1,0,0,660,292,60,60,73,11,2,324,0,3446,0,1,0,0,1584,316,4578
2025-08-11 22:33:43,17,0,0,0,0,0,34,0,9,1,0,0,58,48,0,0,2,0,0,41,0,440,0,0,0,0,53,0,7107
2025-08-12 00:24:33,867,5470,0,0,0,56,456,0,9,1,0,0,125,72,0,0,2,0,0,49,0,34259,0,0,0,0,183,0,1817
2025-08-16 17:45:47,723,5984,0,0,0,64,300,0,4,1,0,0,158,117,0,0,7,3,1,41,0,4618,0,0,0,0,215,0,4351
2025-08-16 19:45:11,826,5984,0,0,0,0,103,0,4,1,0,0,167,126,0,0,7,3,1,41,0,32212,0,0,0,0,221,0,1608
2025-08-16 21:42:54,854,5984,0,0,0,0,64,0,4,1,0,0,210,169,0,0,7,3,1,42,0,47306,0,0,0,0,311,0,3556
2025-08-16 23:43:26,854,5984,0,0,0,0,0,0,4,1,0,0,215,172,0,0,7,3,1,42,0,47311,0,0,0,0,334,0,6892
2025-08-17 01:28:33,854,5984,0,0,0,0,0,0,4,1,0,0,215,172,0,0,7,3,1,42,0,47311,0,0,0,0,334,0,6306
