record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-08-15 20:16:30,48,6,3,0,0,8,65,1,0,0,0,0,123,110,0,0,12,4,0,17,127,211,15,0,0,3,165,0,4904
2025-08-15 22:12:41,48,6,3,0,0,0,0,0,0,0,0,0,158,138,0,0,17,4,0,17,127,241,15,0,0,3,255,0,5013
2025-08-16 00:09:27,48,6,3,0,0,0,0,0,0,0,0,0,173,153,0,0,20,4,0,17,127,266,15,0,0,3,304,0,5914
2025-08-16 02:58:28,48,6,4,0,0,0,0,0,0,0,0,0,174,153,0,0,20,6,0,17,127,266,15,1,0,4,304,0,8194
2025-08-16 04:15:06,48,6,4,0,0,0,0,0,0,0,0,0,174,153,0,0,20,6,0,17,127,266,15,1,0,4,304,0,4598
2025-08-16 06:05:48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3498
2025-08-16 07:09:32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3824
2025-08-16 08:14:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3913
2025-08-16 09:20:28,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3642
2025-08-16 10:35:21,200,0,0,0,0,0,0,0,0,0,0,0,8,4,0,0,1,0,0,31,0,3,0,0,0,0,26,0,2501
2025-08-16 12:09:17,208,0,0,0,0,0,1,1,0,0,0,0,15,8,0,0,1,0,0,33,0,9,0,0,0,0,51,0,3572
2025-08-16 13:43:11,210,0,0,0,0,0,0,0,0,0,0,0,17,8,0,0,1,0,0,36,1144,12,90,0,0,0,66,0,4687
2025-08-16 15:28:02,210,0,0,0,0,0,0,0,0,0,0,0,17,8,0,0,1,0,0,36,1622,16,138,0,0,0,71,0,5032
2025-08-16 17:17:40,210,0,2,0,0,0,0,0,0,0,0,0,19,8,0,0,5,1,0,36,1622,20,138,0,0,2,84,0,4897
2025-08-16 19:16:38,210,0,8,0,0,0,0,0,0,0,0,0,24,10,0,0,15,1,0,36,1622,45,138,0,0,8,130,0,4044
2025-08-16 21:14:08,210,1,8,0,0,2,0,0,0,0,0,0,24,10,0,0,15,1,0,36,1622,49,138,0,0,8,149,0,5706
2025-08-16 23:15:00,210,1,9,0,0,0,0,0,0,0,0,0,24,10,0,0,19,1,0,36,1622,60,138,0,0,9,160,0,4997
2025-08-17 01:03:34,210,1,10,0,0,0,0,0,0,0,0,0,24,10,0,0,19,1,0,36,1622,62,138,0,0,10,168,0,5409
2025-08-17 02:40:50,210,1,10,0,0,0,0,0,0,0,0,0,24,10,0,0,19,1,0,36,1622,62,138,0,0,10,168,0,5331
2025-08-17 03:51:39,210,1,10,0,0,0,0,0,0,0,0,0,24,10,0,0,19,1,0,36,1622,62,138,0,0,10,168,0,4249
2025-08-17 04:56:03,210,1,10,0,0,0,0,0,0,0,0,0,24,10,0,0,19,1,0,36,1622,62,138,0,0,10,168,0,3864
