record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-08-05 15:32:45,4,0,0,0,0,5,0,0,1,0,0,0,27,15,0,0,2,2,0,2,0,121,0,0,0,0,179,0,3988
2025-08-05 17:10:58,4,0,0,0,0,0,0,0,1,0,0,0,27,15,0,0,2,2,0,2,0,121,0,0,0,0,179,0,5892
2025-08-05 18:50:20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5962
2025-08-05 20:15:47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5127
2025-08-05 21:57:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6073
2025-08-05 23:28:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5489
2025-08-06 16:32:53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,4,0,0,0,0,103,0,4031
2025-08-13 15:48:44,94,203,0,0,0,406,228,1,0,0,0,0,56,35,0,0,7,2,0,0,0,892,0,0,0,0,395,0,5156
2025-08-13 17:46:22,105,218,0,0,0,72,8,0,1,0,0,0,81,38,0,0,11,2,0,0,0,1183,0,0,0,0,801,0,5196
2025-08-13 19:44:25,110,218,0,0,0,0,0,8,6,0,0,0,216,141,0,0,18,2,0,8,0,1304,0,0,0,0,898,0,6456
2025-08-13 21:50:32,51,6,0,0,2,68,6,20,37,0,0,0,709,445,0,0,46,3,0,36,0,698,8,0,0,0,576,0,3428
2025-08-13 23:47:08,51,6,0,0,0,0,0,0,37,0,0,0,709,445,0,0,46,3,0,36,0,698,8,0,0,0,576,0,6995
2025-08-14 01:12:45,51,6,0,0,0,0,0,0,37,0,0,0,709,445,0,0,46,3,0,36,0,698,8,0,0,0,576,0,5137
2025-08-14 02:23:25,51,6,0,0,0,0,0,0,37,0,0,0,709,445,0,0,46,3,0,36,0,698,8,0,0,0,576,0,4240
2025-08-14 03:32:20,51,6,0,0,0,0,0,0,37,0,0,0,709,445,0,0,46,3,0,36,0,698,8,0,0,0,576,0,4134
2025-08-14 04:38:33,51,6,0,0,0,0,0,0,37,0,0,0,709,445,0,0,46,3,0,36,0,698,8,0,0,0,576,0,3973
2025-08-14 06:06:03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3523
2025-08-14 07:10:04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3841
2025-08-14 08:13:46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3821
2025-08-14 09:20:21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3994
2025-08-14 10:39:39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4758
2025-08-14 12:07:35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5276
2025-08-14 13:59:09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6693
2025-08-14 15:57:58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7129
2025-08-14 17:50:41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6763
2025-08-15 01:17:36,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,22903
2025-08-15 02:35:12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,4655
2025-08-15 03:43:05,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,4073
2025-08-15 04:47:53,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,3888
2025-08-15 06:05:12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3477
2025-08-15 07:07:34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3742
2025-08-15 08:11:03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3808
2025-08-15 09:17:03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3960
2025-08-15 10:28:47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4303
2025-08-15 11:57:52,1,1,0,0,0,1,1,0,0,0,0,0,14,6,0,0,2,2,0,0,0,29,0,0,0,0,65,0,4224
2025-08-15 13:35:56,1,1,0,0,0,0,0,0,0,0,0,0,14,6,0,0,2,2,0,0,0,29,0,0,0,0,65,0,5884
2025-08-15 15:33:55,3,1,3,0,0,21,0,0,0,0,0,0,47,26,0,0,7,2,0,0,0,87,0,0,0,3,292,0,5753
2025-08-15 17:25:36,3,1,3,0,0,0,0,0,0,0,0,0,47,26,0,0,7,2,0,0,0,87,0,0,0,3,292,0,6701
2025-08-15 19:22:28,3,1,3,0,0,0,0,0,0,0,0,0,47,26,0,0,7,2,0,0,0,87,0,0,0,3,292,0,7011
2025-08-16 21:01:48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,4,0,6513
2025-08-16 23:02:21,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,2,0,0,0,5,0,0,0,0,4,0,6924
2025-08-17 00:52:32,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,2,0,0,0,5,0,0,0,0,4,0,6611
2025-08-17 02:31:26,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,2,0,0,0,5,0,0,0,0,4,0,5933
2025-08-17 03:44:06,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,2,0,0,0,5,0,0,0,0,4,0,4359
2025-08-17 04:49:18,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,2,0,0,0,5,0,0,0,0,4,0,3912
