record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-08-11 14:01:50,1213,968,17,3,16,1114,219,0,72,1,0,0,318,220,0,0,43,25,3,147,0,9305,0,0,0,17,871,2,178
2025-08-11 16:04:27,2635,4075,22,1,18,2358,418,0,179,1,0,0,531,332,34,34,90,37,12,359,158,21508,11,0,0,22,2295,2,206
2025-08-11 18:13:49,4598,4932,23,1,11,272,717,19,45,1,0,0,949,642,34,34,146,39,12,621,158,39431,11,0,0,23,3288,3,188
2025-08-11 20:22:52,4764,6484,23,0,17,315,109,37,85,1,0,0,1545,1122,34,34,196,40,13,672,162,40977,11,0,0,23,4835,28,318
2025-08-11 22:32:25,9340,6608,23,0,6,97,1399,108,135,1,0,0,1774,1275,34,34,214,44,17,709,163,77085,11,0,0,23,5468,28,0
2025-08-12 00:23:27,9704,7190,23,0,8,596,2158,343,252,1,0,0,1999,1355,34,34,251,52,23,744,163,80821,11,0,0,23,6772,28,292
2025-08-12 02:09:26,9869,7363,23,0,6,239,1379,32,288,1,0,6,2228,1474,34,34,287,56,25,771,164,83184,11,1,0,23,8547,28,0
2025-08-12 15:46:41,528,507,0,0,18,579,277,2,4,0,0,0,900,739,1,1,39,2,0,29,0,2143,0,0,0,0,1405,87,201
2025-08-12 18:15:59,573,166,3,2,4,224,1002,251,30,1,0,0,303,156,0,0,42,11,7,36,0,5078,0,0,0,3,2081,47,0
2025-08-12 23:49:14,121,175,54,0,17,353,240,0,134,9,0,0,176,83,0,0,50,20,18,26,0,1901,0,0,0,54,1545,0,1270
2025-08-13 19:13:35,143,106,11,0,12,229,368,74,57,1,0,0,304,107,0,0,73,18,10,56,0,1594,7,4,0,11,1588,23,0
2025-08-13 21:18:56,254,212,15,1,19,128,229,0,93,1,0,0,539,251,0,0,121,25,13,164,0,2755,7,4,0,15,2950,23,900
2025-08-14 00:51:24,700,722,18,4,9,255,196,42,121,1,0,0,975,465,0,0,180,33,17,238,351,5609,62,5,0,18,5108,92,0
2025-08-14 20:42:00,78,71,1,0,9,152,0,0,34,0,0,0,37,12,0,0,30,5,1,1,0,1197,0,2,0,1,655,1,4142
2025-08-14 22:34:00,97,73,5,0,14,8,7,0,89,6,0,0,136,44,0,0,54,15,11,11,0,1693,3,2,0,5,1072,1,2206
2025-08-15 04:14:29,129,294,17,0,0,39,8,2,30,1,0,0,243,75,0,0,101,32,18,33,4,2739,5,7,0,17,2479,6,132
