record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-08-10 19:28:04,654,1377,2,1,1,1013,517,48,91,1,0,2,245,171,0,0,35,14,3,12,949,2253,125,0,0,2,634,2,924
2025-08-10 21:36:22,662,1378,2,0,10,4,0,0,91,1,0,2,291,196,0,0,38,14,3,21,1021,2299,129,0,0,2,673,2,6613
2025-08-10 23:31:56,1304,2688,2,0,19,1184,752,41,202,1,0,12,505,298,0,0,76,16,4,34,1390,4735,154,0,0,2,1441,27,0
2025-08-11 16:36:57,420,1042,2,21,13,782,491,42,197,1,0,2,261,157,12,15,32,12,3,10,2206,2020,44,0,0,2,879,0,920
2025-08-11 18:46:57,420,1042,2,0,0,0,0,0,197,1,0,2,261,157,12,15,32,12,3,10,14826,2020,228,0,0,2,879,0,7800
2025-08-11 20:57:21,829,1919,4,6,0,916,342,29,467,1,0,2,451,217,15,18,48,13,4,35,19269,3802,297,0,0,4,1619,11,2808
2025-08-11 23:03:55,829,1919,4,0,0,0,0,0,467,1,0,2,451,217,15,18,48,13,4,35,25550,3802,390,0,0,4,1619,11,7593
2025-08-12 00:50:18,1346,3267,4,3,2,764,803,29,546,1,0,2,712,388,15,18,66,13,4,40,25903,5950,411,0,0,4,2193,11,453
2025-08-12 02:25:17,1923,5028,8,2,1,1511,840,29,593,1,0,2,831,413,15,18,79,18,6,59,26317,9506,417,0,0,8,2771,11,0
2025-08-12 03:40:14,2034,5297,9,1,9,122,72,13,646,1,0,2,935,457,15,18,122,22,9,64,26339,9984,417,0,0,9,3257,12,0
2025-08-12 18:15:55,1,1,0,0,3,1,12,1,0,0,0,0,11,10,0,0,8,2,0,0,0,24,0,0,0,0,34,0,0
2025-08-12 20:08:01,1,1,0,0,0,0,0,0,0,0,0,0,11,10,0,0,8,2,0,0,0,24,0,0,0,0,34,0,0
2025-08-12 22:03:58,61,37,2,0,1,45,41,31,19,1,0,0,134,94,0,0,21,2,0,3,13,304,24,0,0,2,408,0,499
2025-08-13 00:01:18,209,1820,0,0,0,108,0,0,1,1,0,0,2,1,0,0,2,0,0,0,2,166,0,0,0,0,157,0,4371
2025-08-14 10:39:53,147,1079,0,2,0,162,19,1,26,1,0,0,31,5,0,0,2,0,0,5,28,490,0,0,0,0,354,0,0
2025-08-14 12:07:52,147,1079,0,0,0,4,0,0,26,1,0,0,32,5,0,0,2,1,1,5,28,494,0,0,0,0,357,0,3579
2025-08-14 13:59:26,170,485,0,0,0,173,42,2,12,1,0,0,75,48,0,0,1,2,1,2,20,429,0,0,0,0,292,0,0
2025-08-14 15:58:14,170,485,0,0,0,0,0,0,12,1,0,0,75,48,0,0,1,2,1,2,20,429,0,0,0,0,292,0,0
2025-08-16 20:52:34,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,2,0,0,6,5,0,0,0,0,27,0,1762
2025-08-16 22:52:40,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,2,0,0,6,5,0,0,0,0,27,0,5460
2025-08-17 00:43:43,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,2,0,0,6,5,0,0,0,0,27,0,5306
2025-08-17 02:23:56,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,2,0,0,6,5,0,0,0,0,27,0,5029
2025-08-17 03:38:24,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,2,0,0,6,5,0,0,0,0,27,0,3126
