record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-08-05 06:05:11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5943,0,15,0,0,0,0,0,3472
2025-08-05 07:07:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,11874,0,28,0,0,0,0,0,3754
2025-08-05 08:09:58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,19543,0,42,0,0,0,0,0,3650
2025-08-05 09:14:14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,23179,0,53,0,0,0,0,0,3637
2025-08-05 10:19:28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,27033,0,64,0,0,0,0,0,3914
2025-08-05 11:26:26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3796,0,12,0,0,0,0,0,4017
2025-08-06 01:33:54,1582,1809,2,0,0,2171,429,0,31,1,0,0,118,80,0,0,20,2,0,2,20,3706,0,0,0,2,502,0,709
2025-08-06 02:35:27,1036,1509,2,0,2,1999,1341,0,45,1,0,0,84,18,0,0,57,12,2,17,7,4529,0,0,0,2,557,0,0
2025-08-06 03:40:59,1032,1320,10,1,3,1523,1301,2,15,1,0,0,91,29,0,0,30,6,0,12,2,3913,0,1,0,10,451,1,0
2025-08-07 00:56:51,2482,2899,0,0,1,3424,444,0,35,1,0,0,206,101,0,0,31,4,0,11,4,5550,1,0,0,0,458,9,0
2025-08-07 02:04:46,4283,4893,0,0,2,2281,256,0,107,1,0,0,526,365,0,0,49,4,0,19,9,9311,1,0,0,0,703,9,385
2025-08-07 03:16:40,6087,7119,4,0,1,2543,519,14,193,1,0,0,795,556,0,0,63,8,0,38,10,13938,1,2,0,4,1300,11,21
2025-08-07 04:20:38,6891,8063,4,0,0,1085,222,0,219,1,0,0,873,603,0,0,73,9,1,70,21,15719,1,2,0,4,1575,12,1978
2025-08-07 06:03:41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3395
2025-08-07 07:04:38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3656
2025-08-07 08:05:44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3665
2025-08-07 09:07:38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3714
2025-08-07 10:10:44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3785
2025-08-07 11:14:37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3833
2025-08-08 01:09:01,0,0,1,0,0,5,0,0,0,0,0,0,8,7,0,0,6,4,0,0,4267,31,8,1,0,1,12,0,4671
2025-08-08 02:21:23,401,391,1,0,0,422,559,2,9,1,0,0,156,119,0,0,32,4,0,5,7540,1198,17,1,0,1,223,0,3043
2025-08-08 03:29:58,407,400,3,0,0,20,2,0,20,1,0,0,198,143,0,0,44,5,1,12,7809,1297,18,1,0,3,502,0,2246
2025-08-08 04:37:29,407,400,3,0,0,0,0,0,20,1,0,0,198,143,0,0,44,5,1,12,12027,1297,29,1,0,3,502,0,3987
2025-08-08 06:05:37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3630,0,9,0,0,0,0,0,3466
2025-08-09 02:18:13,27,27,8,0,6,85,16,0,8,0,0,0,77,38,0,0,17,4,0,14,5520,310,14,2,0,8,330,2,1810
2025-08-09 03:29:53,197,141,8,0,0,223,140,12,48,0,0,0,334,187,0,0,37,4,0,117,5520,1061,14,2,0,8,840,2,0
2025-08-09 04:37:55,203,145,8,0,0,5,4,0,48,0,0,0,337,188,0,0,39,4,0,120,9884,1074,28,2,0,8,852,2,3436
2025-08-09 06:05:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4848,0,13,0,0,0,0,0,3480
2025-08-09 07:07:58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5003,0,20,0,0,0,0,0,3763
2025-08-09 08:11:13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9960,0,41,0,0,0,0,0,3794
2025-08-09 09:15:35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14962,0,62,0,0,0,0,0,3862
2025-08-09 10:26:16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20148,0,80,0,0,0,0,0,4240
2025-08-09 22:35:27,0,0,2,0,1,0,0,0,1,0,0,0,19,12,0,0,12,2,0,0,25602,26,92,1,0,2,45,0,4164
2025-08-10 00:28:40,0,0,2,0,0,0,0,0,1,0,0,0,19,12,0,0,12,2,0,0,33750,26,110,1,0,2,45,0,6793
2025-08-10 02:17:07,0,1,3,0,0,4,0,0,1,0,0,0,59,38,0,0,25,4,0,0,41280,120,126,2,0,3,246,0,4611
2025-08-10 06:07:48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5235,0,15,0,0,0,0,0,3616
2025-08-10 07:12:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,10401,0,32,0,0,0,0,0,3896
2025-08-10 08:19:03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,16072,0,51,0,0,0,0,0,3977
2025-08-10 09:29:10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,21925,0,66,0,0,0,0,0,4207
