record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-08-05 12:50:20,10,3,0,0,0,3,0,3,2,1,0,0,67,48,0,0,7,4,0,7,0,72,0,0,0,0,59,0,2931
2025-08-05 14:29:45,10,3,0,0,0,8,0,0,2,1,0,0,70,49,0,0,8,4,0,7,0,88,0,0,0,0,80,0,5467
2025-08-05 16:11:37,10,3,0,0,0,0,0,0,2,1,0,0,70,49,0,0,8,4,0,7,0,88,0,0,0,0,80,0,5809
2025-08-06 11:49:27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3502
2025-08-06 12:56:44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4037
2025-08-06 14:09:24,0,0,0,0,0,3,0,0,12,0,0,0,9,8,0,0,2,2,0,0,0,12,0,0,0,0,11,0,2951
2025-08-06 17:33:07,0,0,0,0,0,0,0,0,12,0,0,0,10,8,0,0,2,4,0,0,0,13,0,1,0,0,34,0,4951
2025-08-06 19:18:18,1469,1,0,0,0,2,1262,0,12,0,0,0,22,15,0,0,2,4,0,0,0,14448,0,1,0,0,61,0,3395
2025-08-06 21:08:37,1736,1,0,0,0,0,298,2,12,0,0,0,65,55,0,0,4,4,0,0,0,17979,0,1,0,0,149,0,3761
2025-08-07 11:56:05,0,0,0,0,0,0,0,0,1,0,0,0,10,5,0,0,5,4,0,0,0,7,0,0,0,0,7,0,2376
2025-08-07 13:03:22,0,0,0,0,0,0,0,0,31,1,0,0,10,5,0,0,5,4,0,0,0,12,0,0,0,0,14,0,3265
2025-08-07 14:14:30,0,0,0,0,0,0,0,0,31,1,0,0,10,5,0,0,5,4,0,0,0,12,0,0,0,0,15,0,3943
2025-08-07 15:29:56,2,0,0,0,0,0,0,0,31,1,0,0,24,19,0,0,5,4,0,0,0,32,0,0,0,0,24,0,3249
2025-08-08 15:32:04,1296,6,0,0,0,13,1087,2,0,0,0,0,41,32,0,0,2,2,0,4,0,11980,0,0,0,0,51,0,2549
2025-08-08 17:06:26,1296,6,0,0,0,0,0,0,0,0,0,0,41,32,0,0,2,2,0,4,0,11980,0,0,0,0,51,0,5661
2025-08-08 18:56:51,1296,6,0,0,0,0,0,0,0,0,0,0,41,32,0,0,2,2,0,4,0,11980,0,0,0,0,51,0,6323
2025-08-08 20:51:10,1296,6,0,0,0,0,0,0,0,0,0,0,41,32,0,0,2,2,0,4,0,11980,0,0,0,0,51,0,6558
2025-08-08 22:48:45,1296,6,0,0,0,1,0,0,0,0,0,0,51,41,0,0,4,2,0,4,0,11981,0,0,0,0,55,0,6144
2025-08-09 15:55:41,0,0,0,0,0,1,0,0,10,0,0,0,15,10,0,0,5,2,0,1,0,18,0,0,0,0,21,0,5109
2025-08-09 23:58:17,1,0,0,0,0,0,0,0,28,1,0,0,20,14,0,0,7,4,0,1,0,26,0,1,0,0,27,0,5154
2025-08-10 14:19:21,1,1,2,0,1,12,1,0,1,0,0,0,26,25,0,0,6,2,0,2,0,63,0,0,0,2,68,0,3779
2025-08-10 20:43:35,4,2,2,0,0,0,0,0,1,0,0,0,41,32,0,0,6,8,0,5,0,79,0,3,0,2,93,0,10849
2025-08-12 18:16:05,4,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,0,0,0,2,0,0,0,0,4,0,5772
