record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-08-07 14:01:33,36,21,4,0,2,88,5,0,716,1,0,0,120,68,0,0,18,5,0,29,56,977,8,1,0,4,1007,0,2293
2025-08-07 15:15:38,36,21,4,0,0,0,0,0,716,1,0,0,120,68,0,0,18,5,0,29,56,977,8,1,0,4,1007,0,4157
2025-08-07 16:41:16,36,21,4,0,0,0,0,0,716,1,0,0,122,70,0,0,20,5,0,29,56,977,8,1,0,4,1007,0,4535
2025-08-07 18:23:00,69,64,4,0,2,224,21,4,739,1,0,0,183,83,0,0,29,7,2,63,67,1708,8,1,0,4,1953,0,3355
2025-08-07 20:02:14,69,64,4,0,0,0,0,0,739,1,0,0,186,86,0,0,32,7,2,63,67,1708,8,1,0,4,1953,0,4564
2025-08-07 21:47:07,69,65,4,0,3,1,0,2,739,1,0,0,210,92,0,0,36,7,2,63,67,1766,8,1,0,4,2298,0,5158
2025-08-07 23:36:19,1214,2129,4,0,17,2206,54,1,807,1,0,0,384,182,0,0,70,15,2,333,69,5448,9,1,0,4,3072,0,706
2025-08-08 01:03:54,1218,2129,4,0,0,0,0,0,807,1,0,0,401,192,0,0,75,15,2,337,69,5476,9,1,0,4,3192,0,3870
2025-08-08 02:16:35,1218,2129,4,0,0,0,0,0,807,1,0,0,401,192,0,0,75,15,2,337,69,5476,9,1,0,4,3192,0,4360
2025-08-08 03:25:16,1218,2129,4,0,0,0,0,0,807,1,0,0,401,192,0,0,75,15,2,337,69,5476,9,1,0,4,3192,0,4120
2025-08-08 04:32:54,1218,2129,4,0,0,0,0,0,807,1,0,0,401,192,0,0,75,15,2,337,69,5476,9,1,0,4,3192,0,4057
2025-08-08 06:05:35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3489
2025-08-08 07:08:20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3764
2025-08-08 08:11:29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3788
2025-08-08 09:14:25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3775
2025-08-08 10:18:07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3821
2025-08-08 11:27:44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4176
2025-08-08 12:43:39,3,10,0,0,6,54,0,0,1,0,0,0,11,2,0,0,3,2,0,8,0,153,0,0,0,0,229,0,3774
2025-08-08 14:21:17,11,19,0,0,23,36,0,0,8,1,0,0,64,43,0,0,14,4,0,27,0,357,0,0,0,0,442,0,3698
2025-08-08 15:57:45,11,19,0,0,0,0,0,0,8,1,0,0,64,43,0,0,14,4,0,27,0,357,0,0,0,0,442,0,5787
2025-08-08 17:36:36,11,27,0,0,0,23,39,0,8,1,0,0,73,45,0,0,16,5,1,27,0,597,0,0,0,0,714,0,5134
2025-08-08 19:27:39,45,343,12,0,4,548,184,0,84,1,0,0,210,98,0,0,37,14,6,141,4,2367,0,0,0,12,2841,0,1533
2025-08-08 23:56:15,115,370,12,0,2,43,2,0,92,1,0,0,256,105,0,0,44,16,6,172,4,2582,0,1,0,12,3459,0,4230
2025-08-09 01:33:41,115,372,12,0,0,28,0,0,93,1,0,0,290,123,0,0,59,16,6,172,4,2684,0,1,0,12,3728,0,4598
2025-08-09 02:51:52,118,414,24,0,7,259,0,0,95,1,0,0,348,142,0,0,71,16,6,296,4,3341,0,1,0,24,4066,0,1937
2025-08-09 04:01:15,120,414,24,0,0,0,0,0,95,1,0,0,348,142,0,0,71,16,6,296,4,3341,0,1,0,24,4066,0,4163
2025-08-09 06:05:22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3482
2025-08-09 07:08:05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3762
2025-08-09 08:11:20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3795
2025-08-09 09:15:42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3861
2025-08-09 10:26:23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4241
2025-08-09 11:44:03,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4038
2025-08-09 13:13:22,2,0,0,0,0,12,0,0,0,0,0,0,7,3,0,0,5,0,0,4,0,93,0,0,0,0,68,0,4283
2025-08-09 15:36:13,2,0,0,0,0,0,0,0,0,0,0,0,9,4,0,0,8,2,0,4,0,97,0,1,0,0,70,0,6831
2025-08-09 17:24:27,32,64,0,0,8,177,0,0,3,0,0,0,64,24,0,0,24,2,0,30,0,654,0,1,0,0,403,0,3227
2025-08-09 19:19:53,32,64,0,0,0,0,0,0,3,0,0,0,66,26,0,0,27,2,0,30,0,654,0,1,0,0,403,0,6560
2025-08-09 23:02:19,55,169,3,0,42,200,4,3,15,0,0,0,197,42,0,0,39,4,0,166,0,2160,0,2,0,3,1285,0,1896
2025-08-10 00:53:51,58,195,3,0,15,137,0,0,15,0,0,0,212,49,0,0,40,4,0,177,0,2453,0,2,0,3,1715,0,3731
2025-08-10 02:26:21,77,203,7,0,10,20,4,0,17,1,0,0,284,83,0,0,75,8,2,199,0,2833,0,2,0,7,2475,0,2016
2025-08-10 03:51:31,77,203,7,0,0,0,0,0,17,1,0,0,284,83,0,0,75,8,2,199,0,2833,0,2,0,7,2475,0,5110
2025-08-10 06:07:48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3612
2025-08-10 07:12:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3896
2025-08-10 08:19:03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3977
2025-08-10 09:29:10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4207
2025-08-10 10:45:01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4551
