record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-08-08 21:33:46,841,873,35,10,2,1351,405,87,55,1,0,21,319,206,62,63,6,3,1,7,60,2641,8,0,0,35,829,3,0
2025-08-09 15:45:50,471,1272,17,0,0,568,297,163,21,1,0,2,389,267,25,25,3,5,3,25,14,1665,5,0,0,17,1000,17,15
2025-08-09 17:33:40,851,1689,47,0,1,705,78,44,30,1,0,2,629,442,69,70,19,8,3,30,24,3296,10,0,0,47,1959,45,0
2025-08-09 19:46:35,1651,2605,57,3,0,1158,1529,98,43,1,0,14,866,559,99,99,22,11,3,50,55,7394,14,1,0,57,2567,79,328
2025-08-09 21:46:52,1796,2848,77,0,4,235,142,13,43,1,0,16,1048,639,125,126,50,19,9,55,71,8292,16,1,0,77,3679,83,0
2025-08-10 16:35:04,754,3168,9,0,0,824,753,336,9,1,0,3,302,188,33,32,3,6,2,4,8,2417,1,1,0,9,926,88,0
2025-08-10 18:37:29,869,3389,9,0,0,140,171,25,9,1,0,8,404,258,206,207,3,8,4,17,13,3548,1,1,0,9,1212,110,3587
2025-08-10 20:47:20,1013,3593,40,0,0,230,71,19,44,1,0,8,569,351,241,242,13,17,11,30,22,4420,2,1,0,40,2222,112,2247
2025-08-12 21:19:38,319,861,1,0,6,350,251,150,66,1,0,0,394,243,15,14,8,10,5,7,44,1256,4,0,0,1,1056,54,960
2025-08-15 21:07:28,2585,7971,0,0,0,3135,1480,179,82,1,0,19,434,280,1,2,0,10,8,12,28,5830,3,0,0,0,1597,0,0
