record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-08-05 06:05:13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3471
2025-08-05 07:07:48,1,0,0,0,0,0,0,0,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3438
2025-08-05 08:10:01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3732
2025-08-05 09:14:16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3855
2025-08-05 10:19:31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3915
2025-08-05 11:26:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4018
2025-08-05 12:42:10,0,0,0,0,0,0,0,0,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4215
2025-08-05 14:20:37,0,0,0,0,0,0,0,0,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5906
2025-08-05 21:57:32,0,0,0,0,0,0,0,0,19,1,0,0,6,2,0,0,1,6,0,1,0,4,0,1,0,0,4,0,21619
2025-08-07 21:24:41,365,627,0,9,0,667,80,0,1,1,0,0,31,6,0,0,6,3,0,2,0,928,0,0,0,0,88,0,3665
2025-08-07 23:14:41,365,627,0,0,0,0,0,0,1,1,0,0,32,6,0,0,7,4,0,2,0,928,0,0,0,0,88,0,6081
2025-08-08 00:47:43,365,627,0,0,0,0,0,0,1,1,0,0,32,6,0,0,7,4,0,2,0,928,0,0,0,0,88,0,5281
2025-08-08 02:02:25,365,627,0,0,0,0,0,0,1,1,0,0,32,6,0,0,7,4,0,2,0,928,0,0,0,0,88,0,4481
2025-08-08 03:11:28,365,627,0,0,0,0,0,0,1,1,0,0,32,6,0,0,7,4,0,2,0,928,0,0,0,0,88,0,3843
2025-08-08 04:19:13,365,627,0,0,0,0,0,0,1,1,0,0,32,6,0,0,7,4,0,2,0,928,0,0,0,0,88,0,4064
2025-08-08 06:05:31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3488
2025-08-08 07:08:17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3765
2025-08-08 08:11:25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3788
2025-08-08 09:14:21,0,0,0,0,0,1,0,0,0,0,0,0,2,2,0,0,2,0,0,0,0,3,0,0,0,0,2,0,3135
2025-08-08 11:15:30,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,2,2,0,0,0,3,0,1,0,0,2,0,6565
2025-08-08 12:30:51,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,2,2,0,0,0,3,0,1,0,0,2,0,4521
2025-08-08 14:03:01,1,1,0,0,0,1,1,0,0,0,0,0,3,2,0,0,3,2,0,0,0,16,0,1,0,0,7,0,4846
2025-08-08 15:42:41,1,1,0,0,0,0,0,0,0,0,0,0,3,2,0,0,3,2,0,0,0,16,0,1,0,0,7,0,5979
2025-08-08 17:18:51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5770
2025-08-08 19:09:18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6626
2025-08-08 21:04:28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6910
2025-08-08 23:01:46,91,116,0,1,2,120,12,1,1,0,0,0,25,9,0,0,8,2,0,2,0,206,0,0,0,0,45,1,5527
2025-08-09 00:47:35,101,138,0,2,0,25,18,0,1,0,0,0,31,9,0,0,12,4,0,2,0,266,0,0,0,0,48,1,5442
2025-08-09 02:15:47,101,138,0,0,0,0,0,0,1,0,0,0,31,9,0,0,12,4,0,2,0,266,0,0,0,0,48,1,5292
2025-08-09 03:27:50,101,138,0,0,0,0,0,0,1,0,0,0,31,9,0,0,12,4,0,2,0,266,0,0,0,0,48,1,4323
2025-08-09 04:35:48,101,138,0,0,0,0,0,0,1,0,0,0,31,9,0,0,12,4,0,2,0,266,0,0,0,0,48,1,4078
2025-08-09 06:05:22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3480
2025-08-09 07:08:05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3762
2025-08-09 08:11:20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3795
2025-08-09 09:15:42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3861
2025-08-09 10:26:24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4241
2025-08-10 13:16:21,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,3,0,0,0,0,0,0,5699
2025-08-10 15:05:38,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,3,0,0,0,0,0,0,6557
2025-08-10 17:03:57,624,905,0,9,1,977,95,4,5,1,0,0,105,24,0,0,26,18,0,2,9,1523,0,0,0,0,206,0,1496
2025-08-10 19:08:13,624,905,0,0,0,0,0,0,17,1,0,0,106,24,0,0,30,18,0,2,9,1553,0,0,0,0,206,0,6850
