record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-08-05 14:05:39,1272,3954,2,0,3,1711,677,14,15,1,0,0,223,84,20,20,30,4,2,9,2,3035,9,0,0,2,653,0,706
2025-08-06 13:40:40,1873,4806,0,0,1,3148,254,2,24,1,0,0,194,113,0,0,13,6,4,3,61,3886,22,0,0,0,915,2,0
2025-08-06 14:59:29,2287,5271,9,0,0,638,307,14,44,1,0,6,390,213,0,1,38,9,7,9,123,5130,35,0,0,9,1478,5,916
2025-08-06 16:23:16,2421,5476,19,0,0,441,74,2,62,1,0,14,505,271,3,4,60,18,16,11,134,5966,35,0,0,19,2142,5,1290
2025-08-06 18:35:46,3261,7944,19,0,0,34,14,2,84,1,0,14,647,340,5,6,73,27,21,17,155,9289,46,2,0,19,2650,8,5459
2025-08-06 20:23:06,3261,7944,19,0,0,0,0,0,84,1,0,14,647,340,5,6,73,27,21,17,155,9289,46,2,0,19,2650,8,6439
2025-08-06 22:14:45,3261,7944,19,0,0,0,0,0,84,1,0,14,647,340,5,6,73,27,21,17,155,9289,46,2,0,19,2650,8,6699
2025-08-07 13:32:36,476,559,8,4,2,799,139,20,88,1,0,2,454,286,4,5,29,21,9,35,135,1690,7,0,0,8,863,13,0
2025-08-07 17:13:57,71,143,2,0,3,387,47,1,127,1,0,0,240,98,21,25,30,29,26,17,13,1094,0,1,0,2,600,9,2004
2025-08-08 18:28:55,1810,4374,15,3,0,159,191,5,96,1,0,30,1069,529,34,36,140,31,19,76,81,7840,28,5,0,15,4573,137,2602
2025-08-08 20:22:25,1863,4420,16,0,0,112,46,1,123,1,0,30,1123,555,34,36,147,32,20,97,81,8113,28,5,0,16,4715,137,5689
2025-08-08 23:57:33,470,1498,3,4,5,897,745,28,26,1,0,9,619,375,10,10,33,11,3,71,9,3258,2,1,0,3,1501,15,0
2025-08-09 01:34:49,609,1609,5,0,0,148,269,6,37,1,0,9,723,412,10,10,40,11,3,92,9,3836,2,1,0,5,1668,23,3030
2025-08-09 02:52:50,609,1609,5,0,0,0,0,0,37,1,0,9,723,412,10,10,40,11,3,92,9,3836,2,1,0,5,1668,23,4681
2025-08-09 04:02:06,609,1609,5,0,0,0,0,0,37,1,0,9,723,412,10,10,40,11,3,92,9,3836,2,1,0,5,1668,23,4155
2025-08-09 06:05:16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3484
2025-08-09 07:07:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3763
