record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-08-05 06:05:21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4978,0,1,0,0,0,0,0,3170
2025-08-05 07:07:57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,10321,0,2,0,0,0,0,0,3755
2025-08-05 08:10:09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5782,0,1,0,0,0,0,0,3732
2025-08-05 09:14:25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11207,0,2,0,0,0,0,0,3428
2025-08-05 10:19:41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5929,0,1,0,0,0,0,0,3916
2025-08-05 11:26:39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11700,0,2,0,0,0,0,0,3604
2025-08-05 12:42:22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17582,0,3,0,0,0,0,0,4241
2025-08-05 16:22:29,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,0,0,29347,0,4,3,0,0,0,0,6906
2025-08-05 18:02:00,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,0,0,35385,0,5,3,0,0,0,0,5877
2025-08-06 06:44:40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5991,0,1,0,0,0,0,0,3340
2025-08-06 07:45:17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,12311,0,3,0,0,0,0,0,3335
2025-08-06 08:46:09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,19629,0,4,0,0,0,0,0,3326
2025-08-06 09:47:57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,27211,0,5,0,0,0,0,0,3077
2025-08-06 10:49:53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,33460,0,6,0,0,0,0,0,3716
2025-08-06 11:53:32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,38330,0,7,0,0,0,0,0,3550
2025-08-06 13:32:23,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,6,0,0,43107,0,8,2,0,0,0,0,3282
2025-08-06 14:49:39,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,6,0,0,47437,0,9,2,0,0,0,0,4334
2025-08-06 16:12:30,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,6,0,0,51490,0,10,2,0,0,0,0,4067
2025-08-06 17:52:24,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,6,0,0,57440,0,11,2,0,0,0,0,5157
2025-08-06 19:37:03,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,6,0,0,64972,0,12,2,0,0,0,0,6278
2025-08-07 06:03:46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,7853,0,1,0,0,0,0,0,3092
2025-08-07 07:04:43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,15361,0,2,0,0,0,0,0,3656
