record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-08-06 20:47:42,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,2,0,0,11368,4,3,0,0,0,40,0,6153
2025-08-06 22:38:49,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,2,0,0,22888,4,7,0,0,0,40,0,6666
2025-08-07 00:05:05,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,2,0,0,33710,4,10,0,0,0,40,0,5176
2025-08-07 01:19:54,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,2,0,0,43818,4,13,0,0,0,40,0,4489
2025-08-07 02:27:10,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,2,0,0,54133,4,17,0,0,0,40,0,4036
2025-08-07 20:34:09,17,17,0,0,0,27,538,0,0,0,0,0,148,112,0,0,8,10,0,0,127,1792,2,4,0,0,2038,92,4202
2025-08-07 22:21:13,17,17,0,0,0,0,0,0,0,0,0,0,148,112,0,0,8,10,0,0,127,1792,2,4,0,0,2038,92,6424
2025-08-08 00:07:00,17,17,0,0,0,0,0,0,0,0,0,0,148,112,0,0,8,10,0,0,127,1792,2,4,0,0,2038,92,6347
2025-08-08 01:27:49,17,17,0,0,0,0,0,0,0,0,0,0,148,112,0,0,8,10,0,0,127,1792,2,4,0,0,2038,92,4535
2025-08-08 02:38:34,17,17,0,0,0,0,0,0,0,0,0,0,148,112,0,0,8,10,0,0,127,1792,2,4,0,0,2038,92,3937
2025-08-09 06:31:05,1011,571,5,0,0,680,523,1,4,1,0,0,102,46,0,0,17,3,1,4,0,1639,0,0,0,5,1116,349,0
2025-08-09 07:49:45,2445,1652,11,0,0,1245,376,1,5,1,0,0,297,125,0,0,65,9,4,12,2,4347,0,1,0,11,2239,658,0
2025-08-09 08:53:17,3899,2007,16,0,0,415,95,1,5,1,0,0,442,196,0,0,90,11,5,36,7,5310,0,1,0,16,3190,658,29
2025-08-09 10:02:07,4220,4425,17,0,0,2510,8,0,5,1,0,0,497,211,0,0,118,11,5,58,7,9325,0,1,0,17,3276,658,2985
2025-08-09 11:16:22,4730,4772,17,0,0,381,0,0,8,1,0,0,531,222,0,0,121,12,6,115,8,10093,0,1,0,17,3695,658,1814
2025-08-09 12:40:13,5221,5254,17,0,0,493,0,0,8,1,0,0,564,232,0,0,126,13,7,137,10,10707,0,1,0,17,4012,658,2951
2025-08-09 14:24:30,7062,5465,17,0,0,251,30,2,19,1,0,0,806,380,0,0,147,16,7,200,26,11482,0,1,0,17,5156,658,201
2025-08-09 16:16:21,8480,6031,22,0,0,598,11,1,21,1,0,0,992,505,0,0,168,16,7,228,31,12540,0,1,0,22,6123,658,647
2025-08-09 18:04:51,8493,6031,22,0,0,0,0,0,21,1,0,0,1004,506,0,0,171,16,7,228,31,12560,0,1,0,22,6774,658,4459
2025-08-09 20:03:01,8493,6031,22,0,0,0,0,0,21,1,0,0,1004,506,0,0,171,16,7,228,31,12560,0,1,0,22,6774,658,7089
2025-08-09 22:03:07,8493,6031,22,0,0,0,0,0,21,1,0,0,1004,506,0,0,171,16,7,228,31,12560,0,1,0,22,6774,658,7206
