record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-08-05 17:34:48,2,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,5361
2025-08-05 19:07:01,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,5231
2025-08-06 11:28:58,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,14,0,0,0,62,0,6,0,0,28,0,4433
2025-08-06 12:34:35,0,0,0,0,0,1,0,0,0,0,0,0,9,0,0,0,0,14,0,0,0,63,0,6,0,0,28,0,3636
2025-08-06 13:45:11,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,14,0,0,0,63,0,6,0,0,28,0,4235
2025-08-06 15:04:49,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,14,0,0,0,63,0,6,0,0,28,0,4777
2025-08-06 16:29:11,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,14,0,0,0,63,0,6,0,0,28,0,4761
2025-08-06 18:11:07,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,14,0,0,0,63,0,6,0,0,28,0,6115
2025-08-06 19:56:36,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,14,0,0,0,63,0,6,0,0,28,0,6329
2025-08-06 21:49:03,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,14,0,0,0,63,0,6,0,0,28,0,6747
2025-08-06 23:29:25,1,1,0,0,0,2,1,0,0,0,0,0,23,9,0,0,4,16,0,0,0,80,0,6,0,0,32,0,5672
2025-08-07 10:00:48,90,41,0,0,0,73,63,3,31,1,0,0,192,148,0,0,24,12,2,5,0,662,0,0,0,0,158,11,2171
2025-08-07 13:35:49,179,134,0,0,7,168,4,0,32,1,0,0,332,222,0,0,50,22,2,13,0,1053,0,1,0,0,264,13,3220
2025-08-07 14:47:19,179,134,0,0,0,0,0,0,32,1,0,0,337,224,0,0,52,24,2,13,0,1055,0,1,0,0,273,13,3963
2025-08-07 16:08:38,179,134,0,0,0,0,0,0,32,1,0,0,359,241,0,0,55,26,2,14,0,1073,0,1,0,0,283,13,4516
2025-08-07 17:45:41,179,134,0,0,0,1,1,0,32,1,0,0,363,242,0,0,56,27,2,14,0,1077,0,1,0,0,285,13,5408
2025-08-07 19:29:12,179,134,0,0,0,0,0,0,32,1,0,0,363,242,0,0,56,27,2,14,0,1077,0,1,0,0,285,13,6210
2025-08-07 21:09:31,3,3,0,0,0,4,3,0,2,0,0,0,71,54,0,0,15,2,0,0,0,102,0,0,0,0,16,0,5128
2025-08-08 11:30:08,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,3716
2025-08-08 12:46:26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4275
2025-08-08 14:24:40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5893
2025-08-08 16:00:50,0,0,0,0,0,0,0,0,0,0,0,0,27,22,0,0,5,3,0,0,0,29,0,0,0,0,18,0,5049
2025-08-08 17:40:26,0,0,0,0,0,0,0,0,0,0,0,0,27,22,0,0,5,3,0,0,0,29,0,0,0,0,18,0,5976
2025-08-08 19:31:32,0,0,0,0,0,0,0,0,0,0,0,0,32,27,0,0,5,3,0,0,0,39,0,0,0,0,18,0,6351
2025-08-08 21:28:47,0,0,0,0,0,0,0,0,0,0,0,0,32,27,0,0,5,3,0,0,0,39,0,0,0,0,18,0,7034
2025-08-09 14:47:36,0,0,0,0,0,0,0,0,0,0,0,0,12,8,0,0,4,4,0,0,0,111,0,0,0,0,22,0,5387
2025-08-09 20:48:44,0,0,0,0,1,0,0,0,0,0,0,0,27,18,0,0,8,8,0,0,0,138,0,1,0,0,29,0,15383
2025-08-10 22:24:41,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,4,0,0,0,22,0,1,0,0,0,0,38166
2025-08-12 14:20:02,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,4,0,0,0,11,0,1,0,0,0,0,7910
2025-08-12 21:43:13,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,2,3,0,0,0,10,0,1,0,0,0,0,6283
2025-08-13 14:45:08,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,4,0,0,0,0,0,1,0,0,1,0,12343
2025-08-13 17:38:32,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,6,0,0,0,0,0,2,0,0,1,0,8709
2025-08-13 19:36:06,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,6,0,0,0,0,0,2,0,0,1,0,6754
2025-08-14 00:19:57,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,2,8,0,0,0,0,0,3,0,0,1,0,12487
2025-08-14 15:51:12,0,0,0,0,1,0,0,0,0,0,0,0,36,20,0,0,10,5,0,1,0,28,0,0,0,0,2,0,6785
2025-08-14 17:43:50,0,0,0,0,0,0,0,0,0,0,0,0,44,26,0,0,22,5,0,1,0,38,0,0,0,0,2,0,6413
2025-08-14 19:36:07,0,0,0,0,0,0,0,0,0,0,0,0,47,28,0,0,24,5,0,1,0,38,0,0,0,0,2,0,6588
2025-08-15 14:17:49,0,0,0,0,0,0,0,0,0,0,0,0,14,10,0,0,13,2,0,0,0,11,0,0,0,0,0,0,5506
2025-08-15 16:16:12,0,0,0,0,0,0,0,0,0,0,0,0,14,10,0,0,13,2,0,0,0,11,0,0,0,0,0,0,7102
2025-08-15 18:09:08,0,0,0,0,0,0,0,0,0,0,0,0,14,10,0,0,13,2,0,0,0,11,0,0,0,0,0,0,6776
2025-08-16 00:14:33,0,0,0,0,0,0,0,0,0,0,0,0,16,11,0,0,13,4,0,0,0,19,0,1,0,0,0,0,15222
2025-08-16 01:59:58,0,0,0,0,0,0,0,0,0,0,0,0,16,11,0,0,13,4,0,0,0,19,0,1,0,0,0,0,6324
