record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-08-05 06:09:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,6301,0,3,0,0,0,0,0,3457
2025-08-05 07:11:35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,12381,0,6,0,0,0,0,0,3755
2025-08-05 08:13:50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,18812,0,8,0,0,0,0,0,3734
2025-08-05 10:22:02,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,26692,0,13,1,0,1,0,0,3952
2025-08-05 11:29:08,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,30729,0,16,1,0,1,0,0,4025
2025-08-05 12:45:35,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,35681,0,19,1,0,1,0,0,4587
2025-08-05 15:46:02,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,6,0,0,45708,0,23,2,0,2,0,0,5982
2025-08-05 17:25:17,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,6,0,0,50320,0,24,2,0,2,0,0,5954
2025-08-06 01:32:56,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,2,2,0,0,1381,5,1,0,0,0,0,0,3056
2025-08-06 02:34:28,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,2,2,0,0,11490,5,7,0,0,0,0,0,3691
2025-08-06 03:35:53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9308,0,4,0,0,0,0,0,3685
2025-08-06 04:37:28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17857,0,8,0,0,0,0,0,3694
2025-08-06 06:04:13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,9081,0,3,0,0,0,0,0,3353
2025-08-06 07:04:53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,18546,0,6,0,0,0,0,0,3639
2025-08-06 08:05:32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,29101,0,11,0,0,0,0,0,3639
2025-08-06 09:06:44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,39050,0,16,0,0,0,0,0,3671
2025-08-06 10:08:32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,46589,0,20,0,0,0,0,0,3707
2025-08-06 11:10:42,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,53131,0,24,0,0,0,0,0,3730
2025-08-06 12:15:27,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,55816,0,26,0,0,0,0,0,3884
2025-08-06 13:24:39,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,58391,0,27,0,0,0,0,0,4152
2025-08-06 14:40:47,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,61346,0,29,0,0,0,0,0,4568
2025-08-06 16:03:39,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,66302,0,31,0,0,0,0,0,4971
2025-08-06 17:41:01,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,72307,0,33,0,0,0,0,0,5841
2025-08-06 19:26:01,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,78367,0,36,0,0,0,0,0,6300
2025-08-06 21:16:52,2,0,1,0,2,1,0,0,2,0,0,0,10,0,0,0,15,5,0,2,84021,17,38,0,0,1,2,0,5513
2025-08-06 23:54:32,4190,168123,9,0,2,168134,4,0,47,1,0,0,298,146,0,0,92,9,2,16,84023,393949,38,1,0,9,2126,4,1889
2025-08-07 01:10:11,4190,168123,9,0,0,0,0,0,47,1,0,0,298,146,0,0,92,9,2,16,84023,393949,38,1,0,9,2126,4,4539
2025-08-07 02:17:43,4190,168123,9,0,0,0,0,0,47,1,0,0,298,146,0,0,92,9,2,16,84023,393949,38,1,0,9,2126,4,4051
2025-08-07 03:23:03,4190,168123,9,0,0,0,0,0,47,1,0,0,298,146,0,0,92,9,2,16,84023,393949,38,1,0,9,2126,4,3919
