record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-08-05 12:29:49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4093
2025-08-05 14:05:42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,5753
2025-08-05 15:47:34,0,0,0,0,0,0,1,0,0,0,0,0,5,3,0,0,0,2,0,0,17,43,1,0,0,0,43,0,5833
2025-08-05 17:26:55,147,73,0,0,0,112,78,0,8,1,0,0,57,23,3,5,0,2,0,0,61,667,2,0,0,0,165,0,4137
2025-08-06 03:47:22,334,228,0,0,0,249,93,22,408,1,0,2,94,37,0,0,1,5,1,0,120,1045,4,2,0,0,276,0,864
2025-08-06 04:48:54,334,228,0,0,0,0,0,0,408,1,0,2,94,37,0,0,1,5,1,0,120,1045,4,2,0,0,276,0,3691
2025-08-06 13:25:55,0,0,0,0,0,1,0,0,0,0,0,0,8,7,0,0,1,2,0,0,0,7,0,0,0,0,5,0,3830
2025-08-06 14:42:17,0,0,0,0,0,0,0,0,0,0,0,0,8,7,0,0,1,2,0,0,0,7,0,0,0,0,5,0,4582
2025-08-06 16:04:59,0,0,0,0,0,0,0,0,0,0,0,0,8,7,0,0,1,2,0,0,0,7,0,0,0,0,5,0,4962
2025-08-06 17:42:53,0,0,0,0,0,0,0,0,0,0,0,0,8,7,0,0,1,2,0,0,0,7,0,0,0,0,5,0,5873
2025-08-06 19:27:47,565,142,9,0,0,281,71,29,570,1,0,4,239,137,0,0,26,3,1,1,217,1289,5,0,0,9,502,0,997
2025-08-06 21:18:46,565,142,9,0,0,0,0,0,570,1,0,4,239,137,0,0,26,3,1,1,217,1289,5,0,0,9,502,0,6357
2025-08-06 23:06:52,1121,1003,11,1,0,650,142,26,602,1,0,5,449,247,0,0,60,18,2,10,263,2532,13,0,0,11,1000,2,1357
2025-08-07 00:25:43,2688,4270,11,0,0,1532,190,30,607,1,0,5,577,321,0,0,80,36,2,12,418,4715,24,0,0,11,1324,8,1130
2025-08-07 01:38:50,4199,7582,11,1,0,1175,72,49,694,1,0,7,761,431,0,0,110,69,5,12,669,6492,31,0,0,11,1712,8,0
2025-08-07 02:45:31,4945,8664,11,0,0,1006,48,0,714,1,0,7,804,448,0,0,118,79,7,12,851,7728,34,0,0,11,1936,8,1215
2025-08-07 03:50:22,6272,11486,11,0,0,962,143,61,727,1,0,7,931,516,0,0,135,100,11,44,918,9271,35,0,0,11,2280,8,0
2025-08-07 15:54:36,516,898,0,0,0,632,269,23,36,1,0,0,66,29,0,0,17,26,7,0,86,1172,2,0,0,0,249,2,340
2025-08-07 18:08:22,1595,2181,0,21,0,1682,804,124,53,1,0,1,374,197,15,14,31,41,7,13,134,4853,8,1,0,0,969,11,0
2025-08-07 19:47:59,2379,4533,0,1,0,3391,1047,147,794,1,0,20,676,375,15,14,32,43,9,71,305,11426,13,1,0,0,1461,29,322
2025-08-07 21:31:41,3105,5224,0,0,0,905,527,79,937,1,0,29,835,442,15,14,52,85,23,78,475,13492,20,1,0,0,1753,29,1251
