record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-08-06 20:36:54,61,73,0,0,6,50,2,11,12,1,0,0,854,613,0,0,57,3,0,38,0,743,6,0,0,0,1219,0,0
2025-08-06 22:28:05,195,284,0,0,0,89,7,4,20,1,0,0,914,630,0,0,69,3,0,39,0,919,6,0,0,0,1878,0,2492
2025-08-06 23:57:55,915,1172,0,0,2,1094,25,0,20,1,0,0,945,637,0,0,78,3,0,42,0,2171,6,0,0,0,2165,0,2544
2025-08-07 01:13:16,995,1275,0,0,0,121,2,0,20,1,0,0,948,638,0,0,78,3,0,42,0,2304,6,0,0,0,2170,0,4155
2025-08-07 02:20:42,1815,2258,0,0,5,1082,24,3,25,1,0,0,1058,673,0,0,93,3,0,50,0,3569,6,0,0,0,2334,0,2229
2025-08-07 03:25:53,1828,2258,0,0,0,0,0,2,25,1,0,0,1117,700,0,0,102,3,0,53,0,3623,6,0,0,0,2420,0,2733
2025-08-07 16:17:34,477,745,0,0,3,387,537,15,2,0,0,0,456,133,19,19,19,2,0,19,0,1441,0,0,0,0,1055,51,0
2025-08-07 19:10:54,2379,3048,0,0,0,4,2,0,2,0,0,0,721,239,19,19,54,4,0,27,0,4629,4,1,0,0,1718,51,4570
2025-08-07 20:49:05,2380,3050,0,0,0,3,0,0,6,1,0,0,741,250,19,19,59,4,0,27,0,4666,4,1,0,0,1976,51,3938
2025-08-07 22:36:54,2830,3541,0,0,0,547,337,0,50,1,0,0,786,269,19,19,66,4,0,27,0,6503,4,1,0,0,2311,51,2578
2025-08-08 00:19:45,2833,3544,0,0,0,3,168,0,102,1,0,0,868,293,19,19,77,4,0,31,0,7290,4,1,0,0,2624,76,3125
2025-08-08 01:38:28,2833,3544,0,0,0,0,0,0,102,1,0,0,870,294,19,19,78,4,0,31,0,7290,4,1,0,0,2624,76,4422
2025-08-08 02:48:35,2833,3544,0,0,0,0,0,0,102,1,0,0,870,294,19,19,78,4,0,31,0,7290,4,1,0,0,2624,76,4207
2025-08-08 16:41:43,206,515,0,0,12,76,372,26,56,1,0,0,592,340,3,3,43,2,0,23,0,1075,0,0,0,0,1265,166,0
2025-08-08 18:53:57,309,632,0,0,0,44,115,3,111,1,0,0,1370,994,3,3,62,4,0,35,0,2359,0,1,0,0,1952,379,2329
2025-08-08 20:48:08,309,632,0,0,0,0,0,0,111,1,0,0,1370,994,3,3,62,4,0,35,0,2359,0,1,0,0,1952,379,6851
2025-08-08 22:45:41,309,632,0,0,0,0,0,0,111,1,0,0,1370,994,3,3,62,4,0,35,0,2359,0,1,0,0,1952,379,7053
2025-08-09 01:38:50,346,632,0,0,1,0,0,0,111,1,0,0,1491,1073,3,3,84,9,0,41,0,2449,0,3,0,0,2033,379,4163
2025-08-09 02:56:11,364,632,0,0,0,0,1,4,111,1,0,0,1587,1139,3,3,97,9,0,42,0,2521,0,3,0,0,2064,379,1787
2025-08-09 04:09:01,401,639,0,0,0,8,10,3,111,1,0,0,1742,1237,4,4,105,13,0,42,0,2679,0,5,0,0,2189,385,2181
2025-08-09 16:37:35,949,1049,0,0,7,1434,152,8,76,1,0,0,285,107,0,0,43,2,0,15,50,2014,25,0,0,0,1014,0,2075
2025-08-09 18:27:06,1773,1916,0,0,3,1101,94,15,194,1,0,0,507,183,1,1,75,2,0,22,76,3512,26,0,0,0,2613,2,2142
2025-08-09 20:25:29,1811,1958,0,0,0,52,1,2,196,1,0,0,542,201,1,1,81,2,0,22,85,3605,32,0,0,0,2832,2,6086
2025-08-09 22:25:06,1811,1958,0,0,0,0,0,0,196,1,0,0,542,201,1,1,81,2,0,22,85,3605,32,0,0,0,2832,2,7176
2025-08-10 00:18:53,2080,2232,0,0,0,385,88,0,215,1,0,0,594,219,1,1,88,2,0,26,90,4248,32,0,0,0,3362,2,4526
2025-08-10 01:58:17,2612,2806,0,0,0,853,104,6,242,1,0,0,720,275,1,1,111,2,0,32,90,5421,33,0,0,0,4718,4,636
2025-08-10 03:26:13,2614,2808,0,0,0,4,2,0,242,1,0,0,743,291,1,1,112,2,0,32,90,5494,33,0,0,0,4819,4,3450
2025-08-10 17:21:26,13,4,0,0,6,6,8,2,3,0,0,0,175,98,0,0,23,2,0,4,0,345,0,0,0,0,541,0,3408
2025-08-10 19:26:27,13,4,0,0,0,0,0,0,3,0,0,0,188,111,0,0,24,2,0,4,0,358,0,0,0,0,541,0,7159
2025-08-10 21:34:51,13,4,0,0,0,0,0,0,3,0,0,0,215,138,0,0,24,2,0,4,0,413,0,0,0,0,639,0,7144
2025-08-10 23:30:31,342,352,0,0,0,456,44,0,24,1,0,0,268,165,0,0,30,2,0,6,1,1080,0,0,0,0,1141,1,3576
2025-08-11 01:21:07,951,1011,0,0,2,943,179,7,81,1,0,0,461,247,0,0,61,2,0,16,30,2741,6,0,0,0,3062,7,1405
2025-08-11 17:40:20,204,217,0,0,1,335,51,2,6,1,0,0,45,22,0,0,9,2,0,3,3,608,0,0,0,0,469,0,4687
2025-08-11 19:49:29,833,897,0,0,1,942,137,6,72,1,0,0,206,74,0,0,50,5,0,10,7,2055,1,0,0,0,2207,0,2713
2025-08-11 22:00:32,1445,1369,0,0,2,575,190,6,75,1,113,0,416,169,1,1,65,6,0,37,7,3349,1,0,0,0,3504,0,3171
2025-08-11 23:57:27,1468,1388,0,0,0,26,43,18,75,1,116,0,712,381,1,1,113,7,1,54,7,3747,1,0,0,0,4438,0,2545
2025-08-12 01:39:12,2014,1953,0,0,1,739,157,8,193,1,116,0,835,419,1,1,153,7,1,66,33,4920,7,0,0,0,5453,3,1884
2025-08-12 03:03:14,2014,1953,0,0,0,0,0,0,193,1,116,0,835,419,1,1,153,7,1,66,33,4920,7,0,0,0,5453,3,5041
2025-08-12 18:16:06,1138,1256,0,0,0,1740,275,10,64,1,0,0,137,41,0,0,20,2,0,1,16,2432,3,0,0,0,1447,2,283
2025-08-12 20:08:13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6726
