record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-08-08 00:24:14,609,1083,10,0,0,951,820,60,99,1,0,0,263,165,5,5,6,2,0,26,33,2526,3,0,0,10,217,5,1376
2025-08-08 01:42:17,609,1083,10,0,0,0,0,0,99,1,0,0,263,165,5,5,6,2,0,26,33,2526,3,0,0,10,217,5,4682
2025-08-08 02:52:14,609,1083,10,0,0,0,0,0,99,1,0,0,263,165,5,5,6,2,0,26,33,2526,3,0,0,10,217,5,4196
2025-08-08 04:00:05,609,1083,10,0,0,0,0,0,99,1,0,0,263,165,5,5,6,2,0,26,33,2526,3,0,0,10,217,5,4071
2025-08-09 03:59:13,381,761,6,0,0,878,333,32,39,1,0,0,158,81,4,4,13,8,0,9,0,1959,0,1,0,6,427,7,399
2025-08-09 06:05:13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3484
2025-08-09 07:07:57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3763
2025-08-09 08:11:12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3794
2025-08-09 09:15:34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3862
2025-08-09 10:26:14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4240
2025-08-09 11:43:52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4658
2025-08-09 13:13:11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5358
2025-08-09 15:02:22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6551
2025-08-09 16:53:20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6658
2025-08-09 18:44:20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6659
2025-08-09 20:43:07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7127
