record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-08-09 10:23:07,2698,7571,1,0,13,5623,207,3,163,1,0,0,284,82,0,0,56,24,9,78,1196,10872,174,3,0,1,683,4,282
2025-08-09 11:39:59,2698,7571,1,0,0,0,0,0,163,1,0,0,292,84,0,0,60,24,9,78,8504,10873,427,3,0,1,685,4,4246
2025-08-09 15:47:58,2877,7797,1,0,4,267,53,2,1533,1,0,0,504,180,0,0,98,34,13,110,9626,12113,456,4,0,1,893,4,1316
2025-08-10 00:34:47,3504,8407,3,3,10,121,1777,10,1594,1,0,0,1005,476,0,0,201,48,16,152,16362,21823,728,8,0,3,1583,6,1877
2025-08-10 09:31:53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,5373,0,150,0,0,0,3,0,3836
2025-08-10 10:48:01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,11268,0,267,0,0,0,3,0,4568
2025-08-10 12:20:14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,18280,0,364,0,0,0,3,0,5532
2025-08-10 14:05:16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,25847,0,473,0,0,0,3,0,6302
2025-08-10 16:00:29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,33560,0,567,0,0,0,3,0,6913
2025-08-10 18:51:50,810,932,1,0,25,1229,5611,6,5,1,0,0,466,229,0,0,175,29,1,38,34808,23654,582,1,0,1,723,35,0
2025-08-10 21:01:29,2111,3428,2,0,14,2593,1571,2,10,1,0,0,721,350,0,0,246,38,2,47,40374,32777,631,1,0,2,1096,35,3375
2025-08-11 07:53:43,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,3,4,0,0,2963,0,41,1,0,1,8,0,3632
2025-08-11 08:59:44,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,3,4,0,0,6044,0,84,1,0,1,8,0,3960
2025-08-11 10:13:27,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,3,4,0,0,9221,0,118,1,0,1,8,0,4423
2025-08-11 11:42:23,1,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,3,4,0,0,12498,0,146,1,0,1,8,0,5336
2025-08-11 13:29:15,1,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,3,4,0,0,17356,0,183,1,0,1,8,0,6411
2025-08-11 15:30:28,1,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,3,4,0,0,23123,0,228,1,0,1,8,0,7273
2025-08-11 17:37:25,1,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,3,4,0,0,29112,0,266,1,0,1,8,0,7617
2025-08-11 19:46:37,1,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,3,4,0,0,35449,0,303,1,0,1,8,0,7752
2025-08-11 21:57:41,1,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,3,4,0,0,40919,0,341,1,0,1,8,0,7863
2025-08-12 02:34:47,1194,2389,0,1,2,768,138,3,215,1,0,0,360,153,0,0,43,16,2,108,778,6864,6,3,0,0,746,41,614
2025-08-12 07:52:49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,2817,0,65,0,0,0,2,0,3452
2025-08-12 08:58:43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,5442,0,133,0,0,0,2,0,3954
2025-08-12 10:14:19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,8495,0,200,0,0,0,2,0,4535
2025-08-12 11:46:29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,12390,0,236,0,0,0,2,0,5530
2025-08-12 13:26:27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,17534,0,263,0,0,0,2,0,5997
2025-08-12 15:26:10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,23867,0,297,0,0,0,2,0,7183
2025-08-12 20:53:58,319,923,0,5,6,739,159,0,357,1,0,0,163,67,0,0,66,19,0,2,17,2141,0,1,0,0,484,0,926
2025-08-12 23:24:42,2307,87,0,1,25,44,447,9,109,1,0,0,269,127,0,0,68,4,0,11,6,48558,9,1,0,0,115,1,706
2025-08-14 00:22:27,576,702,0,3,8,990,6563,0,334,1,0,0,210,78,0,0,48,10,0,27,46,22173,2,0,0,0,723,0,21
2025-08-14 07:54:52,9,0,0,0,0,67,0,0,0,0,0,0,7,2,0,0,2,3,0,0,33,1064,1,0,0,0,0,0,1486
2025-08-14 08:59:39,16,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0,2,3,0,0,33,1064,1,0,0,0,0,0,3603
2025-08-14 10:13:06,22,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0,2,3,0,0,33,1064,1,0,0,0,0,0,4406
2025-08-14 11:40:49,32,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0,2,3,0,0,33,1354,1,0,0,0,0,0,4414
2025-08-14 13:23:42,46,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0,2,3,0,0,33,1946,1,0,0,0,0,0,3996
2025-08-14 15:24:16,53,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0,2,3,0,0,33,1946,1,0,0,0,0,0,6579
2025-08-14 17:17:46,60,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0,2,3,0,0,33,1946,1,0,0,0,0,0,6810
2025-08-14 19:09:12,61,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0,2,3,0,0,33,1946,1,0,0,0,0,0,6685
2025-08-14 21:05:13,64,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0,2,3,0,0,33,1946,1,0,0,0,0,0,6659
2025-08-14 22:55:46,76,0,0,0,1,9,1,0,37,1,0,0,39,23,0,0,18,4,0,6,33,2106,1,0,0,0,31,0,4775
2025-08-16 09:50:53,196,359,0,0,0,495,5884,0,4,0,0,0,64,25,0,0,7,2,0,7,3,22163,0,0,0,0,456,0,318
2025-08-16 15:41:12,630,878,0,0,8,0,0,0,8,0,0,0,214,111,0,0,56,6,0,11,78,27108,0,2,0,0,637,0,4630
2025-08-16 17:31:33,630,881,0,0,1,4,0,0,9,0,0,0,234,116,0,0,68,7,0,11,78,27124,0,2,0,0,693,0,5122
2025-08-16 19:30:59,744,982,0,0,11,159,2059,0,9,0,0,0,442,245,0,0,132,17,0,15,3037,33645,13,2,0,0,950,0,3081
2025-08-16 21:28:33,744,982,0,0,0,0,0,0,9,0,0,0,442,245,0,0,132,17,0,15,3927,33645,17,2,0,0,950,0,6867
2025-08-16 23:29:32,1000,1321,0,0,6,355,3722,70,59,1,0,0,772,419,5,7,202,29,0,24,5770,44167,24,2,0,0,1508,143,2223
