record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-08-05 17:18:31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,5628
2025-08-05 18:55:39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,5827
2025-08-05 20:22:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3911
2025-08-05 22:03:58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,5181
2025-08-07 21:32:42,129,102,0,0,0,120,329,2,0,0,0,0,784,594,14,14,15,2,0,46,0,1479,4,0,0,0,524,112,466
2025-08-07 23:22:39,129,102,0,0,0,0,0,0,0,0,0,0,788,597,14,14,15,2,0,46,0,1483,4,0,0,0,526,112,6272
2025-08-08 02:23:37,129,102,0,0,0,0,0,0,0,0,0,0,790,597,14,14,15,4,0,46,0,1483,4,1,0,0,526,112,5506
2025-08-08 03:32:10,129,102,0,0,0,0,0,0,0,0,0,0,790,597,14,14,15,4,0,46,0,1483,4,1,0,0,526,112,4113
2025-08-08 04:39:36,129,102,0,0,0,0,0,0,0,0,0,0,790,597,14,14,15,4,0,46,0,1483,4,1,0,0,526,112,4045
2025-08-08 16:48:19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,5229
2025-08-08 18:37:12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,6533
2025-08-08 20:31:07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,6834
2025-08-08 22:28:48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,7061
2025-08-09 00:18:34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,6585
2025-08-09 01:51:58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,5603
2025-08-09 03:07:37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4538
2025-08-09 04:16:06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4109
2025-08-09 06:05:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3484
2025-08-09 07:07:58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3763
2025-08-09 08:11:13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3794
2025-08-09 09:15:35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3861
2025-08-09 10:26:16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4240
2025-08-09 11:43:55,22,8,0,0,0,9,12,0,0,0,0,0,307,276,0,0,3,2,0,4,0,365,11,0,0,0,114,0,2282
2025-08-09 13:13:13,204,167,0,0,0,215,48,0,11,0,0,0,867,732,0,0,23,2,0,25,0,1444,11,0,0,0,1107,0,914
2025-08-09 15:02:24,208,170,0,0,0,7,4,0,11,0,0,0,987,841,0,0,23,3,0,26,0,1598,11,0,0,0,1154,4,3743
2025-08-09 16:53:23,208,170,0,0,0,0,0,0,11,0,0,0,987,841,0,0,23,3,0,26,0,1598,11,0,0,0,1154,4,6658
2025-08-09 18:44:23,209,171,0,0,0,1,0,0,11,0,0,0,1002,850,0,0,23,3,0,26,0,1614,11,0,0,0,1163,4,6323
2025-08-09 20:43:10,209,171,0,0,0,0,0,0,11,0,0,0,1002,850,0,0,23,3,0,26,0,1614,11,0,0,0,1163,4,7127
2025-08-09 23:22:48,246,201,0,0,0,17,131,2,11,0,0,1,1171,963,0,0,30,7,0,26,0,2050,11,2,0,0,2929,68,2717
2025-08-10 01:12:20,254,211,0,0,0,10,200,0,11,0,0,1,1199,968,0,0,31,7,0,26,0,2302,11,2,0,0,2974,159,4573
2025-08-10 02:41:35,258,215,0,0,0,4,111,1,13,0,0,1,1213,969,0,0,31,7,0,26,0,2440,11,2,0,0,2998,215,3842
2025-08-10 04:04:13,258,215,0,0,0,0,0,0,13,0,0,1,1213,969,0,0,31,7,0,26,0,2440,11,2,0,0,2998,215,4957
2025-08-10 06:07:36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3622
2025-08-10 07:12:32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3896
2025-08-10 08:18:49,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3203
2025-08-10 09:28:57,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4203
2025-08-10 10:44:46,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4548
2025-08-10 12:16:17,1,1,0,0,0,1,22,0,1,0,0,0,2,0,0,0,0,2,0,0,0,34,0,0,0,0,1,0,4867
2025-08-10 14:01:01,19,39,0,0,0,41,402,0,1,0,0,0,97,53,0,0,4,2,0,0,0,617,0,0,0,0,68,131,4253
2025-08-10 15:55:39,31,51,0,0,0,12,252,0,2,0,0,0,175,98,0,0,17,2,0,0,0,1026,0,0,0,0,170,204,4594
2025-08-10 17:54:57,31,51,0,0,0,0,0,0,2,0,0,0,175,98,0,0,17,2,0,0,0,1026,0,0,0,0,170,204,7158
2025-08-10 20:02:55,31,51,0,0,0,0,0,0,2,0,0,0,175,98,0,0,17,2,0,0,0,1026,0,0,0,0,170,204,7677
2025-08-10 22:08:17,31,51,0,0,0,0,0,0,2,0,0,0,175,98,0,0,17,2,0,0,0,1026,0,0,0,0,170,204,7521
2025-08-11 00:00:58,31,51,0,0,0,0,0,0,2,0,0,0,175,98,0,0,17,2,0,0,0,1026,0,0,0,0,170,204,6761
2025-08-11 01:50:26,31,51,0,0,0,0,0,0,2,0,0,0,178,100,0,0,19,2,0,0,0,1026,0,0,0,0,170,204,5966
2025-08-11 03:26:34,49,77,0,0,0,27,99,0,2,0,0,0,220,126,0,0,21,2,0,0,0,1215,0,0,0,0,201,247,4746
2025-08-11 06:06:29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3551
2025-08-11 07:10:46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3856
2025-08-11 16:14:30,161,56,0,0,0,63,144,3,0,0,0,0,222,130,8,7,8,6,0,4,1453,593,1,2,0,0,276,21,3655
2025-08-11 18:24:36,161,56,0,0,0,0,0,0,0,0,0,0,222,130,8,7,8,6,0,4,6919,593,3,2,0,0,276,21,7504
2025-08-11 20:33:52,161,56,0,0,0,0,0,0,0,0,0,0,222,130,8,7,8,6,0,4,12365,593,6,2,0,0,276,21,7755
2025-08-11 22:42:35,161,56,0,0,0,0,0,0,0,0,0,0,222,130,8,7,8,6,0,4,21759,593,10,2,0,0,276,21,7723
