record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-08-05 06:27:21,58,51,7,0,1,89,190,2,13,1,0,0,69,40,0,0,7,2,0,0,0,443,0,0,0,7,391,154,964
2025-08-06 04:16:12,438,727,0,0,0,1004,216,3,13,1,0,0,215,137,0,0,16,7,1,56,0,2311,0,1,0,0,727,0,13
2025-08-06 06:02:52,265,444,5,0,0,657,276,8,63,1,0,0,159,72,0,0,17,25,22,62,0,1846,0,0,0,5,880,0,0
2025-08-08 02:14:59,78,57,3,0,15,89,71,45,5,0,0,0,183,108,0,0,35,4,0,6,0,624,0,1,0,3,1768,15,0
2025-08-09 23:56:12,786,765,2,0,1,994,367,54,9,1,0,2,367,228,32,31,14,4,0,164,0,2191,0,1,0,2,1087,110,165
2025-08-10 01:39:53,1682,1842,2,0,0,1398,429,48,12,1,0,3,866,596,50,49,38,4,0,211,0,5002,0,1,0,2,1734,258,0
2025-08-10 22:04:08,266,306,1,0,11,366,80,8,53,0,0,0,338,274,0,0,23,2,0,8,0,1002,0,0,0,1,697,44,2977
2025-08-11 04:41:43,3306,5345,1,0,0,0,0,0,56,0,0,0,755,596,0,0,36,10,0,12,0,9654,0,4,0,1,1882,68,4509
2025-08-12 02:26:03,243,290,4,0,0,357,2260,2,1,0,0,0,223,168,0,0,9,4,0,0,0,3911,0,1,0,4,1523,2,153
2025-08-12 03:40:50,385,419,34,4,0,172,408,36,12,1,0,0,413,277,0,0,24,4,0,15,0,5416,0,1,0,34,3164,2,0
2025-08-12 04:50:23,560,1097,100,0,0,155,51,31,39,1,0,0,579,372,0,0,29,4,0,33,0,6182,0,1,0,100,4761,2,0
2025-08-12 23:45:46,106,118,0,0,4,155,46,13,9,0,0,0,180,89,0,0,24,2,0,18,0,572,8,1,0,0,930,0,2492
2025-08-13 03:30:37,97,78,228,0,51,94,129,49,68,1,0,0,195,106,9,8,8,2,0,49,4,701,1,1,0,228,1174,8,0
2025-08-13 04:51:45,202,204,265,0,2,149,117,0,80,1,0,0,294,163,9,8,26,4,0,73,8,1429,1,2,0,265,1690,28,1709
2025-08-14 03:49:56,750,670,16,0,0,315,290,9,7,1,0,0,396,206,1,0,18,8,0,216,4,2456,0,3,0,16,2090,185,0
2025-08-14 04:55:35,750,670,16,0,0,0,0,0,7,1,0,0,396,206,1,0,18,8,0,216,4,2456,0,3,0,16,2090,185,3661
2025-08-16 02:09:26,329,239,0,0,0,330,308,7,0,0,0,0,289,202,0,0,3,2,0,39,0,1131,0,0,0,0,462,97,2012
2025-08-16 03:37:49,815,615,9,0,8,429,743,1,15,1,0,3,647,456,1,1,18,4,0,42,2,3541,0,1,0,9,1645,151,0
2025-08-17 04:30:19,417,320,2,0,0,287,383,8,109,1,0,0,867,692,4,5,14,9,2,18,170,2564,40,2,0,2,1276,137,464
