record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-08-05 07:32:02,965,968,0,0,1,1077,519,8,26,1,3,6,358,244,3,3,58,5,1,22,68,2421,2,0,0,0,404,7,0
2025-08-05 08:34:46,530,979,1,2,7,308,84,44,132,1,0,6,416,266,0,0,60,10,10,1,76,1186,4,0,0,1,730,18,0
2025-08-05 09:40:04,779,1239,1,13,4,257,175,42,172,1,0,14,952,609,3,3,121,16,11,16,106,2391,6,0,0,1,1243,39,0
2025-08-05 10:45:12,1938,2676,2,0,0,1561,836,22,272,1,0,15,1282,800,6,5,160,21,16,44,188,6626,7,0,0,2,1636,144,0
2025-08-05 11:54:59,842,2280,0,0,4,702,616,25,69,1,3,7,315,197,13,29,55,5,1,19,111,2217,2,0,0,0,906,98,0
2025-08-05 13:19:13,1397,2856,1,0,3,657,605,31,161,1,3,13,769,450,16,32,120,26,3,49,159,5590,8,0,0,1,1890,119,0
2025-08-07 06:04:58,420,377,0,6,0,371,755,58,55,1,0,5,292,182,1,1,37,2,0,4,51,1823,2,0,0,0,774,4,0
2025-08-07 07:05:55,846,876,1,2,0,691,841,16,103,1,1,17,642,376,7,8,82,6,0,11,89,4122,4,0,0,1,1295,16,0
2025-08-08 03:40:37,1499,1451,3,3,2,559,258,35,129,1,1,20,1046,612,9,10,140,8,0,21,122,5908,5,1,0,3,2787,19,0
2025-08-10 04:26:51,1799,3829,0,0,0,1405,616,9,158,1,13,15,552,283,14,14,76,32,28,25,95,4811,4,1,0,0,1113,9,0
2025-08-11 03:50:22,484,471,0,0,0,281,289,9,23,1,0,6,399,262,1,0,86,21,17,13,22,2116,1,1,0,0,360,8,853
2025-08-12 03:30:44,1170,1102,0,0,0,1498,1291,17,140,1,0,11,285,198,3,3,12,2,0,29,113,4043,3,0,0,0,599,1,0
2025-08-12 04:40:32,1655,1468,0,6,0,482,908,27,291,1,0,24,701,495,4,3,54,3,1,35,226,6520,11,0,0,0,1341,4,0
2025-08-12 06:26:23,244,152,0,16,0,208,329,53,61,1,0,5,475,260,4,19,101,3,1,4,119,1476,7,0,0,0,746,14,0
2025-08-14 21:54:24,1077,2610,0,0,0,923,727,20,56,1,0,10,455,316,1,33,77,4,2,4,174,2600,5,0,0,0,645,4,374
2025-08-16 06:33:25,549,560,0,0,0,709,747,8,36,1,0,8,207,139,0,0,26,3,1,6,119,2232,6,0,0,0,748,0,0
2025-08-17 02:31:35,665,1767,0,0,0,2510,345,20,5,1,0,1,378,275,0,0,27,3,1,5,425,4003,24,1,0,0,1028,0,0
2025-08-17 03:44:13,1294,2541,2,0,0,1051,459,6,130,1,0,3,671,480,0,0,57,3,1,7,587,6289,30,1,0,2,1835,0,0
2025-08-17 04:49:24,1881,3006,3,19,0,614,141,17,195,1,0,15,1055,751,0,0,71,3,1,12,628,7855,33,1,0,3,2631,22,0
