record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,chunk_load,redstone,afk_time
2025-07-11 22:10:07,0,0,0,1,0,0,0,0,0,0,0,4,4,0,0,2,0,0,0,12,0,0,0,0,84,0,0
2025-07-11 22:10:07,0,0,0,1,0,0,0,0,0,0,0,4,4,0,0,2,0,0,0,12,0,0,0,0,84,0,0
2025-07-11 22:32:08,73,412,0,20,0,412,21,0,0,0,0,2,2,0,0,4,0,5,0,37,0,1,0,0,250,0,0
2025-07-11 22:32:08,73,412,0,20,0,412,21,0,0,0,0,2,2,0,0,4,0,5,0,37,0,1,0,0,250,0,0
2025-07-12 17:55:46,124,0,0,34,0,0,0,0,2,0,0,84,84,0,0,10,0,0,0,94,0,0,0,0,65,0,0
2025-07-12 17:55:46,124,0,0,34,0,0,0,0,2,0,0,84,84,0,0,10,0,0,0,94,0,0,0,0,65,0,0
2025-07-12 18:25:46,24,116,0,2676,0,116,2707,0,1,0,0,107,107,0,0,28,0,0,0,2872,0,0,0,0,572,87,0
2025-07-12 18:25:46,24,116,0,2676,0,116,2707,0,1,0,0,107,107,0,0,28,0,0,0,2872,0,0,0,0,572,87,0
2025-07-12 18:55:46,2010,40,0,3697,1,40,3720,0,0,0,0,118,118,0,0,2,0,0,0,3948,0,0,0,0,1105,795,0
2025-07-12 18:55:46,2010,40,0,3697,1,40,3720,0,0,0,0,118,118,0,0,2,0,0,0,3948,0,0,0,0,1105,795,0
2025-07-12 19:25:46,2,4,0,959,1,4,974,0,0,0,0,17,17,0,0,0,0,0,0,997,0,0,0,0,1236,220,1171
2025-07-12 19:25:46,2,4,0,959,1,4,974,0,0,0,0,17,17,0,0,0,0,0,0,997,0,0,0,0,1236,220,1171
2025-07-12 19:55:46,77,60,0,3431,1,60,3420,0,0,0,0,119,119,59,0,9,0,0,0,3864,0,0,0,0,1834,1045,0
2025-07-12 19:55:46,77,60,0,3431,1,60,3420,0,0,0,0,119,119,59,0,9,0,0,0,3864,0,0,0,0,1834,1045,0
2025-07-12 20:25:46,57,49,0,1075,14,49,283,0,0,0,0,21,21,865,0,8,0,3,0,5026,0,0,0,0,2099,147,0
2025-07-12 20:25:46,57,49,0,1075,14,49,283,0,0,0,0,21,21,865,0,8,0,3,0,5026,0,0,0,0,2099,147,0
2025-07-13 08:59:14,11,16,0,25,0,16,16,0,0,0,0,5,5,6,0,0,0,0,0,53,0,0,0,0,45,0,0
2025-07-13 08:59:14,11,16,0,25,0,16,16,0,0,0,0,5,5,6,0,0,0,0,0,53,0,0,0,0,45,0,0
2025-07-13 09:29:14,27,39,0,3516,1,39,3507,0,0,0,0,148,148,3,0,15,0,1,0,5263,0,0,0,0,574,832,0
2025-07-13 09:29:14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,574,0,0
2025-07-13 09:59:14,19,42,0,2108,0,42,2063,0,0,0,0,109,108,73,0,10,0,2,90,2951,0,0,0,0,919,744,0
2025-07-13 09:59:14,19,42,0,2108,0,42,2063,0,0,0,0,109,108,73,0,10,0,2,90,2951,0,0,0,0,919,744,0
2025-07-13 10:29:14,23,38,0,1918,3,38,1750,0,0,0,0,189,190,282,0,4,0,0,0,3592,0,0,0,0,1253,851,0
2025-07-13 10:29:14,23,38,0,1918,3,38,1750,0,0,0,0,189,190,282,0,4,0,0,0,3592,0,0,0,0,1253,851,0
2025-07-13 10:59:14,0,0,0,5,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,42,0,0,0,0,1254,0,884
2025-07-13 10:59:14,0,0,0,5,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,42,0,0,0,0,1254,0,884
2025-07-13 11:29:14,29,44,0,1851,3,44,1840,0,0,0,0,65,65,6,0,12,0,0,0,2011,0,0,0,0,1559,504,0
2025-07-13 11:29:14,29,44,0,1851,3,44,1840,0,0,0,0,65,65,6,0,12,0,0,0,2011,0,0,0,0,1559,504,0
2025-07-13 11:59:14,79,156,0,1590,6,156,1519,0,0,0,0,98,98,68,0,20,0,0,0,3428,0,0,0,0,2042,81,0
2025-07-13 11:59:14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2042,0,0
2025-07-13 12:29:14,213,387,0,259,1,387,261,0,0,0,0,42,42,0,0,26,0,20,8378,368,0,0,0,0,2307,176,0
2025-07-13 12:29:14,213,387,0,259,1,387,261,0,0,0,0,42,42,0,0,26,0,20,8378,368,0,0,0,0,2307,176,513
2025-07-13 17:26:30,123,294,0,173,0,294,175,1,0,0,0,3,3,0,0,2,0,0,12638,197,0,1,0,0,2399,121,0
2025-07-13 17:26:30,123,294,0,173,0,294,175,1,0,0,0,3,3,0,0,2,0,0,12638,197,0,1,0,0,2399,121,0
2025-07-13 17:35:22,1469,5383,0,3251,0,5383,3254,0,0,0,0,0,0,0,0,0,0,0,0,9361,0,1,0,0,2513,2151,0
2025-07-13 17:35:22,1469,5383,0,3251,0,5383,3254,0,0,0,0,0,0,0,0,0,0,0,0,9361,0,1,0,0,2513,2151,0
