record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-07-23 10:40:31,148,150,47,3,2,280,23,22,287,1,0,0,87,61,0,0,52,118,9,1,66,820,7,1,9,47,479,1,0
2025-07-23 12:03:07,6,0,0,0,0,0,0,0,0,0,0,0,38,33,0,0,34,107,0,0,0,51,0,0,0,0,43,0,0
2025-07-24 11:21:00,81,76,4,0,0,171,15,18,127,1,0,0,89,63,0,0,47,72,3,9,45,389,4,0,3,4,260,0,0
2025-07-24 14:08:38,87,194,3,0,0,254,16,9,34,1,0,0,40,21,0,0,11,81,1,5,20,619,1,0,1,3,845,1,0
2025-07-24 15:17:17,87,101,2,0,0,243,31,4,39,1,0,0,72,45,0,0,27,94,3,8,30,637,2,0,3,2,969,1,0
2025-07-26 10:17:45,143,229,5,0,1,316,153,7,50,1,0,2,81,69,2,6,15,23,2,1,51,691,1,1,2,5,688,0,0
2025-07-26 11:38:49,1,1,5,0,0,1,1,0,0,0,0,0,33,21,0,0,19,34,4,0,0,27,0,1,4,5,78,0,0
2025-07-26 12:44:28,0,0,0,0,0,0,0,0,0,0,0,0,7,6,0,0,3,28,0,0,0,7,0,0,0,0,34,0,0
2025-07-27 12:12:45,2,0,3,0,0,1,0,0,0,0,0,0,20,12,0,0,8,24,3,4,0,19,0,1,3,3,41,0,0
2025-07-28 01:17:00,281,317,8,0,0,479,10,12,42,1,0,0,87,54,11,12,17,34,1,9,12,768,0,1,1,8,593,0,0
2025-07-28 10:26:18,113,115,4,0,0,183,147,1,46,1,0,0,31,12,1,0,5,18,1,0,89,551,1,0,1,4,372,0,0
2025-07-28 12:54:05,104,121,13,0,0,205,65,7,9,1,0,0,64,47,1,2,19,71,1,9,9,397,1,1,1,13,251,1,0
2025-07-29 02:26:26,303,610,0,0,0,866,250,37,0,0,0,0,82,57,8,8,5,2,0,175,2,1785,1,1,0,0,295,0,0
2025-07-29 09:56:41,567,691,1,0,0,1155,576,19,31,1,0,18,160,113,26,31,7,8,1,9,39,2233,3,1,1,1,743,4,0
2025-07-30 11:03:43,383,431,29,0,3,657,356,0,19,1,0,0,108,48,1,1,41,40,6,10,0,1743,0,1,6,29,1414,0,0
2025-07-31 11:11:27,115,13,14,0,8,38,12,63,442,1,0,0,113,67,48,48,18,32,5,4,794,407,39,1,5,14,511,0,0
2025-07-31 14:50:25,180,183,10,0,0,130,38,2,132,1,0,0,108,59,17,16,11,25,1,31,109,385,2,0,2,10,511,5,0
2025-08-01 01:47:50,1411,2358,10,0,3,1717,188,3,195,1,0,0,93,30,0,0,16,26,4,286,209,2412,10,1,4,10,409,3,0
2025-08-02 03:01:27,45,53,0,4,0,76,302,0,27,1,0,0,80,41,1,0,13,2,0,4,34,499,0,1,0,0,196,5,0
2025-08-03 03:57:41,1167,5269,11,0,2,1537,10,25,297,1,0,0,158,79,2,2,23,32,2,134,197,2277,16,0,2,11,474,2,0
2025-08-06 10:42:21,471,1526,16,0,1,853,35,82,80,1,0,0,108,64,0,1,13,15,4,15,40,1285,7,1,3,16,1103,0,0
2025-08-06 13:07:17,73,84,8,11,5,132,22,19,2,0,0,0,117,92,0,0,21,3,0,457,0,441,1,0,0,8,393,4,0
2025-08-07 13:39:11,182,135,9,1,2,118,23,0,255,1,0,0,117,72,0,0,17,39,4,19,274,357,20,1,4,9,436,19,0
2025-08-08 12:12:44,257,11,3,0,0,33,9,3,415,1,0,0,78,64,0,0,1,7,0,176,492,172,8,1,0,3,123,4,0
2025-08-08 14:06:34,28,26,3,0,0,34,34,0,2,0,0,0,51,41,0,0,4,6,0,0,0,101,0,1,0,3,186,26,0
2025-08-09 11:31:45,29,30,1,0,0,35,46,2,0,0,0,0,40,34,0,0,1,5,0,0,2,116,0,1,0,1,98,21,0
2025-08-09 13:26:07,24,31,17,0,10,52,54,192,13,1,0,0,119,91,0,0,20,2,0,4,0,221,1,1,0,17,227,26,0
2025-08-11 01:25:06,103,90,2,0,3,125,115,0,5,1,0,0,144,122,0,0,5,75,1,9,6,374,0,1,1,2,286,100,0
2025-08-11 09:54:52,456,16,1,0,1,259,7,3,590,1,0,0,187,159,0,0,9,14,1,163,853,804,10,1,1,1,176,4,0
2025-08-13 02:13:12,169,167,2,0,3,182,175,0,13,1,0,0,221,202,0,0,4,10,1,14,4,436,0,1,1,2,127,166,0
2025-08-13 11:27:38,268,230,5,2,0,277,424,701,54,1,0,0,347,324,1,0,5,2,0,48,265,1028,2,0,0,5,649,190,0
2025-08-13 14:37:45,86,52,3,0,22,63,42,310,66,1,0,0,175,149,0,0,22,21,2,50,118,256,1,0,2,3,322,17,0
2025-08-14 01:41:50,260,237,1,3,1,331,274,165,11,1,0,0,214,172,0,0,0,2,0,24,9,926,0,1,0,1,419,209,0
2025-08-14 10:33:32,193,132,14,0,3,172,164,61,77,1,0,0,285,220,1,1,14,19,0,39,117,2086,17,0,0,14,442,121,0
2025-08-16 07:47:03,357,7,4,0,4,980,5,0,554,1,0,0,104,69,0,0,13,8,0,165,230,1166,17,1,0,4,215,2,0
