record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-07-30 06:52:37,288,334,9,1,0,685,61,4,69,1,0,0,107,16,0,0,44,13,1,0,24,1440,5,1,1,9,406,0,0
2025-07-30 08:08:41,3560,4616,3,0,0,6431,559,6,106,1,0,0,120,54,0,0,23,0,0,5,121,9641,8,0,0,3,663,10,0
2025-07-30 22:20:53,1358,1475,3,1,1,2213,375,6,50,1,0,3,118,71,0,0,13,8,0,3,212,3694,7,0,0,3,265,4,0
2025-07-31 01:53:08,1088,4869,26,0,0,5638,65,1,127,1,0,0,410,325,0,0,53,79,3,16,51,8207,10,0,3,26,776,0,0
2025-08-01 05:19:38,159,151,20,0,0,201,76,17,173,1,0,17,638,557,14,15,25,55,0,9,214,1184,13,1,0,20,419,0,0
2025-08-01 06:30:08,969,1008,21,6,0,1403,103,5,450,1,0,0,382,280,1,1,51,25,2,10,1188,2070,52,1,2,21,600,0,0
2025-08-01 08:27:55,415,603,22,0,0,773,147,3,208,1,0,0,187,104,1,0,53,42,2,16,203,1730,4,1,2,22,1165,13,0
2025-08-02 09:47:46,1474,1551,21,0,0,1820,282,2,104,1,0,1,256,156,41,42,47,49,8,18,96,3661,2,0,8,21,1008,0,0
2025-08-02 10:47:46,70,69,14,0,0,104,84,16,104,1,0,0,307,187,16,16,49,22,1,7,50,832,3,0,1,14,988,0,0
2025-08-02 14:07:16,554,606,15,0,0,755,337,18,71,1,0,0,163,68,0,0,40,9,1,9,0,1749,0,1,1,15,1187,0,0
2025-08-02 19:17:41,703,1796,9,0,1,733,821,43,96,1,0,0,266,141,0,0,17,11,0,3,80,2515,13,1,0,9,333,0,0
2025-08-03 05:40:03,1213,2126,30,0,5,702,24,15,433,1,0,0,328,195,0,0,46,37,0,43,692,1084,90,0,0,30,506,0,0
2025-08-03 17:27:40,707,1027,10,0,3,591,667,1,12,1,0,0,94,28,22,24,19,4,0,2,0,1749,0,1,0,10,362,0,0
2025-08-03 18:27:40,314,140,13,0,0,181,148,14,894,1,0,3,264,170,0,0,19,16,1,12,965,686,15,0,1,13,960,10,0
2025-08-04 07:54:13,833,1134,9,0,0,506,515,39,47,1,0,0,370,225,0,0,18,7,0,9,4,1603,0,0,0,9,445,0,0
2025-08-04 08:54:13,306,165,13,0,3,236,381,69,226,1,0,9,432,266,7,7,22,1,0,43,58,1298,1,0,0,13,472,1,0
2025-08-04 17:58:18,539,51,6,0,0,235,20,3,3762,1,0,0,325,262,0,0,36,4,0,13,3033,445,20,0,0,6,295,0,0
2025-08-04 18:58:18,192,84,18,0,17,224,50,12,862,1,0,0,234,134,0,1,32,6,0,8,933,746,5,0,0,18,397,0,0
2025-08-04 19:58:18,398,11353,8,0,3,1906,14,6,50,1,0,5,279,193,0,0,29,7,0,28,169,2665,2,0,0,8,900,0,0
2025-08-05 06:55:14,12,11,3,0,0,24,1,0,12,1,0,0,25,8,0,0,4,2,0,9,0,147,0,1,0,3,376,0,0
2025-08-05 07:55:14,4,0,0,0,0,0,0,0,140,1,0,0,16,10,0,0,0,0,0,0,100,12,1,0,0,0,31,0,0
2025-08-05 09:38:53,303,98,13,2,0,166,162,118,23,1,0,0,438,293,0,0,17,6,0,9,0,1178,0,1,0,13,986,0,0
2025-08-05 10:38:56,325,303,22,0,0,428,199,10,14,1,0,0,260,139,44,48,25,7,0,9,0,1090,0,0,0,22,936,6,0
2025-08-05 11:56:17,29,41,1,0,0,19,0,0,0,0,0,0,10,1,1,1,2,29,0,0,0,55,0,1,0,1,52,0,0
2025-08-05 14:50:57,128,102,1,0,0,130,35,2,13,1,0,0,37,15,1,1,3,4,1,3,0,288,0,0,1,1,67,0,0
2025-08-06 07:32:33,655,3202,10,0,0,962,34,0,660,1,0,0,186,72,9,8,26,14,0,36,742,1475,5,0,0,10,824,0,0
2025-08-06 09:10:55,188,159,8,0,3,167,82,0,355,1,0,0,264,152,0,0,30,13,0,40,293,731,2,1,0,8,769,11,0
2025-08-06 10:50:45,184,205,18,0,0,249,0,4,70,1,0,0,169,84,0,0,67,55,0,10,11,454,2,1,0,18,315,0,0
2025-08-08 05:36:26,698,4559,13,0,0,921,37,3,521,1,0,0,300,207,0,0,25,5,0,30,295,1435,3,0,0,13,633,0,0
2025-08-08 06:36:26,1074,4930,3,0,0,1030,43,17,2,1,0,0,195,138,0,0,17,5,0,64,2,1779,0,0,0,3,2033,0,0
2025-08-08 07:36:26,238,159,2,0,0,199,167,2,39,0,0,0,66,34,0,0,8,2,0,8,0,547,0,0,0,2,419,8,0
2025-08-09 12:33:19,888,20221,5,0,0,3442,12,0,84,1,0,0,215,163,8,8,35,8,0,32,204,4686,4,1,0,5,615,0,0
2025-08-10 13:53:56,162,453,7,0,0,70,1,22,129,1,0,0,105,73,0,0,28,10,0,3,0,136,0,0,0,7,77,0,0
2025-08-10 17:53:16,153,112,5,0,0,213,6,14,390,1,0,0,178,97,7,7,17,41,0,9,107,879,1,1,0,5,2831,0,0
2025-08-10 18:53:17,395,1634,17,0,0,708,227,3,427,1,0,0,139,31,1,0,18,94,3,1,42,1903,0,0,3,17,2077,0,0
2025-08-10 20:27:57,224,5178,27,0,7,1007,3,0,820,1,0,0,121,60,0,0,64,9,0,16,699,1589,6,1,0,27,227,0,0
2025-08-10 21:32:42,1,1,1,0,0,4,3,0,4,1,0,0,42,14,0,2,4,4,0,0,1,95,0,1,0,1,210,0,0
2025-08-11 05:25:14,103,61,14,0,0,344,0,2,863,1,0,0,197,76,0,0,29,8,0,19,141,626,6,0,0,14,409,0,0
2025-08-11 06:25:14,705,945,10,0,2,472,59,2,313,1,0,0,125,47,0,0,18,8,0,31,228,1089,2,0,0,10,974,25,0
2025-08-11 07:25:15,478,647,8,8,0,875,392,8,23,1,0,0,341,203,0,0,15,14,0,34,6,2085,1,0,0,8,641,15,0
2025-08-11 08:25:14,131,157,9,0,0,152,25,2,51,1,0,0,103,43,3,3,19,16,1,7,6,315,0,0,1,9,598,0,0
2025-08-11 09:25:24,800,1174,12,0,0,684,88,0,273,1,0,0,207,141,4,9,37,6,0,16,19,1252,1,0,0,12,779,0,0
2025-08-12 02:06:10,69,8,6,0,2,12,0,1,17,1,0,0,165,100,0,0,14,18,1,5,61,452,2,1,1,6,211,0,0
2025-08-12 03:06:10,59,139,8,0,0,114,1,0,546,1,0,0,81,46,0,2,21,12,0,1,181,263,2,0,0,8,118,0,0
2025-08-12 05:01:49,23,36401,2,0,0,6074,14,0,24,1,0,0,68,46,0,0,7,6,0,9,233,9965,2,0,0,2,374,0,0
2025-08-12 06:57:55,323,156,10,0,0,326,87,28,1841,1,0,2,472,382,0,0,25,12,0,46,2197,962,18,1,0,10,366,2,0
2025-08-12 09:05:06,1606,8422,23,0,0,1899,178,42,75,1,0,6,783,578,0,0,69,14,0,25,17,3631,1,1,0,23,659,1,0
2025-08-12 10:23:45,1524,229,5,0,1,296,103,41,5,0,0,10,1426,1124,5,0,69,0,0,5,4,1708,0,0,0,5,948,0,0
2025-08-12 17:02:32,3,2,7,0,0,5,0,0,3,1,0,0,77,53,0,0,16,14,0,0,0,122,0,0,0,7,320,0,0
