record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-07-07 08:24:23,376,629,55,2,4,1515,126,21,65,1,0,4,502,410,0,1,218,280,2,9,66,2289,5,1,2,55,733,0,0
2025-07-07 09:52:39,399,448,54,1,1,1752,299,6,413,1,0,3,173,65,0,0,41,129,3,2,136,3549,7,0,3,54,1861,0,0
2025-07-07 14:31:59,0,0,38,0,0,1,0,0,0,0,0,0,2,0,0,0,3,4,0,0,0,4,0,0,0,38,5,0,0
2025-07-08 06:36:11,717,1283,31,0,2,2296,360,16,227,1,0,1,272,179,4,3,65,155,1,66,259,4482,17,0,1,31,854,0,0
2025-07-08 08:03:45,463,563,24,0,0,1245,544,12,58,1,0,0,149,95,1,2,32,103,1,4,3,2693,2,0,1,24,470,1,0
2025-07-08 14:12:27,4,0,409,0,0,36,0,0,12,0,0,0,4,2,0,0,2,4,1,14,0,77,0,0,1,409,12,0,0
2025-07-08 15:12:27,38,55,10,0,1,324,27,0,36,1,0,0,20,9,56,28,5,6,1,0,23,854,1,0,1,10,164,0,0
2025-07-09 10:18:08,0,0,916,0,0,0,0,0,0,0,0,0,9,4,0,0,2,4,0,2,0,17,0,0,0,916,14,0,0
2025-07-09 11:18:06,0,6,1,0,0,12,0,0,0,0,0,0,6,2,0,0,2,2,0,0,0,63,0,0,0,1,10,0,0
2025-07-09 12:18:06,137,146,6,0,2,400,2,0,9,1,0,0,56,37,3,0,27,46,0,3,3,699,1,0,0,6,117,0,0
2025-07-09 13:18:09,937,2463,19,0,0,4430,300,13,71,1,0,0,204,157,15,14,54,112,8,12,53,6597,4,0,8,19,785,2,0
2025-07-09 14:19:42,384,395,15,0,5,992,649,24,40,1,0,0,148,83,5,9,23,111,5,9,26,2420,2,0,5,15,638,19,0
2025-07-10 06:17:47,383,402,1,0,0,783,788,17,28,1,0,0,167,76,0,0,5,6,1,1,26,2167,2,0,1,1,690,0,0
2025-07-10 07:38:16,291,243,211,3,0,535,578,18,171,1,0,1,393,295,0,0,32,18,3,21,189,2027,17,1,3,211,676,1,0
2025-07-10 08:38:21,118,169,10,0,0,300,160,3,52,1,0,1,56,32,0,0,12,2,0,2,104,754,4,0,0,10,211,2,0
2025-07-10 10:38:54,241,200,3,0,5,337,25,9,17,1,0,0,82,58,0,0,5,4,0,14,19,570,2,0,0,3,175,0,0
2025-07-10 11:39:41,1,0,6,0,0,0,0,0,0,0,0,0,62,47,0,0,10,63,1,1,14,71,4,0,1,6,73,0,0
2025-07-10 12:41:04,237,243,13,0,1,582,115,3,33,1,0,0,106,51,0,0,24,89,1,15,6,1015,6,0,1,13,319,0,0
2025-07-10 13:42:18,217,352,3,0,3,541,71,12,23,1,0,0,142,48,0,0,20,67,0,13,18,1230,5,0,0,3,1241,0,0
