record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-07-24 14:55:44,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,4,0,0,0,67631,0,1,0,0,33,0,0
2025-07-24 15:57:12,0,0,0,0,0,0,0,0,0,0,0,0,8,4,0,0,1,0,0,1,0,66575,0,0,0,0,0,0,0
2025-07-24 17:19:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,117181,0,0,0,0,0,0,0
2025-07-24 18:23:53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122475,0,0,0,0,0,0,0
2025-07-24 19:24:25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122946,0,0,0,0,0,0,0
2025-07-24 20:25:14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123208,0,0,0,0,0,0,0
2025-07-24 21:25:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122328,0,0,0,0,0,0,0
2025-07-24 22:25:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125444,0,0,0,0,0,0,0
2025-07-24 23:25:30,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,90360,0,0,0,0,0,0,0
2025-07-25 00:26:07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122220,0,0,0,0,0,0,0
2025-07-25 01:27:06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121218,0,0,0,0,0,0,0
2025-07-25 02:27:16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119460,0,0,0,0,0,0,0
2025-07-25 03:27:17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118560,0,0,0,0,0,0,0
2025-07-25 05:05:57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,115280,0,0,0,0,0,0,0
2025-07-25 06:10:35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125108,0,0,0,0,0,0,0
2025-07-25 07:16:12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118107,0,0,0,0,0,0,0
2025-07-25 08:30:46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119030,0,0,0,0,0,0,0
2025-07-26 10:57:06,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,65826,0,1,0,0,0,0,0
2025-07-26 11:59:04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92326,0,0,0,0,0,0,0
2025-07-26 13:04:34,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,62241,0,0,0,0,0,0,0
2025-07-26 14:15:16,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,61569,0,0,0,0,0,0,0
2025-07-26 15:15:33,0,0,0,0,0,0,0,0,0,0,0,0,13,10,0,0,2,0,0,0,0,43948,0,0,0,0,0,0,0
