record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-07-10 13:14:38,435,405,20,0,0,746,22,13,94,1,0,1,184,140,0,0,44,72,1,14,180,1117,13,0,1,20,303,0,0
2025-07-10 15:15:24,149,309,15,0,1,464,36,0,4,0,0,0,65,32,0,0,35,20,0,8,12,622,1,0,0,15,295,0,0
2025-07-10 16:16:16,407,430,8,0,0,569,214,6,17,1,0,24,105,72,0,0,32,8,0,4,34,976,1,0,0,8,124,0,0
2025-07-10 18:32:08,0,0,47,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,3,0,0,0,47,2,0,0
2025-07-11 01:08:18,844,915,3,0,0,1291,128,4,0,0,0,2,48,35,0,0,9,5,0,3,11,1687,2,0,0,3,71,1,0
2025-07-11 02:08:18,2378,3595,9,0,0,4305,1247,12,27,1,0,1,64,28,0,0,14,9,1,12,177,7438,10,0,1,9,397,2,0
2025-07-11 06:54:44,1293,1262,85,0,0,1874,338,7,118,1,0,3,102,59,22,22,21,48,0,14,165,3241,6,1,0,85,423,0,0
2025-07-11 07:54:44,1171,8759,5,0,0,9703,269,5,38,1,0,0,240,193,3,3,23,68,0,44,398,12628,7,0,0,5,477,0,0
2025-07-11 11:51:30,66,0,0,0,0,0,0,0,0,0,0,0,90,28,0,0,14,5,0,22,56,159,3,1,0,0,12,0,0
2025-07-11 13:53:46,29,7,45,0,0,14,3,1,1,0,0,0,49,19,0,0,7,6,0,20,18,123,3,1,0,45,21,0,0
2025-07-11 16:03:44,806,706,1,0,2,980,125,0,99,1,0,0,108,74,28,28,29,2,0,5,93,1873,2,0,0,1,216,0,0
2025-07-11 17:05:27,451,313,5,0,1,446,49,8,41,1,0,0,184,134,14,14,15,14,1,22,94,1047,11,0,1,5,112,0,0
2025-07-11 18:05:27,9,0,0,0,0,0,0,0,0,0,0,0,35,23,0,0,3,1,0,3,9,45,2,0,0,0,0,0,0
2025-07-12 05:57:39,0,0,63,0,0,1,24,0,0,0,0,0,27,3,0,0,6,5,0,3,0,51,0,1,0,63,5,0,0
2025-07-12 06:58:51,878,678,10,0,1,861,490,23,15,1,0,0,208,160,0,0,24,4,0,4,15,2063,9,0,0,10,282,165,0
2025-07-12 08:20:39,133,92,14,0,0,110,68,21,0,0,0,165,353,324,0,0,4,9,0,0,66,547,2,1,0,14,56,22,0
2025-07-12 09:26:02,69,86,1,0,0,93,66,0,5,0,0,15,81,60,0,0,1,2,0,0,13,242,1,0,0,1,16,25,0
2025-07-12 10:28:43,94,57,1,0,1,70,62,7,0,0,0,3,33,23,0,0,7,2,0,3,6,172,0,0,0,1,15,29,0
2025-07-12 11:49:41,559,507,4,0,2,656,243,12,19,1,0,0,89,54,0,0,8,10,0,49,546,1283,15,1,0,4,168,29,0
2025-07-12 12:53:24,246,270,4,0,0,332,91,7,19,1,0,0,85,51,0,0,14,6,0,63,95,639,5,0,0,4,198,0,0
2025-07-12 14:02:39,452,390,9,0,0,477,136,9,7,1,1,0,171,96,12,11,30,24,0,24,99,3328,3,0,0,9,170,36,0
2025-07-12 17:06:59,491,607,5,0,0,618,80,2,2,1,0,0,67,39,0,0,9,13,0,12,216,7597,10,1,0,5,88,0,0
2025-07-12 23:12:31,185,239,3,0,0,275,94,0,6,1,0,0,21,10,0,0,4,7,0,6,252,3042,13,0,0,3,97,0,0
2025-07-13 00:26:12,6,0,0,0,0,0,0,0,0,0,0,0,8,5,0,0,0,1,0,0,79,21601,11,0,0,0,4,0,0
2025-07-13 01:31:26,0,0,0,0,0,0,0,1,0,0,0,0,21,16,0,0,0,0,0,0,86,18546,19,0,0,0,12,0,0
2025-07-13 03:55:31,0,4,10,0,0,15,0,0,2,0,0,0,2,0,0,0,0,2,0,0,0,26,0,1,0,10,2,0,0
2025-07-13 07:37:31,260,206,5,0,1,237,14,2,7,1,0,0,96,71,0,1,29,3,0,4,66,6092,12,0,0,5,111,0,0
2025-07-13 09:02:23,641,767,69,1,0,1052,813,20,101,1,0,0,138,77,15,15,120,0,0,25,73,5416,6,0,0,69,500,0,0
2025-07-13 10:27:51,1155,864,5,0,1,1139,1191,29,27,1,0,0,214,120,12,11,21,6,0,3,142,4495,4,0,0,5,623,14,0
2025-07-31 09:27:44,436,638,11,0,0,738,719,2,32,1,0,0,90,18,80,78,51,3,0,23,41,2725,0,1,0,11,529,0,0
2025-07-31 10:40:37,236,213,10,0,0,292,968,2,264,1,0,0,243,156,86,92,33,5,1,4,519,2440,7,0,1,10,345,0,0
