record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-07-07 23:44:27,19,37,5,0,0,66,3,0,5,0,0,0,13,11,0,0,3,10,2,0,0,98,0,1,2,5,151,0,0
2025-07-09 21:48:41,89,8,10,0,0,11,0,0,0,0,0,0,17,4,6,6,1,2,0,0,79,264,2,1,0,10,8,0,0
2025-07-10 04:01:58,114,12,0,0,0,20,4,2,0,0,0,0,31,20,0,0,1,2,0,48,73,457,1,1,0,0,11,4,0
2025-07-10 05:02:05,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,87,363,2,0,0,0,0,0,0
2025-07-10 06:02:05,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,368,1,0,0,0,0,0,0
2025-07-10 07:02:05,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,354,1,0,0,0,0,0,0
2025-07-10 08:02:45,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,57,0,0,0,0,0,0,0
2025-07-10 20:53:46,8,0,0,0,0,0,0,0,0,0,0,0,32,25,0,0,0,2,0,0,85,379,1,0,0,0,4,0,0
2025-07-10 21:53:45,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,84,336,1,0,0,0,0,0,0
2025-07-11 13:30:45,0,0,0,0,0,0,0,0,0,0,0,0,4499,4499,0,0,0,2,0,0,0,5420,0,1,0,0,0,0,0
2025-07-11 16:15:46,2,0,0,0,0,0,0,0,0,0,0,0,414,409,0,0,0,3,0,0,74,713,3,1,0,0,2,0,0
2025-07-11 17:28:58,13,0,0,0,0,0,0,0,0,0,0,0,9,6,0,0,0,2,0,0,86,365,4,1,0,0,0,0,0
2025-07-11 22:49:20,0,0,0,0,0,0,0,0,0,0,0,0,13,3,0,0,0,2,0,25,86,383,3,0,0,0,0,0,0
2025-07-12 21:51:10,14,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,24,98,1,1,0,0,3,0,0
2025-07-12 22:51:13,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,348,5,0,0,0,0,0,0
