record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-07-27 17:03:22,255,302,3,0,1,483,146,15,8,1,0,0,45,8,0,0,7,16,0,20,11,1056,1,0,0,3,288,0,0
2025-07-27 18:10:54,75,101,102,0,2,216,12,11,115,1,0,6,121,86,0,0,22,112,5,1,84,704,7,0,5,102,728,2,0
2025-07-27 19:17:14,117,106,6,0,0,232,39,0,77,1,0,0,133,108,0,0,42,138,2,0,87,675,4,0,2,6,534,0,0
2025-07-27 20:20:02,17,108,5,0,1,153,14,0,16,1,0,0,63,47,0,0,17,98,1,5,9,296,1,0,1,5,285,0,0
2025-07-28 09:10:50,98,78,7,0,0,162,18,0,46,1,0,0,95,48,0,0,29,72,1,26,103,446,5,0,1,7,912,0,0
2025-07-28 10:15:06,69,57,6,0,2,181,36,21,67,1,0,0,82,20,0,0,8,72,0,10,64,533,3,0,0,6,922,1,0
2025-07-28 11:35:37,242,253,7,0,0,400,131,39,143,1,0,0,68,12,0,0,2,80,1,17,140,1145,3,0,1,7,694,0,0
2025-07-28 13:11:24,267,263,0,0,0,398,140,1,64,1,0,0,30,1,0,0,0,60,0,6,69,1204,1,0,0,0,408,0,0
2025-07-29 07:50:00,389,2209,12,0,0,629,166,12,54,1,0,5,139,47,0,0,12,43,0,56,102,1612,10,0,0,12,642,0,0
2025-07-29 09:28:24,171,163,23,1,1,91,109,1,118,1,0,0,52,7,0,0,3,103,0,10,107,651,5,0,0,23,617,0,0
2025-07-29 11:56:06,791,1526,6,0,0,543,345,70,160,1,0,1,108,58,1,1,15,20,1,5,104,1486,20,1,1,6,779,2,0
2025-07-29 15:08:52,106,107,5,0,2,169,0,0,2,1,0,0,43,13,0,0,8,14,0,5,12,249,2,0,0,5,85,0,0
2025-07-29 17:29:07,412,686,8,1,0,471,309,54,41,1,0,1,115,54,75,76,10,32,2,10,41,1408,11,0,2,8,574,0,0
2025-07-29 18:29:20,45,49,1,0,0,74,6,1,3,1,0,0,36,14,52,51,3,44,0,2,0,242,0,0,0,1,123,0,0
2025-07-29 19:32:13,205,261,12,1,4,64,68,1,18,1,0,0,64,22,0,0,10,91,1,8,0,367,6,0,1,12,368,0,0
2025-07-29 20:36:14,274,800,4,0,0,181,125,1,36,1,0,0,29,8,2,4,5,70,1,9,26,638,4,0,1,4,304,0,0
2025-07-30 09:18:35,149,371,3,0,1,146,229,49,3,0,0,0,62,36,7,5,8,12,0,1,0,464,4,0,0,3,173,0,0
2025-07-30 11:05:10,721,582,6,0,3,748,151,32,33,1,0,0,133,69,130,130,10,11,2,3,48,1584,2,1,2,6,551,0,0
2025-07-30 12:26:44,404,347,29,0,0,191,335,2,71,1,0,0,64,6,0,0,3,17,2,13,58,905,3,0,2,29,411,0,0
2025-07-30 13:48:01,320,311,6,0,0,472,558,177,22,1,0,4,227,117,5,8,6,24,6,5,25,1389,1,0,6,6,635,124,0
2025-07-30 15:16:25,80,83,3,1,0,187,139,31,2,1,0,0,80,56,0,0,6,3,0,2,3,445,0,0,0,3,178,0,0
2025-07-30 18:01:55,0,0,0,0,0,8,2,0,0,0,0,0,2,0,0,0,0,2,0,0,0,127,0,0,0,0,0,0,0
2025-08-03 12:51:40,375,397,3,14,1,470,664,64,24,1,0,0,129,51,0,0,17,77,1,25,23,1535,1,0,1,3,959,0,0
2025-08-03 13:51:43,104,109,4,0,0,156,229,14,5,1,0,4,55,28,4,4,14,72,2,5,2,610,0,0,2,4,337,0,0
2025-08-03 14:51:43,17,13,6,0,5,38,2,0,96,1,0,0,52,6,2,2,14,75,1,4,86,196,2,0,1,6,238,0,0
2025-08-03 18:17:55,233,255,1,0,0,336,63,0,30,1,0,0,27,5,0,0,3,4,0,0,0,540,4,0,0,1,103,0,0
2025-08-03 19:17:55,40,56,2,0,0,76,70,2,10,1,0,0,36,24,0,0,6,2,0,2,0,244,4,0,0,2,171,2,0
2025-08-05 22:14:38,0,2,0,0,0,33,0,0,1,0,0,0,5,0,0,0,0,2,0,0,0,65,0,0,0,0,2,0,0
2025-08-06 07:53:28,42,23,7,0,0,97,20,0,365,1,0,0,48,18,0,0,8,12,0,1,118,245,6,0,0,7,174,0,0
2025-08-06 09:53:28,0,0,1,0,0,6,0,0,0,0,0,0,9,4,0,0,1,2,0,0,0,25,1,0,0,1,28,0,0
2025-08-06 12:59:50,665,593,21,0,4,882,11,34,25,1,0,17,219,148,2,2,27,25,1,10,37,1337,7,1,1,21,523,3,0
2025-08-06 13:59:56,263,358,4,0,4,529,26,2,35,1,0,3,69,30,0,0,10,42,1,0,71,657,2,0,1,4,157,1,0
2025-08-06 20:26:14,704,779,2,0,0,1139,70,4,126,1,0,6,148,94,24,24,11,8,0,14,202,1873,5,0,0,2,575,8,0
2025-08-06 21:26:14,80,69,18,0,1,222,3,0,3689,1,0,0,29,13,0,0,7,3,0,1,2148,433,36,0,0,18,258,0,0
2025-08-07 05:07:07,8,7,5,0,1,22,9,0,0,0,0,0,74,59,0,0,13,79,1,0,0,83,3,0,1,5,58,0,0
2025-08-07 11:07:11,81,77,4,0,1,92,35,0,10,1,0,0,73,50,2,2,19,66,0,6,0,187,0,0,0,4,59,0,0
2025-08-07 12:07:41,1161,811,2,0,0,1030,250,22,101,1,0,0,55,18,65,65,1,63,0,36,233,1772,1,0,0,2,419,2,0
2025-08-07 13:07:56,409,418,1,0,0,584,265,0,145,1,0,0,18,4,30,29,1,62,0,1,217,1100,1,0,0,1,113,0,0
