record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-07-22 04:36:38,1289,1451,14,0,0,1742,326,24,32,1,0,8,279,174,87,90,40,27,0,5,207,2955,10,0,0,14,400,27,0
2025-07-22 10:31:45,185,52,10,0,0,226,35,9,353,1,0,5,152,92,0,1,23,18,1,2,310,605,5,1,1,10,408,6,0
2025-07-22 11:51:30,52,27,4,0,0,62,0,0,64,1,0,0,20,6,0,0,9,0,0,6,65,120,0,0,0,4,83,0,0
2025-07-22 13:18:40,553,282,16,0,0,478,137,7,556,1,0,14,260,159,0,1,47,18,1,39,450,1165,10,0,1,16,634,7,0
2025-07-23 09:25:45,53,66,5,0,0,73,14,2,3,1,0,0,41,27,0,0,20,12,0,0,8,152,0,1,0,5,41,0,0
2025-07-23 10:44:01,273,421,5,0,0,531,160,23,14,1,0,1,202,141,0,0,12,14,0,7,48,1045,0,0,0,5,250,90,0
2025-07-23 18:19:31,62,57,8,0,0,64,34,0,1,0,0,0,57,46,0,0,12,8,0,0,0,129,0,1,0,8,44,3,0
2025-07-24 10:22:13,758,824,20,0,0,943,305,36,6,1,0,0,370,256,2,4,39,91,1,2,49,1707,1,0,1,20,307,133,0
2025-07-24 11:32:04,21,17,11,0,0,38,71,11,0,0,0,4,150,101,11,11,17,80,1,0,15,314,1,0,1,11,67,10,0
2025-07-24 12:59:09,295,120,2,0,0,193,29,1,252,1,0,0,129,58,2,0,19,67,0,25,211,432,2,0,0,2,254,0,0
2025-07-24 14:20:51,218,174,15,5,0,212,123,9,30,1,0,0,238,175,0,0,27,86,0,3,24,591,0,0,0,15,196,40,0
2025-07-24 15:27:28,11,11,3,0,0,12,8,0,0,0,0,0,38,23,0,0,11,69,1,0,1,41,2,0,0,3,17,3,0
2025-07-24 17:49:12,1001,1441,11,1,0,1697,142,10,47,1,0,0,224,127,13,13,23,16,0,12,191,2499,3,0,1,11,428,1,0
2025-07-24 18:51:59,11,5,2,0,0,5,6,3,49,1,0,0,37,30,0,0,13,2,0,0,149,25,1,0,0,2,7,0,0
2025-07-25 02:55:20,83,97,5,0,0,132,0,0,2,1,0,0,73,57,0,0,24,57,0,0,3,184,0,0,0,5,34,0,0
