record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-07-09 09:14:18,250,229,52,0,1,359,95,25,183,1,0,5,94,57,0,0,32,47,5,12,145,914,14,0,5,52,694,0,0
2025-07-09 15:53:44,60,64,38,0,3,114,42,11,56,1,0,2,168,81,42,39,59,104,6,3,46,563,1,1,6,38,524,0,0
2025-07-12 10:43:20,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,61,0,0,0
2025-07-12 11:51:30,56,55,36,0,0,83,24,6,70,1,0,0,136,77,0,1,78,163,3,7,49,318,4,0,3,36,631,4,0
2025-07-12 12:55:25,81,63,35,0,2,109,41,7,125,1,0,0,157,102,1,0,81,144,0,8,86,511,1,0,0,35,650,2,0
2025-07-12 14:04:42,859,1440,12,0,0,731,114,10,817,1,0,0,190,134,0,0,39,111,1,8,326,1370,12,0,1,12,581,0,0
2025-07-12 15:13:17,606,1235,27,0,0,599,218,30,1218,1,0,2,217,118,0,0,42,123,1,9,292,1384,14,0,1,27,510,2,0
2025-07-12 16:25:19,2730,4092,50,0,0,4958,114,5,141,1,0,0,178,123,0,0,33,97,0,7,131,8212,12,0,0,50,460,6,0
2025-07-12 17:25:58,2930,3002,15,0,2,3389,167,4,382,1,0,0,143,97,0,0,22,89,1,8,96,4943,20,0,1,15,493,13,0
2025-07-12 18:41:46,1,21,23,0,0,36,0,0,66,0,0,0,33,13,0,0,5,8,0,2,0,51,0,0,0,23,28,0,0
2025-07-13 06:07:57,692,1150,8,0,0,1333,23,0,57,1,0,0,248,217,0,0,33,64,1,0,56,2201,5,0,1,8,221,0,0
2025-07-13 07:16:49,773,1137,30,0,0,1475,264,7,47,1,0,0,140,96,0,0,15,115,1,0,39,3575,4,0,1,30,451,0,0
2025-07-13 08:39:19,680,714,13,0,0,923,497,54,32,1,0,0,370,253,0,0,52,116,0,7,32,1874,2,0,0,13,496,91,0
2025-07-13 10:04:23,1192,1060,22,0,0,1130,47,43,272,1,0,0,316,209,0,0,34,104,3,33,234,2416,26,0,3,22,888,1,0
2025-07-13 11:22:51,1475,2112,5,0,0,2312,415,18,156,1,0,0,299,208,0,0,22,90,1,96,141,3677,43,0,1,5,476,10,0
2025-07-13 12:44:42,749,1272,5,0,0,1478,129,5,15,1,0,0,88,35,0,0,13,67,0,9,18,2199,3,0,0,5,492,2,0
2025-07-13 16:36:06,440,245,35,0,0,256,11,1,21,1,0,0,112,70,0,0,10,18,1,21,19,629,5,1,1,35,274,0,0
2025-07-14 11:46:49,418,468,11,0,0,653,78,5,68,1,0,0,316,218,0,0,48,82,3,2,31,1439,15,0,3,11,1117,0,0
2025-07-14 13:12:29,3067,5762,1,0,0,7883,275,9,99,1,0,1,281,140,0,0,15,62,0,37,1389,11217,17,0,0,1,1005,2,0
2025-07-14 14:34:24,909,2555,0,0,0,4324,736,22,3,1,0,0,384,318,0,0,3,60,0,13,3,5841,1,0,0,0,305,30,0
2025-07-14 15:45:47,630,638,26,0,0,669,114,8,119,1,0,0,294,178,0,0,41,110,2,23,62,1750,3,0,2,26,1910,0,0
2025-07-14 17:16:21,580,796,5,0,0,1013,162,3,24,1,0,0,150,96,0,0,13,14,1,0,27,1882,9,1,1,5,352,0,0
2025-07-15 05:05:06,95,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-07-15 11:59:05,1116,1312,2,0,0,854,1433,7,36,1,0,0,294,229,0,0,43,75,0,19,38,2926,8,0,0,2,511,0,0
2025-07-15 13:19:36,754,1297,14,0,0,1324,19,2,43,1,0,0,152,78,0,0,29,95,3,3,0,2536,1,0,3,14,1316,0,0
2025-08-12 13:28:26,743,182,37,0,2,238,44,2,2492,1,0,0,437,303,0,0,68,52,0,26,2390,764,87,0,0,37,666,1,0
2025-08-12 14:48:01,2027,5884,24,0,3,1165,201,7,2229,1,0,0,453,296,0,0,51,10,0,63,1207,2302,49,0,0,24,453,7,0
2025-08-12 15:56:53,1546,6562,24,0,3,1172,73,3,3142,1,0,0,377,208,0,0,56,56,3,35,2556,1958,98,0,3,24,517,0,0
2025-08-12 17:11:10,554,339,10,0,1,116,8,0,164,1,0,0,99,39,0,0,21,24,1,20,415,246,12,0,1,10,351,0,0
