record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-07-28 21:00:42,0,1,0,0,0,1743,0,0,10,1,0,0,1,0,0,0,0,2,0,0,0,2404,0,1,0,0,3,0,0
2025-07-28 22:02:18,0,0,0,0,0,2464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2464,0,0,0,0,0,0,0
2025-07-28 23:03:49,0,0,0,0,0,2461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2461,0,0,0,0,0,0,0
2025-07-29 00:03:58,0,0,0,0,0,349,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,349,0,0,0,0,0,0,0
2025-07-30 19:40:29,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,2396,0,1,0,0,0,0,0
2025-07-30 20:40:29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2400,0,0,0,0,0,0,0
2025-07-30 21:40:29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2400,0,0,0,0,0,0,0
2025-07-30 22:40:28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2400,0,0,0,0,0,0,0
2025-07-30 23:40:56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2418,0,0,0,0,0,0,0
2025-08-01 18:36:02,0,0,0,0,0,2099,0,0,5,0,0,0,1,0,0,0,0,2,0,0,0,2390,0,1,0,0,0,0,0
2025-08-01 19:36:02,0,0,0,0,0,2400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2400,0,0,0,0,0,0,0
2025-08-01 20:36:02,0,0,0,0,0,2399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2399,0,0,0,0,0,0,0
2025-08-01 21:36:02,0,0,0,0,0,2400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2400,0,0,0,0,0,0,0
2025-08-01 22:36:02,0,0,0,0,0,2400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2400,0,0,0,0,0,0,0
2025-08-01 23:36:02,0,0,0,0,0,2400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2400,0,0,0,0,0,0,0
2025-08-02 23:23:56,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,2396,0,1,0,0,0,0,0
2025-08-03 06:07:38,0,0,0,0,0,0,0,0,1654,0,0,0,1,0,0,0,0,2,0,0,0,742,0,1,0,0,0,0,0
2025-08-03 17:44:53,0,0,0,0,0,0,0,0,9,0,0,0,1,0,0,0,0,4,0,0,0,2388,0,1,0,0,0,0,0
2025-08-03 18:44:53,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,2386,0,0,0,0,0,0,0
2025-08-03 19:44:53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2400,0,0,0,0,0,0,0
2025-08-03 20:44:53,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2399,0,0,0,0,0,0,0
2025-08-03 21:44:53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2400,0,0,0,0,0,0,0
2025-08-03 22:44:53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2400,0,0,0,0,0,0,0
2025-08-03 23:44:53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2400,0,0,0,0,0,0,0
2025-08-16 12:51:58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,321,1,0,0,0,0,0,0
