record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-07-10 14:50:14,3907,4840,42,0,0,5689,25,6,92,1,0,0,170,140,0,0,41,10,2,5,72,8029,3,0,2,42,709,7,0
2025-07-10 15:50:14,3185,4451,6,0,0,5775,169,4,48,1,0,5,166,120,0,0,43,58,0,1,93,7574,4,0,0,6,703,0,0
2025-07-12 14:31:40,814,1239,8,0,0,1537,420,5,70,1,0,19,350,265,0,0,49,38,1,8,108,2489,4,0,1,8,568,0,0
2025-07-13 14:03:08,1080,1232,79,0,0,1446,574,20,102,1,0,0,187,115,14,15,39,54,6,3,64,3097,2,0,6,79,520,0,0
2025-07-13 15:08:16,886,6141,10,1,1,1812,516,7,49,1,0,0,156,102,28,28,36,79,1,68,191,2978,10,0,4,10,571,0,0
2025-07-14 03:54:13,1742,1119,7,0,0,1373,198,2,56,1,0,0,206,142,0,0,23,7,1,17,16,2488,12,0,1,7,683,0,0
2025-07-22 14:28:42,640,909,7,0,0,810,649,1,6,1,0,13,181,131,38,38,25,69,0,9,8,2287,1,0,0,7,519,0,0
2025-07-22 16:26:14,362,375,16,18,0,612,1221,5,10,1,0,17,192,121,1,2,9,30,1,21,11,2486,3,1,1,16,425,0,0
2025-07-23 06:46:42,423,447,34,0,0,721,475,0,11,1,0,30,118,96,0,0,13,8,0,1,4,1630,4,0,0,34,443,0,0
2025-07-23 14:41:29,1050,847,1,0,0,1206,354,1,22,1,0,10,137,101,0,0,3,2,0,7,0,2194,1,0,0,1,633,0,0
2025-07-26 12:25:20,557,635,4,0,0,829,421,0,0,0,0,0,95,33,33,55,3,10,0,12,0,1710,0,0,0,4,375,0,0
2025-07-28 15:47:28,719,710,13,0,3,1202,126,4,11,1,0,0,203,149,0,0,34,70,0,6,0,1828,10,0,0,13,906,1,0
2025-07-29 07:46:19,352,409,4,0,3,492,292,30,7,1,0,6,378,294,2,1,13,3,0,13,0,1309,1,0,0,4,753,22,0
2025-07-30 08:52:11,17,18,4,0,2,103,1,0,264,1,0,0,53,24,0,0,5,2,0,14,35,192,5,1,0,4,284,1,0
2025-07-30 13:59:07,303,379,4,0,0,701,18,0,378,1,0,1,96,52,0,0,21,24,0,6,981,939,24,0,0,4,570,0,0
2025-07-31 14:49:42,106,718,14,0,2,1027,6,1,95,1,0,0,98,52,0,0,29,6,1,5,112,1343,6,0,1,14,1615,0,0
2025-08-01 06:15:47,331,132,13,0,3,370,24,0,445,1,0,0,176,132,1,1,15,2,0,2,303,785,47,0,0,13,853,0,0
2025-08-02 14:10:59,159,5,9,0,6,1380,10,1,546,1,0,0,76,54,0,0,16,2,0,0,446,1681,36,0,0,9,693,1,0
2025-08-02 15:10:59,147,30,3,0,1,501,956,4,439,1,0,0,228,188,0,0,34,8,0,5,418,1964,50,0,0,3,796,0,0
2025-08-02 17:01:35,231,75,13,0,10,1424,177,20,301,1,0,0,198,143,0,0,26,18,2,5,379,2040,7,0,2,13,828,1,0
2025-08-03 07:42:39,231,0,15,0,7,712,1,0,733,1,0,0,109,65,0,0,23,9,0,2,634,1013,111,0,0,15,1090,0,0
2025-08-03 15:05:25,353,0,9,0,0,418,1,0,557,1,0,0,48,23,0,0,20,45,5,1,599,823,39,0,5,9,812,0,0
2025-08-04 01:49:51,454,22,1,0,0,128,30,17,421,1,0,0,135,109,0,0,17,2,0,100,526,389,29,0,0,1,520,0,0
2025-08-04 02:49:51,573,559,8,0,0,414,0,0,366,1,0,0,147,85,0,0,14,2,0,54,817,653,26,0,0,8,678,0,0
2025-08-04 03:49:51,101,1,1,0,0,244,0,0,603,1,0,0,114,97,0,0,32,2,0,1,1143,362,53,0,0,1,197,0,0
2025-08-04 06:50:55,53,0,3,0,1,40,1,0,10180,1,0,0,104,90,0,0,6,2,0,7,5942,186,140,0,0,3,78,0,0
2025-08-04 07:50:55,262,0,9,0,0,449,0,0,548,1,0,0,55,23,0,0,15,65,0,2,632,868,28,0,0,9,735,0,0
2025-08-04 08:50:56,714,1196,3,0,1,1156,5,0,397,1,0,0,96,34,0,0,15,64,0,70,606,1802,34,0,0,3,758,0,0
2025-08-04 12:33:57,1001,3692,14,0,0,820,1,0,6387,1,0,0,112,79,0,0,40,23,0,29,4290,1181,102,0,0,14,641,0,0
2025-08-04 13:34:03,490,1631,11,0,2,371,38,5,1469,1,0,0,143,97,0,0,27,30,2,41,1240,840,37,0,2,11,600,0,0
2025-08-04 14:34:51,884,9956,23,0,0,1899,5,0,204,1,0,0,110,66,0,0,75,11,2,37,262,2225,4,0,2,23,692,0,0
2025-08-04 15:34:59,171,3173,17,0,0,589,0,0,145,1,0,0,107,69,0,0,65,0,0,13,221,809,20,0,0,17,857,0,0
2025-08-05 15:10:59,878,408,8,0,0,538,89,10,326,1,0,0,196,151,0,0,9,6,0,7,421,1342,18,0,0,8,667,0,0
2025-08-06 14:09:05,509,532,4,0,1,664,626,31,12,1,0,11,284,221,0,0,9,2,0,55,32,2086,3,0,0,4,1025,0,0
2025-08-06 17:25:35,503,2020,10,0,1,564,58,2,101,1,0,0,136,91,0,0,25,2,0,24,254,832,5,0,0,10,947,0,0
2025-08-08 14:21:14,251,4685,17,0,0,854,0,0,510,1,0,0,93,62,0,0,100,6,1,31,347,1070,6,0,1,17,931,0,0
2025-08-09 17:02:18,803,1054,18,0,0,216,1,5,6209,1,0,0,118,72,0,0,37,2,0,35,3816,553,76,0,0,18,812,0,0
2025-08-10 14:53:11,388,600,16,0,4,421,188,3,96,1,0,0,162,127,0,0,52,2,0,49,602,975,6,0,0,16,1193,0,0
2025-08-10 15:53:13,37,4,16,0,1,101,25,1,984,1,0,0,160,112,0,0,39,18,2,49,361,574,5,0,2,16,673,23,0
2025-08-10 17:01:53,150,121,12,0,0,190,11,0,135,1,0,0,99,31,0,0,14,22,3,36,174,397,1,0,3,12,1135,0,0
2025-08-11 06:36:10,133,1085,16,0,1,379,1,0,571,1,0,0,65,23,0,0,44,26,3,16,358,629,5,1,3,16,1270,0,0
2025-08-11 07:36:10,29,28,0,0,0,78,0,0,16,1,0,0,25,9,0,0,17,0,0,6,5,167,0,0,0,0,3160,0,0
2025-08-11 14:09:21,10,5,6,0,1,20,8,2,16,1,0,0,129,99,0,0,29,17,0,10,26,422,1,0,0,6,4191,3,0
2025-08-11 15:22:38,41,47,3,0,0,45,2,0,43,1,0,0,77,50,0,0,7,67,1,19,33,177,0,0,1,3,3996,0,0
2025-08-12 13:23:23,734,83,10,0,3,174,7,1,9070,1,0,0,318,258,0,0,23,9,0,25,8111,520,253,0,0,10,413,0,0
2025-08-12 17:02:43,1084,916,8,0,1,1290,74,17,1213,1,0,0,323,247,0,0,14,2,0,33,1049,2327,73,0,0,8,1029,1,0
2025-08-13 06:29:24,2313,1840,5,0,0,2269,7,4,773,1,0,0,130,64,7,7,18,2,0,63,390,3127,7,0,0,5,802,0,0
2025-08-14 18:01:25,107,17,29,0,10,40,19,8,3670,1,0,0,286,209,0,0,53,9,0,23,145,387,95,1,0,29,455,0,0
