record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-07-14 05:41:55,291,226,14,0,6,416,93,11,39,1,0,0,59,29,0,0,32,69,3,3,21,999,4,0,3,14,1144,0,0
2025-07-14 06:42:52,151,96,77,0,0,202,8,0,23,1,0,0,71,55,0,0,51,141,1,1,10,1070,4,0,1,77,1148,0,0
2025-07-14 07:49:28,100,87,61,0,16,170,52,0,3,0,0,0,37,17,0,0,19,136,0,2,0,1008,0,0,0,61,1337,0,0
2025-07-14 08:57:33,4056,6328,28,1,3,4703,1154,14,0,0,0,0,55,45,0,0,4,71,0,2,0,8801,0,0,0,28,751,6,0
2025-07-14 10:11:28,1093,1961,4,0,7,690,4633,5,2,1,0,0,85,54,0,0,21,72,0,0,3,9080,0,0,0,4,574,0,0
2025-07-14 11:23:10,767,1251,0,0,0,164,383,1,0,0,0,0,60,56,0,0,13,60,0,1,0,828,0,0,0,0,152,0,0
2025-07-14 14:48:38,2512,3550,6,0,18,2518,406,4,32,1,0,0,105,87,0,0,34,2,0,12,80,3670,3,0,0,6,744,2,0
2025-07-14 15:58:58,4110,5195,2,0,6,4280,1509,8,2,1,0,0,96,61,0,0,23,0,0,0,76,6671,2,0,0,2,613,0,0
2025-07-15 05:02:48,3779,5591,1,0,0,3849,448,5,42,1,0,0,85,76,0,0,14,2,0,1,62,5365,1,0,0,1,568,2,0
2025-07-15 06:28:14,1682,1722,0,0,2,2081,763,2,6,1,0,0,16,14,0,0,5,0,0,0,69,3752,2,0,0,0,268,0,0
2025-07-15 14:34:42,479,1073,15,0,5,1277,5184,0,56,1,0,0,63,14,0,0,7,2,0,2,69,10247,1,0,0,15,539,0,0
2025-07-15 15:42:04,568,496,2,0,6,621,885,0,18,1,0,0,31,18,0,0,6,0,0,0,24,1827,1,0,0,2,162,0,0
2025-07-15 17:00:52,0,0,1,0,0,0,1,0,0,0,0,0,13,12,0,0,7,6,0,0,0,19,0,1,0,1,17,1,0
2025-07-16 05:33:07,118,65,18,0,2,109,2637,0,134,1,0,0,94,80,0,0,46,26,1,18,134,3907,5,0,1,18,653,0,0
2025-07-16 07:46:19,2214,2097,12,0,2,2681,452,11,83,1,0,0,129,112,0,0,34,2,0,1,242,4185,4,1,0,12,601,0,0
2025-07-16 13:54:30,5742,6754,1,0,4,7581,1124,3,15,1,0,0,91,69,0,0,17,2,0,0,62,11536,1,0,0,1,695,5,0
2025-07-16 15:02:05,2,2,0,0,0,2,169,0,0,0,0,0,17,13,0,0,2,0,0,0,0,217,0,0,0,0,41,0,0
2025-07-20 10:17:32,4,3,1,0,0,4,3,0,3,1,0,0,47,46,0,0,3,3,0,0,3,34,1,1,0,1,35,0,0
