record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-08-02 14:07:09,728,1389,9,0,0,1909,868,0,3,1,0,0,35,8,0,0,9,22,2,0,3,3772,0,1,2,9,331,0,0
2025-08-02 17:01:35,370,317,6,0,0,622,172,15,271,1,0,2,237,150,12,12,6,15,3,69,219,1914,4,0,3,6,385,12,0
2025-08-03 15:20:46,76,55,8,0,1,122,18,0,126,1,0,0,99,77,0,0,19,97,3,0,93,371,2,0,3,8,168,0,0
2025-08-04 12:35:56,81,47,3,0,0,132,51,0,17,1,0,0,77,55,0,0,13,56,2,2,18,310,0,0,2,3,118,2,0
2025-08-04 14:25:11,563,774,23,0,1,1217,246,6,365,1,0,1,243,158,31,18,39,70,2,8,313,2605,3,1,2,23,534,1,0
2025-08-05 13:03:08,0,1,0,0,0,18,0,0,0,0,0,0,12,9,0,0,1,5,0,0,0,31,0,1,0,0,6,0,0
2025-08-05 14:41:26,69,27,31,0,1,134,28,3,437,1,0,5,273,183,0,0,49,251,22,3,596,850,78,1,22,31,568,0,0
2025-08-05 15:41:26,141,87,9,0,5,289,78,19,288,1,0,0,290,212,0,0,36,99,3,40,511,915,47,0,3,9,559,0,0
2025-08-06 12:49:05,0,19,1,0,0,24,0,0,13,0,0,0,4,2,0,0,4,6,0,0,0,40,0,0,0,1,5,0,0
2025-08-08 11:49:15,40,0,2,0,0,12,0,0,0,0,0,1,56,50,0,0,2,5,0,11,358,101,2,1,0,2,72,0,0
2025-08-09 05:30:12,3971,5286,0,0,0,6993,23,19,3913,1,0,0,130,83,0,0,3,3,0,27,4440,9255,159,0,0,0,330,0,0
2025-08-09 06:30:12,2648,5936,6,0,0,6217,90,0,1599,1,0,0,100,52,0,0,6,2,0,54,1568,9882,61,0,0,6,702,0,0
2025-08-09 09:25:43,0,6,3,0,0,25,1,0,21,0,0,0,21,11,0,0,5,9,0,0,0,96,0,0,0,3,16,0,0
2025-08-09 10:35:49,344,2122,5,0,0,977,29,0,1436,1,0,5,114,55,0,0,11,80,0,52,1412,1597,33,1,0,5,472,0,0
2025-08-09 14:56:03,24,60,8,0,1,157,0,32,123,0,0,0,92,61,0,0,18,18,0,16,0,374,0,1,0,8,153,0,0
2025-08-09 17:43:41,48,567,16,0,1,322,1025,0,3819,1,0,0,202,111,0,0,35,36,1,21,3535,2175,40,1,1,16,418,0,0
2025-08-10 15:16:07,19,22,9,0,1,40,5705,0,2,0,0,0,154,113,0,0,24,24,0,4,14,9196,0,0,0,9,803,0,0
2025-08-11 14:35:21,2,19,4,0,0,5,19,0,14,0,0,0,65,54,0,0,5,13,0,0,41,133,1,0,0,4,112,0,0
2025-08-12 15:34:41,78,85,4,0,0,122,1022,25,196,1,0,0,162,119,25,25,19,33,0,39,74,2110,1,0,0,4,347,0,0
2025-08-13 12:46:41,7,18,14,0,0,115,24,0,9367,1,0,0,305,243,0,0,29,48,4,40,8810,1028,44,0,4,14,434,0,0
2025-08-13 14:11:49,10,9,8,3,1,66,200,0,2311,1,0,0,192,145,0,0,13,20,2,15,2082,1675,14,0,2,8,285,4,0
2025-08-14 13:06:34,2,0,2,0,0,62,0,0,5848,1,0,0,9,0,0,0,2,6,0,0,5354,72,13,0,0,2,8,0,0
2025-08-14 15:45:24,25,340,10,0,0,161,288,22,2065,1,0,0,657,506,0,0,46,50,0,20,837,1433,67,1,1,10,911,0,0
2025-08-15 10:47:23,21,4,2,0,0,190,4,0,12338,1,0,0,166,133,0,0,4,2,0,45,1765,761,24,1,0,2,226,0,0
2025-08-15 11:54:41,51,6,4,0,0,100,8,0,9194,1,0,0,86,18,0,0,11,12,0,107,1013,291,43,0,0,4,75,0,0
2025-08-15 13:06:07,1,0,2,0,0,126,0,0,7499,1,0,0,40,28,0,0,9,42,0,3,1090,158,12,0,0,2,29,0,0
2025-08-15 14:12:06,0,4,6,0,2,17,3,0,182,1,0,0,76,27,0,0,31,75,0,6,2,515,0,0,0,6,210,0,0
2025-08-15 15:34:46,43,9,10,0,2,234,11,3,8800,1,0,0,274,207,0,0,33,26,0,65,994,532,25,0,0,10,430,0,0
2025-08-15 17:03:45,20,4573,3,0,0,1255,177,0,3657,1,0,0,246,175,0,0,6,8,1,22,529,2016,116,0,1,3,570,0,0
2025-08-15 18:04:42,183,998,3,0,2,279,30,0,2903,1,0,0,168,94,0,0,9,0,0,93,422,933,132,0,0,3,1278,1,0
