record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-07-24 05:33:42,0,0,0,0,0,0,0,0,0,0,0,0,14,3,0,0,3,2,0,0,0,39812,0,1,0,0,0,0,0
2025-07-24 06:58:31,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,107899,0,1,0,0,0,0,0
2025-07-24 08:46:48,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,114605,0,1,0,0,0,0,0
2025-07-24 09:55:34,0,0,0,0,0,0,0,0,0,0,0,0,21,8,0,0,6,8,0,1,0,36130,0,0,0,0,0,0,0
2025-07-24 11:07:32,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,10,62,0,0,0,44952,0,0,0,0,0,0,0
2025-07-24 14:49:08,0,0,0,0,0,0,0,0,0,0,0,0,14,6,0,0,5,3,0,2,0,47632,0,1,0,0,0,0,0
2025-07-24 15:51:04,0,0,0,0,0,0,0,0,0,0,0,0,17,16,0,0,5,0,0,0,0,39742,0,0,0,0,0,0,0
2025-07-24 17:21:51,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,76916,0,0,0,0,0,0,0
2025-07-24 18:25:50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125969,0,0,0,0,0,0,0
2025-07-24 19:26:22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125846,0,0,0,0,0,0,0
2025-07-24 20:27:11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125241,0,0,0,0,0,0,0
2025-07-24 21:36:38,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,129047,0,1,0,0,0,0,0
2025-07-24 22:36:38,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,5,12,0,0,0,81854,0,0,0,0,0,0,0
2025-07-24 23:36:38,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,60,0,0,0,83021,0,0,0,0,0,0,0
2025-07-25 01:25:12,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,59219,0,1,0,0,0,0,0
2025-07-25 02:25:23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24418,0,0,0,0,0,0,0
2025-07-25 03:25:23,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,19870,0,0,0,0,0,0,0
2025-07-25 05:16:23,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,20030,0,0,0,0,0,0,0
2025-07-25 06:22:36,1,0,0,0,0,0,0,0,0,0,0,0,13,12,0,0,9,43,0,0,0,21218,0,0,0,0,0,0,0
2025-07-25 09:01:56,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,25991,0,1,0,0,0,0,0
2025-07-26 10:56:58,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,20869,0,1,0,0,0,0,0
2025-07-26 11:58:53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20669,0,0,0,0,0,0,0
2025-07-26 13:04:23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21482,0,0,0,0,0,0,0
2025-07-26 14:15:06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23449,0,0,0,0,0,0,0
2025-07-26 15:15:24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20025,0,0,0,0,0,0,0
2025-07-26 17:18:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,22049,0,0,0,0,0,0,0
2025-07-26 18:19:22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20526,0,0,0,0,0,0,0
2025-07-26 19:21:28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20577,0,0,0,0,0,0,0
2025-07-26 20:22:17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19330,0,0,0,0,0,0,0
2025-07-26 21:24:50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20722,0,0,0,0,0,0,0
2025-07-26 22:28:58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19504,0,0,0,0,0,0,0
2025-07-26 23:30:03,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,20923,0,0,0,0,0,0,0
2025-07-27 00:32:34,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,2,3,0,0,0,20173,0,1,0,0,0,0,0
2025-07-27 01:33:11,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,1,1,0,0,0,21007,0,0,0,0,0,0,0
2025-07-27 02:35:33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21329,0,0,0,0,0,0,0
2025-07-27 06:31:12,0,0,0,0,0,0,0,0,0,0,0,0,12,11,0,0,7,2,0,0,0,19874,0,1,0,0,0,0,0
