record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-07-07 04:39:10,330,310,7,0,0,531,114,3,91,1,0,0,93,29,13,13,24,8,0,20,207,1176,2,1,0,7,541,1,0
2025-07-07 05:49:01,390,432,4,0,1,657,101,8,158,1,0,14,207,161,8,8,18,2,1,22,379,1443,7,0,0,4,355,0,0
2025-07-07 09:21:42,767,766,57,2,0,718,395,10,1303,1,0,0,216,122,56,39,36,21,3,42,132,3102,6,1,3,57,820,0,0
2025-07-08 04:04:13,2094,2336,21,0,2,2516,315,1,162,1,0,0,319,187,24,25,39,52,2,31,98,4546,19,0,2,21,614,3,0
2025-07-08 05:39:48,1164,1497,7,1,0,1111,662,11,521,1,0,0,256,160,23,23,19,70,0,44,942,4347,35,0,0,7,576,0,0
2025-07-08 07:07:48,1284,1918,16,0,0,1042,838,23,710,1,0,16,442,275,37,37,16,85,2,64,481,3983,41,0,2,16,785,36,0
2025-07-08 14:09:26,57,63,1,0,0,56,43,0,150,0,0,0,26,12,62,41,9,7,0,12,46,424,0,0,0,1,19,0,0
2025-07-09 02:47:46,3,0,0,0,0,0,0,0,91,0,0,0,6,0,14,0,0,2,0,51,0,52,0,1,0,0,4,0,0
2025-07-09 12:52:04,457,250,24,0,0,459,438,4,133,1,0,0,281,169,172,171,21,19,3,105,122,2398,17,0,3,24,471,0,0
2025-07-09 14:27:54,1124,1345,20,0,1,1154,621,24,235,1,0,3,270,209,9,9,8,14,2,105,707,3751,37,1,2,20,516,8,0
2025-07-10 00:16:48,111,63,3,0,0,64,9,1,0,0,0,7,57,49,0,0,12,68,0,0,11,254,2,0,0,3,57,0,0
2025-07-10 03:16:48,2,19,4,0,0,26,222,0,9,1,0,8,146,121,13,14,7,68,0,0,18,607,3,0,0,4,112,0,0
